,date,T10Y3M
0,2021-01-04,0.84
1,2021-01-05,0.87
2,2021-01-06,0.95
3,2021-01-07,0.99
4,2021-01-08,1.05
5,2021-01-11,1.07
6,2021-01-12,1.06
7,2021-01-13,1.01
8,2021-01-14,1.06
9,2021-01-15,1.02
10,2021-01-18,1.02
11,2021-01-19,1.01
12,2021-01-20,1.02
13,2021-01-21,1.03
14,2021-01-22,1.02
15,2021-01-25,0.96
16,2021-01-26,0.98
17,2021-01-27,0.96
18,2021-01-28,1.0
19,2021-01-29,1.05
20,2021-02-01,1.02
21,2021-02-02,1.05
22,2021-02-03,1.11
23,2021-02-04,1.11
24,2021-02-05,1.16
25,2021-02-08,1.14
26,2021-02-09,1.14
27,2021-02-10,1.1
28,2021-02-11,1.11
29,2021-02-12,1.16
30,2021-02-15,1.16
31,2021-02-16,1.26
32,2021-02-17,1.25
33,2021-02-18,1.26
34,2021-02-19,1.3
35,2021-02-22,1.34
36,2021-02-23,1.33
37,2021-02-24,1.35
38,2021-02-25,1.5
39,2021-02-26,1.4
40,2021-03-01,1.4
41,2021-03-02,1.38
42,2021-03-03,1.42
43,2021-03-04,1.5
44,2021-03-05,1.52
45,2021-03-08,1.54
46,2021-03-09,1.5
47,2021-03-10,1.49
48,2021-03-11,1.5
49,2021-03-12,1.6
50,2021-03-15,1.58
51,2021-03-16,1.6
52,2021-03-17,1.61
53,2021-03-18,1.7
54,2021-03-19,1.73
55,2021-03-22,1.66
56,2021-03-23,1.62
57,2021-03-24,1.6
58,2021-03-25,1.61
59,2021-03-26,1.65
60,2021-03-29,1.7
61,2021-03-30,1.71
62,2021-03-31,1.71
63,2021-04-01,1.67
64,2021-04-02,1.7
65,2021-04-05,1.7
66,2021-04-06,1.65
67,2021-04-07,1.66
68,2021-04-08,1.63
69,2021-04-09,1.65
70,2021-04-12,1.67
71,2021-04-13,1.61
72,2021-04-14,1.62
73,2021-04-15,1.54
74,2021-04-16,1.57
75,2021-04-19,1.59
76,2021-04-20,1.55
77,2021-04-21,1.54
78,2021-04-22,1.54
79,2021-04-23,1.55
80,2021-04-26,1.55
81,2021-04-27,1.62
82,2021-04-28,1.62
83,2021-04-29,1.64
84,2021-04-30,1.64
85,2021-05-03,1.59
86,2021-05-04,1.59
87,2021-05-05,1.57
88,2021-05-06,1.56
89,2021-05-07,1.58
90,2021-05-10,1.61
91,2021-05-11,1.63
92,2021-05-12,1.67
93,2021-05-13,1.64
94,2021-05-14,1.62
95,2021-05-17,1.62
96,2021-05-18,1.62
97,2021-05-19,1.67
98,2021-05-20,1.62
99,2021-05-21,1.62
100,2021-05-24,1.59
101,2021-05-25,1.54
102,2021-05-26,1.56
103,2021-05-27,1.59
104,2021-05-28,1.57
105,2021-05-31,1.57
106,2021-06-01,1.6
107,2021-06-02,1.57
108,2021-06-03,1.61
109,2021-06-04,1.54
110,2021-06-07,1.55
111,2021-06-08,1.51
112,2021-06-09,1.47
113,2021-06-10,1.42
114,2021-06-11,1.44
115,2021-06-14,1.48
116,2021-06-15,1.48
117,2021-06-16,1.53
118,2021-06-17,1.48
119,2021-06-18,1.4
120,2021-06-21,1.45
121,2021-06-22,1.44
122,2021-06-23,1.45
123,2021-06-24,1.44
124,2021-06-25,1.48
125,2021-06-28,1.44
126,2021-06-29,1.45
127,2021-06-30,1.4
128,2021-07-01,1.43
129,2021-07-02,1.39
130,2021-07-05,1.39
131,2021-07-06,1.32
132,2021-07-07,1.28
133,2021-07-08,1.24
134,2021-07-09,1.31
135,2021-07-12,1.33
136,2021-07-13,1.37
137,2021-07-14,1.31
138,2021-07-15,1.26
139,2021-07-16,1.26
140,2021-07-19,1.14
141,2021-07-20,1.18
142,2021-07-21,1.25
143,2021-07-22,1.22
144,2021-07-23,1.25
145,2021-07-26,1.24
146,2021-07-27,1.2
147,2021-07-28,1.21
