date,PER,PBR,Dividend_Yield
20230103,10.67,0.83,2.23
20230102,10.7,0.84,2.23
20221229,10.76,0.84,2.22
20221228,10.97,0.86,2.17
20221227,11.22,0.88,2.12
20221226,11.14,0.87,2.14
20221223,11.13,0.87,2.14
20221222,11.38,0.89,2.1
20221221,11.24,0.88,2.13
20221220,11.26,0.88,2.12
20221219,11.36,0.88,2.1
20221216,11.39,0.89,2.1
20221215,10.16,0.92,2.1
20221214,10.33,0.93,2.06
20221213,10.2,0.92,2.09
20221212,10.21,0.92,2.09
20221209,10.28,0.93,2.07
20221208,10.2,0.92,2.09
20221207,10.25,0.92,2.08
20221206,10.29,0.93,2.07
20221205,10.41,0.94,2.05
20221202,10.47,0.94,2.03
20221201,10.67,0.96,2.0
20221130,10.64,0.96,2.0
20221129,10.47,0.94,2.03
20221128,10.36,0.93,2.06
20221125,10.49,0.95,2.03
20221124,10.5,0.95,2.03
20221123,10.4,0.94,2.05
20221122,10.35,0.93,2.06
20221121,10.41,0.94,2.05
20221118,10.52,0.95,2.03
20221117,10.51,0.95,2.03
20221116,10.66,0.96,2.0
20221115,10.66,0.96,2.0
20221114,10.64,0.96,2.0
20221111,10.68,0.96,2.0
20221110,10.33,0.93,2.06
20221109,10.42,0.94,2.04
20221108,10.32,0.93,2.07
20221107,10.2,0.92,2.09
20221104,10.1,0.91,2.11
20221103,10.01,0.9,2.13
20221102,10.06,0.91,2.12
20221101,10.05,0.9,2.12
20221031,9.87,0.89,2.16
20221028,9.76,0.88,2.18
20221027,9.85,0.89,2.16
20221026,9.68,0.87,2.2
20221025,9.62,0.87,2.21
20221024,9.62,0.87,2.21
20221021,9.52,0.86,2.24
20221020,9.54,0.86,2.23
20221019,9.62,0.87,2.21
20221018,9.68,0.87,2.2
20221017,9.55,0.86,2.23
20221014,9.52,0.86,2.24
20221013,9.3,0.84,2.29
20221012,9.47,0.85,2.25
20221011,9.42,0.85,2.26
20221007,9.6,0.86,2.22
20221006,9.62,0.87,2.21
20221005,9.52,0.86,2.24
20221004,9.5,0.85,2.24
20220930,9.26,0.83,2.3
20220929,9.33,0.84,2.28
20220928,9.32,0.84,2.28
20220927,9.56,0.86,2.23
20220926,9.55,0.86,2.23
20220923,9.84,0.89,2.16
20220922,10.03,0.9,2.12
20220921,10.09,0.91,2.11
20220920,10.18,0.92,2.09
20220919,10.13,0.91,2.1
20220916,10.24,0.92,2.08
20220915,10.49,0.95,2.06
20220914,10.53,0.95,2.05
20220913,10.7,0.97,2.02
20220908,10.41,0.94,2.08
20220907,10.37,0.94,2.09
20220906,10.52,0.95,2.06
20220905,10.49,0.95,2.06
20220902,10.52,0.95,2.06
20220901,10.55,0.95,2.05
20220831,10.8,0.98,2.0
20220830,10.7,0.97,2.02
20220829,10.6,0.96,2.04
20220826,10.83,0.98,2.0
20220825,10.82,0.98,2.0
20220824,10.69,0.97,2.02
20220823,10.63,0.96,2.03
20220822,10.75,0.97,2.01
