date,krx_close,krx_diff,krx_return,PER,PBR,Dividend_Yield
2017-12-01,324.78,-0.47,-0.14,11.73,1.14,1.38
2017-12-04,328.77,3.99,1.23,11.88,1.15,1.36
2017-12-05,329.61,0.84,0.26,11.91,1.16,1.36
2017-12-06,324.52,-5.09,-1.54,11.72,1.14,1.38
2017-12-07,323.59,-0.93,-0.29,11.7,1.14,1.38
2017-12-08,324.68,1.09,0.34,11.74,1.14,1.37
2017-12-11,325.09,0.41,0.13,11.73,1.14,1.38
2017-12-12,324.07,-1.02,-0.31,11.69,1.14,1.38
2017-12-13,326.18,2.11,0.65,11.77,1.14,1.37
2017-12-14,324.74,-1.44,-0.44,11.72,1.14,1.38
2017-12-15,326.23,1.49,0.46,11.95,1.15,1.36
2017-12-18,326.6,0.37,0.11,11.97,1.15,1.35
2017-12-19,326.76,0.16,0.05,11.97,1.15,1.35
2017-12-20,325.79,-0.97,-0.3,11.94,1.15,1.36
2017-12-21,319.72,-6.07,-1.86,11.71,1.13,1.38
2017-12-22,321.21,1.49,0.47,11.77,1.13,1.38
2017-12-26,318.89,-2.32,-0.72,11.68,1.12,1.39
2017-12-27,320.25,1.36,0.43,11.74,1.13,1.38
2017-12-28,324.74,4.49,1.4,11.9,1.15,1.36
2018-01-02,326.0,1.26,0.39,11.95,1.15,1.36
2018-01-03,327.13,1.13,0.35,11.99,1.15,1.35
2018-01-04,324.58,-2.55,-0.78,11.9,1.15,1.36
2018-01-05,328.97,4.39,1.35,12.06,1.16,1.34
2018-01-08,331.28,2.31,0.7,12.13,1.17,1.34
2018-01-09,330.25,-1.03,-0.31,12.09,1.16,1.34
2018-01-10,327.61,-2.64,-0.8,11.99,1.15,1.35
2018-01-11,325.67,-1.94,-0.59,11.92,1.15,1.36
2018-01-12,326.72,1.05,0.32,11.96,1.15,1.36
2018-01-15,327.39,0.67,0.21,11.98,1.15,1.35
2018-01-16,330.02,2.63,0.8,12.08,1.16,1.34
2018-01-17,329.19,-0.83,-0.25,12.05,1.16,1.35
2018-01-18,329.13,-0.06,-0.02,12.04,1.16,1.35
2018-01-19,329.52,0.39,0.12,12.06,1.16,1.34
2018-01-22,326.27,-3.25,-0.99,11.94,1.15,1.36
2018-01-23,330.93,4.66,1.43,12.11,1.17,1.34
2018-01-24,330.91,-0.02,-0.01,12.11,1.17,1.34
2018-01-25,334.08,3.17,0.96,12.22,1.18,1.33
2018-01-26,335.38,1.3,0.39,12.27,1.18,1.32
2018-01-29,338.05,2.67,0.8,12.37,1.19,1.31
2018-01-30,333.4,-4.65,-1.38,12.2,1.17,1.33
2018-01-31,333.38,-0.02,-0.01,12.21,1.18,1.33
2018-02-01,333.36,-0.02,-0.01,12.22,1.18,1.33
2018-02-02,327.01,-6.35,-1.9,11.99,1.15,1.35
2018-02-05,323.29,-3.72,-1.14,11.85,1.14,1.37
2018-02-06,318.01,-5.28,-1.63,11.66,1.12,1.39
2018-02-07,310.48,-7.53,-2.37,11.38,1.1,1.42
2018-02-08,311.62,1.14,0.37,11.41,1.1,1.42
2018-02-09,304.83,-6.79,-2.18,11.16,1.07,1.45
2018-02-12,308.13,3.3,1.08,11.28,1.09,1.44
2018-02-13,310.87,2.74,0.89,11.38,1.1,1.42
2018-02-14,314.4,3.53,1.14,11.51,1.11,1.41
2018-02-19,316.61,2.21,0.7,11.59,1.12,1.4
2018-02-20,312.83,-3.78,-1.19,11.45,1.1,1.41
2018-02-21,314.47,1.64,0.52,11.51,1.11,1.41
2018-02-22,312.17,-2.3,-0.73,11.43,1.1,1.42
2018-02-23,316.81,4.64,1.49,11.6,1.12,1.4
2018-02-26,317.34,0.53,0.17,11.62,1.12,1.39
2018-02-27,316.83,-0.51,-0.16,11.6,1.12,1.4
2018-02-28,312.86,-3.97,-1.25,11.46,1.1,1.41
2018-03-02,308.35,-4.51,-1.44,11.3,1.09,1.43
2018-03-05,304.58,-3.77,-1.22,11.16,1.07,1.45
2018-03-06,310.46,5.88,1.93,11.37,1.09,1.42
