,date,KODEX_MINMAX
0,20021014,279
1,20021015,190
2,20021016,88
3,20021017,212
4,20021018,170
5,20021021,136
6,20021022,273
7,20021023,238
8,20021024,170
9,20021025,157
10,20021028,157
11,20021029,109
12,20021030,177
13,20021031,157
14,20021101,102
15,20021104,177
16,20021105,130
17,20021106,136
18,20021107,143
19,20021108,89
20,20021111,150
21,20021112,137
22,20021113,129
23,20021114,95
24,20021115,109
25,20021118,137
26,20021119,103
27,20021120,171
28,20021121,96
29,20021122,130
30,20021125,96
31,20021126,116
32,20021127,116
33,20021128,116
34,20021129,110
35,20021202,109
36,20021203,95
37,20021204,109
38,20021205,116
39,20021206,102
40,20021209,163
41,20021210,95
42,20021211,102
43,20021212,96
44,20021213,89
45,20021216,89
46,20021217,76
47,20021218,157
48,20021220,96
49,20021223,185
50,20021224,171
51,20021226,123
52,20021227,123
53,20021230,334
54,20030102,136
55,20030103,136
56,20030106,109
57,20030107,259
58,20030108,89
59,20030109,157
60,20030110,232
61,20030113,218
62,20030114,123
63,20030115,157
64,20030116,144
65,20030117,123
66,20030120,109
67,20030121,110
68,20030122,143
69,20030123,109
70,20030124,218
71,20030127,102
72,20030128,109
73,20030129,212
74,20030130,95
75,20030203,177
76,20030204,75
77,20030205,123
78,20030206,150
79,20030207,170
80,20030210,82
81,20030211,245
82,20030212,136
83,20030213,150
84,20030214,103
85,20030217,143
86,20030218,116
87,20030219,150
88,20030220,82
89,20030221,102
90,20030224,136
91,20030225,136
92,20030226,75
93,20030227,89
94,20030228,136
95,20030303,136
96,20030304,89
97,20030305,109
98,20030306,102
99,20030307,82
100,20030310,76
101,20030311,75
102,20030312,75
103,20030313,184
104,20030314,95
105,20030317,225
106,20030318,123
107,20030319,116
108,20030320,156
109,20030321,116
110,20030324,116
111,20030325,81
112,20030326,136
113,20030327,54
114,20030328,102
115,20030331,116
116,20030401,102
117,20030402,102
118,20030403,109
119,20030404,218
120,20030407,246
121,20030408,177
122,20030409,116
123,20030410,109
124,20030411,225
125,20030414,150
126,20030415,82
127,20030416,109
128,20030417,75
129,20030418,82
130,20030421,96
131,20030422,151
132,20030423,123
133,20030424,150
134,20030425,144
135,20030428,116
136,20030429,204
137,20030430,84
138,20030502,190
139,20030506,77
140,20030507,120
141,20030509,113
142,20030512,70
143,20030513,203
144,20030514,106
145,20030515,134
146,20030516,141
147,20030519,112
148,20030520,155
149,20030521,70
150,20030522,168
151,20030523,112
152,20030526,120
153,20030527,106
154,20030528,63
155,20030529,119
156,20030530,77
157,20030602,71
158,20030603,99
159,20030604,98
160,20030605,57
161,20030609,134
162,20030610,91
163,20030611,91
164,20030612,56
165,20030613,134
166,20030616,84
167,20030617,71
168,20030618,91
169,20030619,126
170,20030620,56
171,20030623,119
172,20030624,49
173,20030625,99
174,20030626,127
175,20030627,105
176,20030630,85
177,20030701,113
178,20030702,70
179,20030703,127
180,20030704,84
181,20030707,84
182,20030708,98
183,20030709,63
184,20030710,84
185,20030711,113
186,20030714,140
187,20030715,113
188,20030716,105
189,20030718,91
190,20030721,92
191,20030722,113
192,20030723,84
193,20030724,127
194,20030725,84
195,20030728,98
196,20030729,71
197,20030730,85
198,20030731,70
199,20030801,134
200,20030804,57
201,20030805,56
202,20030806,84
203,20030807,63
204,20030808,84
205,20030811,113
206,20030812,70
207,20030813,105
208,20030814,71
209,20030818,98
210,20030819,63
211,20030820,70
212,20030821,148
213,20030822,63
214,20030825,77
215,20030826,56
216,20030827,56
217,20030828,140
218,20030829,112
219,20030901,56
220,20030902,63
221,20030903,70
222,20030904,56
223,20030905,77
224,20030908,35
225,20030909,127
226,20030915,133
227,20030916,105
228,20030917,70
229,20030918,112
230,20030919,218
231,20030922,260
232,20030923,148
233,20030924,85
234,20030925,133
235,20030926,98
236,20030929,99
237,20030930,133
238,20031001,155
239,20031002,99
240,20031006,70
241,20031007,70
242,20031008,105
243,20031009,182
244,20031010,281
245,20031013,182
246,20031014,106
247,20031015,106
248,20031016,190
249,20031017,147
250,20031020,119
251,20031021,112
252,20031022,91
253,20031023,190
254,20031024,154
255,20031027,77
256,20031028,232
257,20031029,134
258,20031030,98
259,20031031,147
260,20031103,148
261,20031104,134
262,20031105,141
263,20031106,204
264,20031107,141
265,20031110,141
266,20031111,84
267,20031112,113
268,20031113,84
269,20031114,98
270,20031117,127
271,20031118,148
272,20031119,225
273,20031120,134
274,20031121,134
275,20031124,162
276,20031125,64
277,20031126,154
278,20031127,77
279,20031128,162
280,20031201,196
281,20031202,84
282,20031203,133
283,20031204,77
284,20031205,155
285,20031208,126
286,20031209,77
287,20031210,232
288,20031211,113
289,20031212,84
290,20031215,70
291,20031216,98
292,20031217,161
293,20031218,113
294,20031219,70
295,20031222,112
296,20031223,105
297,20031224,141
298,20031226,71
299,20031229,190
300,20031230,148
301,20040102,105
302,20040105,98
303,20040106,134
304,20040107,71
305,20040108,92
306,20040109,126
307,20040112,141
308,20040113,91
309,20040114,113
310,20040115,148
311,20040116,85
312,20040119,71
313,20040120,70
314,20040126,126
315,20040127,126
316,20040128,91
317,20040129,71
318,20040130,113
319,20040202,92
320,20040203,148
321,20040204,84
322,20040205,77
323,20040206,134
324,20040209,84
325,20040210,112
326,20040211,91
327,20040212,99
328,20040213,127
329,20040216,92
330,20040217,63
331,20040218,120
332,20040219,85
333,20040220,57
334,20040223,113
335,20040224,105
336,20040225,70
337,20040226,133
338,20040227,197
339,20040302,77
340,20040303,84
341,20040304,127
342,20040305,105
343,20040308,99
344,20040309,49
345,20040310,134
346,20040311,105
347,20040312,421
348,20040315,85
349,20040316,98
350,20040317,224
351,20040318,106
352,20040319,113
353,20040322,183
354,20040323,169
355,20040324,77
356,20040325,161
357,20040326,105
358,20040329,106
359,20040330,85
360,20040331,141
361,20040401,99
362,20040402,63
363,20040406,92
364,20040407,106
365,20040408,70
366,20040409,106
367,20040412,246
368,20040413,98
369,20040414,148
370,20040416,134
371,20040419,119
372,20040420,141
373,20040421,210
374,20040422,126
375,20040423,98
376,20040426,161
377,20040427,70
378,20040428,211
379,20040429,236
380,20040430,186
381,20040503,100
382,20040504,115
383,20040506,315
384,20040507,200
385,20040510,600
386,20040511,215
387,20040512,157
388,20040513,250
389,20040514,464
390,20040517,421
391,20040518,300
392,20040519,365
393,20040520,293
394,20040521,186
395,20040524,100
396,20040525,179
397,20040527,193
398,20040528,115
399,20040531,357
400,20040601,136
401,20040602,135
402,20040603,415
403,20040604,135
404,20040607,271
405,20040608,151
406,20040609,250
407,20040610,179
408,20040611,379
409,20040614,264
410,20040615,250
411,20040616,215
412,20040617,158
413,20040618,193
414,20040621,172
415,20040622,200
416,20040623,200
417,20040624,142
418,20040625,186
419,20040628,157
420,20040629,172
421,20040630,100
422,20040701,151
423,20040702,136
424,20040705,151
425,20040706,114
426,20040707,222
427,20040708,136
428,20040709,86
429,20040712,164
430,20040713,100
431,20040714,150
432,20040715,171
433,20040716,207
434,20040719,193
435,20040720,86
436,20040721,100
437,20040722,100
438,20040723,86
439,20040726,136
440,20040727,121
441,20040728,86
442,20040729,150
443,20040730,64
444,20040802,128
445,20040803,57
446,20040804,86
447,20040805,171
448,20040806,93
449,20040809,193
450,20040810,129
451,20040811,93
452,20040812,193
453,20040813,200
454,20040816,115
455,20040817,143
456,20040818,72
457,20040819,93
458,20040820,57
459,20040823,122
460,20040824,93
461,20040825,129
462,20040826,57
463,20040827,72
464,20040830,78
465,20040831,50
466,20040901,143
467,20040902,71
468,20040903,114
469,20040906,79
470,20040907,50
471,20040908,136
472,20040909,79
473,20040910,200
474,20040913,121
475,20040914,107
476,20040915,78
477,20040916,214
478,20040917,136
479,20040920,150
480,20040921,65
481,20040922,264
482,20040923,93
483,20040924,93
484,20040930,293
485,20041001,93
486,20041004,257
487,20041005,79
488,20041006,164
489,20041007,129
490,20041008,136
491,20041011,78
492,20041012,229
493,20041013,121
494,20041014,129
495,20041015,165
496,20041018,128
497,20041019,115
498,20041020,257
499,20041021,214
500,20041022,86
501,20041025,157
502,20041026,107
503,20041027,164
504,20041028,129
505,20041029,222
506,20041101,107
507,20041102,129
508,20041103,150
509,20041104,65
510,20041105,71
511,20041108,250
512,20041109,100
513,20041110,136
514,20041111,122
515,20041112,100
516,20041115,150
517,20041116,121
518,20041117,122
519,20041118,100
520,20041119,208
521,20041122,136
522,20041123,115
523,20041124,179
524,20041125,93
525,20041126,264
526,20041129,107
527,20041130,229
528,20041201,100
529,20041202,114
530,20041203,143
531,20041206,143
532,20041207,108
533,20041208,100
534,20041209,150
535,20041210,229
536,20041213,86
537,20041214,121
538,20041215,157
539,20041216,114
540,20041217,100
541,20041220,79
542,20041221,107
543,20041222,93
544,20041223,158
545,20041224,72
546,20041227,86
547,20041228,114
548,20041229,186
549,20041230,179
550,20050103,107
551,20050104,79
552,20050105,114
553,20050106,101
554,20050107,115
555,20050110,79
556,20050111,150
557,20050112,85
558,20050113,93
559,20050114,279
560,20050117,107
561,20050118,57
562,20050119,107
563,20050120,57
564,20050121,107
565,20050124,122
566,20050125,57
567,20050126,121
568,20050127,86
569,20050128,72
570,20050131,107
571,20050201,79
572,20050202,65
573,20050203,57
574,20050204,107
575,20050207,86
576,20050211,93
577,20050214,150
578,20050215,64
579,20050216,122
580,20050217,50
581,20050218,157
582,20050221,93
583,20050222,122
584,20050223,79
585,20050224,201
586,20050225,100
587,20050228,107
588,20050302,100
589,20050303,115
590,20050304,50
591,20050307,222
592,20050308,100
593,20050309,150
594,20050310,108
595,20050311,179
596,20050314,86
597,20050315,300
598,20050316,165
599,20050317,143
600,20050318,93
601,20050321,157
602,20050322,158
603,20050323,143
604,20050324,172
605,20050325,100
606,20050328,108
607,20050329,214
608,20050330,107
609,20050331,64
610,20050401,157
611,20050404,58
612,20050406,165
613,20050407,72
614,20050408,65
615,20050411,93
616,20050412,43
617,20050413,43
618,20050414,193
619,20050415,222
620,20050418,136
621,20050419,57
622,20050420,171
623,20050421,236
624,20050422,107
625,20050425,143
626,20050426,79
627,20050427,107
628,20050428,168
629,20050429,124
630,20050502,66
631,20050503,138
632,20050504,175
633,20050506,95
634,20050509,190
635,20050510,51
636,20050511,131
637,20050512,58
638,20050513,145
639,20050516,109
640,20050517,160
641,20050518,95
642,20050519,153
643,20050520,66
644,20050523,73
645,20050524,73
646,20050525,160
647,20050526,36
648,20050527,124
649,20050530,58
650,20050531,145
651,20050601,58
652,20050602,87
653,20050603,51
654,20050607,72
655,20050608,80
656,20050609,116
657,20050610,153
658,20050613,80
659,20050614,102
660,20050615,182
661,20050616,58
662,20050617,95
663,20050620,131
664,20050621,102
665,20050622,160
666,20050623,94
667,20050624,131
668,20050627,116
669,20050628,73
670,20050629,109
671,20050630,101
672,20050701,146
673,20050704,59
674,20050705,73
675,20050706,80
676,20050707,153
677,20050708,73
678,20050711,189
679,20050712,189
680,20050713,94
681,20050714,160
682,20050715,65
683,20050718,102
684,20050719,142
685,20050720,167
686,20050721,161
687,20050722,160
688,20050725,131
689,20050726,73
690,20050727,127
691,20050728,72
692,20050729,88
693,20050801,62
694,20050802,37
695,20050803,102
696,20050804,135
697,20050805,211
698,20050808,84
699,20050809,153
700,20050810,109
701,20050811,175
702,20050812,98
703,20050816,218
704,20050817,117
705,20050818,247
706,20050819,134
707,20050822,342
708,20050823,131
