,날짜,MINMAX_SP_500
0,2023- 10- 24,40
1,2023- 10- 23,66
2,2023- 10- 20,53
3,2023- 10- 19,70
4,2023- 10- 18,61
5,2023- 10- 17,56
6,2023- 10- 16,41
7,2023- 10- 13,66
8,2023- 10- 12,60
9,2023- 10- 11,33
10,2023- 10- 10,46
11,2023- 10- 09,58
12,2023- 10- 06,105
13,2023- 10- 05,42
14,2023- 10- 04,48
15,2023- 10- 03,65
16,2023- 10- 02,40
17,2023- 09- 29,59
18,2023- 09- 28,53
19,2023- 09- 27,54
20,2023- 09- 26,48
21,2023- 09- 25,36
22,2023- 09- 22,41
23,2023- 09- 21,46
24,2023- 09- 20,60
25,2023- 09- 19,33
26,2023- 09- 18,24
27,2023- 09- 15,50
28,2023- 09- 14,33
29,2023- 09- 13,26
30,2023- 09- 12,31
31,2023- 09- 11,23
32,2023- 09- 08,25
33,2023- 09- 07,27
34,2023- 09- 06,48
35,2023- 09- 05,18
36,2023- 09- 01,40
37,2023- 08- 31,25
38,2023- 08- 30,28
39,2023- 08- 29,69
40,2023- 08- 28,25
41,2023- 08- 25,62
42,2023- 08- 24,83
43,2023- 08- 23,47
44,2023- 08- 22,36
45,2023- 08- 21,47
46,2023- 08- 18,46
47,2023- 08- 17,57
48,2023- 08- 16,46
49,2023- 08- 15,46
50,2023- 08- 14,37
51,2023- 08- 11,33
52,2023- 08- 10,70
53,2023- 08- 09,41
54,2023- 08- 08,39
55,2023- 08- 07,28
56,2023- 08- 04,66
57,2023- 08- 03,34
58,2023- 08- 02,45
59,2023- 08- 01,17
60,2023- 07- 31,21
61,2023- 07- 28,26
62,2023- 07- 27,79
63,2023- 07- 26,35
64,2023- 07- 25,28
65,2023- 07- 24,22
66,2023- 07- 21,20
67,2023- 07- 20,37
68,2023- 07- 19,21
69,2023- 07- 18,48
70,2023- 07- 17,28
71,2023- 07- 14,28
72,2023- 07- 13,28
73,2023- 07- 12,25
74,2023- 07- 11,35
75,2023- 07- 10,23
76,2023- 07- 07,43
77,2023- 07- 06,37
78,2023- 07- 05,18
79,2023- 07- 03,14
80,2023- 06- 30,36
81,2023- 06- 29,27
82,2023- 06- 28,30
83,2023- 06- 27,49
84,2023- 06- 26,34
85,2023- 06- 23,25
86,2023- 06- 22,31
87,2023- 06- 21,26
88,2023- 06- 20,33
89,2023- 06- 16,41
90,2023- 06- 15,77
91,2023- 06- 14,54
92,2023- 06- 13,26
93,2023- 06- 12,36
