,날짜,WTI_MINMAX
0,2023- 10- 25,0.6400000000000006
1,2023- 10- 24,3.3599999999999994
2,2023- 10- 23,2.940000000000012
3,2023- 10- 20,2.450000000000003
4,2023- 10- 19,4.0800000000000125
5,2023- 10- 18,2.6799999999999926
6,2023- 10- 17,2.1500000000000057
7,2023- 10- 16,2.010000000000005
8,2023- 10- 13,4.480000000000004
9,2023- 10- 12,2.8900000000000006
10,2023- 10- 11,3.4000000000000057
11,2023- 10- 10,1.6199999999999903
12,2023- 10- 09,2.569999999999993
13,2023- 10- 06,1.7800000000000011
14,2023- 10- 05,2.769999999999996
15,2023- 10- 04,5.430000000000007
16,2023- 10- 03,2.509999999999991
17,2023- 10- 02,3.4200000000000017
18,2023- 09- 29,2.75
19,2023- 09- 28,3.6400000000000006
20,2023- 09- 27,3.769999999999996
21,2023- 09- 26,2.549999999999997
22,2023- 09- 25,1.7999999999999972
23,2023- 09- 22,2.019999999999996
24,2023- 09- 21,2.6099999999999994
25,2023- 09- 20,2.1099999999999994
26,2023- 09- 19,2.6700000000000017
27,2023- 09- 18,1.6800000000000068
28,2023- 09- 15,2.010000000000005
29,2023- 09- 14,2.1099999999999994
30,2023- 09- 13,1.3499999999999943
31,2023- 09- 12,2.1500000000000057
32,2023- 09- 11,1.440000000000012
33,2023- 09- 08,1.7999999999999972
34,2023- 09- 07,1.3499999999999943
35,2023- 09- 06,2.1499999999999915
36,2023- 09- 05,3.049999999999997
37,2023- 09- 04,0.8599999999999994
38,2023- 09- 03,0.3299999999999983
39,2023- 09- 01,2.6000000000000085
40,2023- 08- 31,2.2099999999999937
41,2023- 08- 30,1.1700000000000017
42,2023- 08- 29,2.069999999999993
43,2023- 08- 28,1.2600000000000051
44,2023- 08- 25,2.3100000000000023
45,2023- 08- 24,1.6899999999999977
46,2023- 08- 23,2.289999999999992
47,2023- 08- 22,0.8900000000000006
48,2023- 08- 21,1.8599999999999994
49,2023- 08- 18,2.019999999999996
50,2023- 08- 17,2.1299999999999955
51,2023- 08- 16,2.3800000000000097
52,2023- 08- 15,2.509999999999991
53,2023- 08- 14,1.4399999999999977
54,2023- 08- 11,1.5799999999999983
55,2023- 08- 10,2.3100000000000023
56,2023- 08- 09,1.980000000000004
57,2023- 08- 08,3.1799999999999926
58,2023- 08- 07,1.7800000000000011
59,2023- 08- 04,1.7299999999999898
60,2023- 08- 03,3.1700000000000017
61,2023- 08- 02,3.3800000000000097
62,2023- 08- 01,1.6299999999999955
63,2023- 07- 31,1.8700000000000045
64,2023- 07- 28,1.6400000000000006
65,2023- 07- 27,1.7299999999999898
66,2023- 07- 26,1.2199999999999989
67,2023- 07- 25,1.6099999999999994
68,2023- 07- 24,2.8400000000000034
69,2023- 07- 21,1.6000000000000085
70,2023- 07- 20,1.4300000000000068
71,2023- 07- 19,1.9000000000000057
72,2023- 07- 18,2.0799999999999983
73,2023- 07- 17,2.25
74,2023- 07- 14,2.1899999999999977
75,2023- 07- 13,2.010000000000005
76,2023- 07- 12,1.480000000000004
77,2023- 07- 11,1.9799999999999898
78,2023- 07- 10,1.480000000000004
79,2023- 07- 07,2.730000000000004
80,2023- 07- 06,2.1200000000000045
81,2023- 07- 05,2.269999999999996
82,2023- 07- 04,1.4300000000000068
83,2023- 07- 03,2.0799999999999983
84,2023- 06- 30,1.5100000000000051
85,2023- 06- 29,1.6699999999999875
86,2023- 06- 28,2.680000000000007
87,2023- 06- 27,2.6500000000000057
88,2023- 06- 26,1.4000000000000057
89,2023- 06- 23,2.3000000000000114
90,2023- 06- 22,3.719999999999999
91,2023- 06- 21,1.9200000000000017
92,2023- 06- 20,2.4399999999999977
93,2023- 06- 19,1.4200000000000017
94,2023- 06- 18,0.25
95,2023- 06- 16,1.9399999999999977
96,2023- 06- 15,2.989999999999995
97,2023- 06- 14,2.4200000000000017
98,2023- 06- 13,2.6799999999999926
99,2023- 06- 12,3.530000000000001
100,2023- 06- 09,1.6700000000000017
101,2023- 06- 08,4.25
102,2023- 06- 07,2.1799999999999926
103,2023- 06- 06,2.200000000000003
104,2023- 06- 05,3.3299999999999983
105,2023- 06- 02,2.1700000000000017
106,2023- 06- 01,3.559999999999988
107,2023- 05- 31,2.6599999999999966
108,2023- 05- 30,4.530000000000001
109,2023- 05- 29,1.5
110,2023- 05- 28,0.39000000000000057
111,2023- 05- 26,1.5600000000000023
112,2023- 05- 25,3.3900000000000006
113,2023- 05- 24,1.6000000000000085
114,2023- 05- 23,2.0800000000000125
115,2023- 05- 22,1.8100000000000023
116,2023- 05- 19,2.3700000000000045
117,2023- 05- 18,1.4500000000000028
118,2023- 05- 17,3.219999999999999
119,2023- 05- 16,1.3400000000000034
120,2023- 05- 15,2.280000000000001
121,2023- 05- 12,1.8499999999999943
122,2023- 05- 11,2.8700000000000045
123,2023- 05- 10,2.0900000000000034
124,2023- 05- 09,2.4399999999999977
125,2023- 05- 08,2.6499999999999915
126,2023- 05- 05,3.3299999999999983
127,2023- 05- 04,6.200000000000003
128,2023- 05- 03,3.8400000000000034
129,2023- 05- 02,4.689999999999998
130,2023- 05- 01,2.1599999999999966
131,2023- 04- 28,2.989999999999995
132,2023- 04- 27,1.25
133,2023- 04- 26,3.8800000000000097
134,2023- 04- 25,2.569999999999993
135,2023- 04- 24,2.460000000000008
136,2023- 04- 21,1.6700000000000017
137,2023- 04- 20,1.9200000000000017
138,2023- 04- 19,2.720000000000013
139,2023- 04- 18,1.6099999999999994
140,2023- 04- 17,2.239999999999995
141,2023- 04- 14,1.3599999999999994
142,2023- 04- 13,1.3299999999999983
143,2023- 04- 12,2.25
144,2023- 04- 11,2.219999999999999
145,2023- 04- 10,1.6099999999999994
146,2023- 04- 06,1.309999999999988
147,2023- 04- 05,1.519999999999996
148,2023- 04- 04,2.200000000000003
149,2023- 04- 03,2.6899999999999977
150,2023- 03- 31,1.9500000000000028
151,2023- 03- 30,2.019999999999996
152,2023- 03- 29,1.6099999999999994
153,2023- 03- 28,1.740000000000009
154,2023- 03- 27,3.969999999999999
155,2023- 03- 24,3.5600000000000023
156,2023- 03- 23,2.530000000000001
157,2023- 03- 22,2.4200000000000017
158,2023- 03- 21,2.8299999999999983
159,2023- 03- 20,3.5799999999999983
160,2023- 03- 17,4.469999999999999
161,2023- 03- 16,3.6700000000000017
162,2023- 03- 15,6.909999999999997
163,2023- 03- 14,4.1200000000000045
164,2023- 03- 13,5.170000000000002
165,2023- 03- 10,2.3400000000000034
166,2023- 03- 09,2.6299999999999955
167,2023- 03- 08,1.6200000000000045
168,2023- 03- 07,3.8799999999999955
169,2023- 03- 06,2.3100000000000023
170,2023- 03- 03,4.070000000000007
171,2023- 03- 02,1.3599999999999994
172,2023- 03- 01,1.7299999999999898
173,2023- 02- 28,2.280000000000001
174,2023- 02- 27,1.8299999999999983
175,2023- 02- 24,2.539999999999992
176,2023- 02- 23,2.1599999999999966
177,2023- 02- 22,2.75
178,2023- 02- 21,1.8200000000000074
179,2023- 02- 20,1.4099999999999966
180,2023- 02- 19,0.28999999999999204
181,2023- 02- 17,3.1899999999999977
182,2023- 02- 16,1.6200000000000045
183,2023- 02- 15,1.9000000000000057
184,2023- 02- 14,2.1500000000000057
185,2023- 02- 13,2.1700000000000017
186,2023- 02- 10,2.8599999999999994
187,2023- 02- 09,2.3200000000000074
188,2023- 02- 08,1.4899999999999949
189,2023- 02- 07,3.25
190,2023- 02- 06,2.260000000000005
191,2023- 02- 03,4.900000000000006
192,2023- 02- 02,2.269999999999996
193,2023- 02- 01,3.680000000000007
194,2023- 01- 31,2.700000000000003
195,2023- 01- 30,2.8299999999999983
196,2023- 01- 27,3.4399999999999977
197,2023- 01- 26,2.219999999999999
198,2023- 01- 25,1.7800000000000011
199,2023- 01- 24,2.5600000000000023
200,2023- 01- 23,1.5900000000000034
201,2023- 01- 20,2.0
202,2023- 01- 19,3.039999999999992
203,2023- 01- 18,3.450000000000003
204,2023- 01- 17,2.710000000000008
205,2023- 01- 16,1.1200000000000045
206,2023- 01- 15,0.4099999999999966
207,2023- 01- 13,2.1400000000000006
208,2023- 01- 12,2.0200000000000102
209,2023- 01- 11,3.5
210,2023- 01- 10,2.0
211,2023- 01- 09,3.1799999999999926
212,2023- 01- 06,2.1899999999999977
213,2023- 01- 05,2.410000000000011
214,2023- 01- 04,4.609999999999999
215,2023- 01- 03,4.810000000000002
216,2023- 01- 02,0.4299999999999926
217,2022- 12- 30,2.8499999999999943
218,2022- 12- 29,2.019999999999996
219,2022- 12- 28,2.549999999999997
220,2022- 12- 27,2.0
221,2022- 12- 26,1.1400000000000006
222,2022- 12- 23,2.3100000000000023
223,2022- 12- 22,2.8499999999999943
224,2022- 12- 21,2.75
225,2022- 12- 20,2.5
226,2022- 12- 19,2.549999999999997
227,2022- 12- 16,3.239999999999995
228,2022- 12- 15,2.3800000000000097
229,2022- 12- 14,2.8299999999999983
230,2022- 12- 13,3.1400000000000006
231,2022- 12- 12,3.730000000000004
232,2022- 12- 11,0.6599999999999966
233,2022- 12- 09,2.8100000000000023
234,2022- 12- 08,4.25
235,2022- 12- 07,3.6099999999999994
236,2022- 12- 06,4.449999999999989
237,2022- 12- 05,5.929999999999993
238,2022- 12- 04,1.4000000000000057
239,2022- 12- 02,2.509999999999991
240,2022- 12- 01,3.3900000000000006
241,2022- 11- 30,2.930000000000007
242,2022- 11- 29,3.3599999999999994
243,2022- 11- 28,4.240000000000009
244,2022- 11- 25,3.680000000000007
245,2022- 11- 24,1.269999999999996
246,2022- 11- 23,5.1200000000000045
247,2022- 11- 22,2.510000000000005
248,2022- 11- 21,5.219999999999999
249,2022- 11- 18,5.400000000000006
250,2022- 11- 17,4.049999999999997
251,2022- 11- 16,3.3100000000000023
252,2022- 11- 15,4.6200000000000045
253,2022- 11- 14,4.689999999999998
254,2022- 11- 11,3.9199999999999875
255,2022- 11- 10,2.6499999999999915
256,2022- 11- 09,3.739999999999995
257,2022- 11- 08,3.6500000000000057
258,2022- 11- 07,3.339999999999989
259,2022- 11- 04,5.050000000000011
260,2022- 11- 03,2.0700000000000074
261,2022- 11- 02,2.6400000000000006
262,2022- 11- 01,3.530000000000001
263,2022- 10- 31,3.3500000000000085
264,2022- 10- 28,1.6800000000000068
265,2022- 10- 27,2.460000000000008
266,2022- 10- 26,4.269999999999996
267,2022- 10- 25,2.969999999999999
268,2022- 10- 24,3.2900000000000063
269,2022- 10- 21,2.75
270,2022- 10- 20,2.950000000000003
271,2022- 10- 19,3.6099999999999994
272,2022- 10- 18,4.420000000000002
273,2022- 10- 17,2.510000000000005
274,2022- 10- 14,4.530000000000001
275,2022- 10- 13,4.099999999999994
276,2022- 10- 12,3.789999999999992
277,2022- 10- 11,3.4399999999999977
278,2022- 10- 10,3.0999999999999943
279,2022- 10- 07,5.310000000000002
280,2022- 10- 06,2.029999999999987
281,2022- 10- 05,3.0
282,2022- 10- 04,3.760000000000005
283,2022- 10- 03,3.6899999999999977
284,2022- 09- 30,3.4200000000000017
285,2022- 09- 29,2.5999999999999943
286,2022- 09- 28,5.790000000000006
287,2022- 09- 27,3.0900000000000034
288,2022- 09- 26,4.060000000000002
289,2022- 09- 23,5.8799999999999955
290,2022- 09- 22,3.5999999999999943
291,2022- 09- 21,4.190000000000012
292,2022- 09- 20,2.930000000000007
293,2022- 09- 19,4.1200000000000045
294,2022- 09- 16,2.3200000000000074
295,2022- 09- 15,4.6200000000000045
296,2022- 09- 14,4.009999999999991
297,2022- 09- 13,4.25
298,2022- 09- 12,3.9399999999999977
299,2022- 09- 09,4.490000000000009
300,2022- 09- 08,3.049999999999997
301,2022- 09- 07,6.260000000000005
302,2022- 09- 06,4.209999999999994
303,2022- 09- 05,2.3900000000000006
304,2022- 09- 04,1.3700000000000045
305,2022- 09- 02,3.3100000000000023
306,2022- 09- 01,3.6499999999999915
307,2022- 08- 31,4.460000000000008
308,2022- 08- 30,7.11999999999999
309,2022- 08- 29,5.079999999999998
310,2022- 08- 26,2.9399999999999977
311,2022- 08- 25,3.469999999999999
312,2022- 08- 24,2.6099999999999994
313,2022- 08- 23,3.799999999999997
314,2022- 08- 22,4.660000000000011
315,2022- 08- 19,3.710000000000008
316,2022- 08- 18,4.140000000000001
317,2022- 08- 17,3.280000000000001
318,2022- 08- 16,4.920000000000002
319,2022- 08- 15,5.280000000000001
320,2022- 08- 12,3.6500000000000057
321,2022- 08- 11,3.8100000000000023
322,2022- 08- 10,4.77000000000001
323,2022- 08- 09,3.6000000000000085
324,2022- 08- 08,3.6700000000000017
325,2022- 08- 05,3.75
326,2022- 08- 04,4.3500000000000085
327,2022- 08- 03,6.189999999999998
328,2022- 08- 02,3.8799999999999955
329,2022- 08- 01,6.230000000000004
330,2022- 07- 29,5.469999999999999
331,2022- 07- 28,3.799999999999997
332,2022- 07- 27,4.290000000000006
333,2022- 07- 26,4.239999999999995
334,2022- 07- 25,3.9299999999999926
335,2022- 07- 22,3.719999999999999
336,2022- 07- 21,5.3999999999999915
337,2022- 07- 20,2.8799999999999955
338,2022- 07- 19,4.609999999999999
339,2022- 07- 18,6.950000000000003
340,2022- 07- 15,4.460000000000008
341,2022- 07- 14,6.439999999999998
342,2022- 07- 13,4.289999999999992
343,2022- 07- 12,8.14
344,2022- 07- 11,4.159999999999997
345,2022- 07- 08,3.7299999999999898
346,2022- 07- 07,7.910000000000011
347,2022- 07- 06,7.040000000000006
348,2022- 07- 05,14.019999999999996
349,2022- 07- 04,3.519999999999996
350,2022- 07- 03,0.6700000000000017
351,2022- 07- 01,4.780000000000001
352,2022- 06- 30,5.3500000000000085
353,2022- 06- 29,4.829999999999998
354,2022- 06- 28,2.5999999999999943
355,2022- 06- 27,4.940000000000012
356,2022- 06- 24,4.939999999999998
357,2022- 06- 23,4.730000000000004
358,2022- 06- 22,8.230000000000004
359,2022- 06- 21,3.75
360,2022- 06- 20,2.3299999999999983
361,2022- 06- 19,0.5600000000000023
362,2022- 06- 17,10.719999999999999
363,2022- 06- 16,5.769999999999996
364,2022- 06- 15,5.010000000000005
365,2022- 06- 14,7.060000000000002
366,2022- 06- 13,4.780000000000001
367,2022- 06- 10,4.420000000000002
368,2022- 06- 09,1.9299999999999926
369,2022- 06- 08,3.8800000000000097
370,2022- 06- 07,3.219999999999999
371,2022- 06- 06,3.3599999999999994
372,2022- 06- 03,5.22999999999999
373,2022- 06- 02,6.569999999999993
374,2022- 06- 01,3.2900000000000063
375,2022- 05- 31,5.829999999999998
376,2022- 05- 30,2.4000000000000057
377,2022- 05- 29,0.6099999999999994
378,2022- 05- 27,2.450000000000003
379,2022- 05- 26,4.560000000000002
380,2022- 05- 25,2.450000000000003
381,2022- 05- 24,2.8200000000000074
382,2022- 05- 23,2.809999999999988
383,2022- 05- 20,3.190000000000012
384,2022- 05- 19,7.490000000000009
385,2022- 05- 18,6.960000000000008
386,2022- 05- 17,3.8100000000000023
387,2022- 05- 16,6.790000000000006
388,2022- 05- 13,4.349999999999994
389,2022- 05- 12,4.710000000000008
390,2022- 05- 11,8.239999999999995
391,2022- 05- 10,5.299999999999997
392,2022- 05- 09,8.36
393,2022- 05- 06,3.940000000000012
394,2022- 05- 05,4.920000000000002
395,2022- 05- 04,5.659999999999997
396,2022- 05- 03,3.700000000000003
397,2022- 05- 02,5.659999999999997
398,2022- 04- 29,4.209999999999994
399,2022- 04- 28,5.550000000000011
400,2022- 04- 27,3.1899999999999977
401,2022- 04- 26,5.719999999999999
402,2022- 04- 25,6.269999999999996
403,2022- 04- 22,3.1599999999999966
404,2022- 04- 21,3.4099999999999966
405,2022- 04- 20,3.4599999999999937
406,2022- 04- 19,6.820000000000007
407,2022- 04- 18,3.8100000000000023
408,2022- 04- 14,5.519999999999996
409,2022- 04- 13,4.599999999999994
410,2022- 04- 12,6.509999999999991
411,2022- 04- 11,5.589999999999989
412,2022- 04- 08,3.469999999999999
413,2022- 04- 07,5.009999999999991
414,2022- 04- 06,8.289999999999992
415,2022- 04- 05,5.710000000000008
416,2022- 04- 04,5.890000000000001
417,2022- 04- 01,3.969999999999999
418,2022- 03- 31,8.14
419,2022- 03- 30,4.200000000000003
420,2022- 03- 29,9.400000000000006
421,2022- 03- 28,10.100000000000009
422,2022- 03- 25,5.439999999999998
423,2022- 03- 24,6.030000000000001
424,2022- 03- 23,7.02000000000001
425,2022- 03- 22,5.710000000000008
426,2022- 03- 21,8.61
427,2022- 03- 18,3.980000000000004
428,2022- 03- 17,9.39
429,2022- 03- 16,5.150000000000006
430,2022- 03- 15,9.049999999999997
431,2022- 03- 14,9.959999999999994
432,2022- 03- 11,5.810000000000002
433,2022- 03- 10,9.349999999999994
434,2022- 03- 09,23.210000000000008
435,2022- 03- 08,12.370000000000005
436,2022- 03- 07,14.959999999999994
437,2022- 03- 04,8.769999999999996
438,2022- 03- 03,10.139999999999986
439,2022- 03- 02,7.329999999999998
440,2022- 03- 01,11.460000000000008
441,2022- 02- 28,4.6699999999999875
442,2022- 02- 25,5.579999999999998
443,2022- 02- 24,9.090000000000003
444,2022- 02- 23,3.260000000000005
445,2022- 02- 22,5.650000000000006
446,2022- 02- 21,4.829999999999998
447,2022- 02- 20,0.6599999999999966
448,2022- 02- 18,3.6299999999999955
449,2022- 02- 17,2.739999999999995
450,2022- 02- 16,5.010000000000005
451,2022- 02- 15,4.510000000000005
452,2022- 02- 14,3.7299999999999898
453,2022- 02- 11,5.469999999999999
454,2022- 02- 10,2.7099999999999937
455,2022- 02- 09,2.1700000000000017
456,2022- 02- 08,3.1700000000000017
457,2022- 02- 07,2.0
458,2022- 02- 04,3.1000000000000085
459,2022- 02- 03,3.700000000000003
460,2022- 02- 02,2.6200000000000045
461,2022- 02- 01,2.3200000000000074
462,2022- 01- 31,2.049999999999997
463,2022- 01- 28,2.4000000000000057
464,2022- 01- 27,2.3400000000000034
465,2022- 01- 26,2.9399999999999977
466,2022- 01- 25,2.719999999999999
467,2022- 01- 24,4.189999999999998
468,2022- 01- 21,2.780000000000001
469,2022- 01- 20,1.8199999999999932
470,2022- 01- 19,2.1400000000000006
471,2022- 01- 18,3.1299999999999955
472,2022- 01- 17,1.0100000000000051
473,2022- 01- 16,0.4099999999999966
474,2022- 01- 14,2.8700000000000045
475,2022- 01- 13,1.5499999999999972
476,2022- 01- 12,1.9299999999999926
477,2022- 01- 11,3.230000000000004
478,2022- 01- 10,1.6200000000000045
479,2022- 01- 07,1.9500000000000028
480,2022- 01- 06,3.509999999999991
481,2022- 01- 05,2.069999999999993
482,2022- 01- 04,1.9399999999999977
483,2022- 01- 03,2.1899999999999977
484,2021- 12- 31,2.1299999999999955
485,2021- 12- 30,1.6599999999999966
486,2021- 12- 29,2.010000000000005
487,2021- 12- 28,1.3900000000000006
488,2021- 12- 27,3.5200000000000102
489,2021- 12- 23,1.6800000000000068
490,2021- 12- 22,2.3599999999999994
491,2021- 12- 21,2.989999999999995
492,2021- 12- 20,4.029999999999987
493,2021- 12- 17,2.3700000000000045
494,2021- 12- 16,1.9599999999999937
495,2021- 12- 15,2.269999999999996
496,2021- 12- 14,2.519999999999996
497,2021- 12- 13,2.2900000000000063
498,2021- 12- 10,2.010000000000005
499,2021- 12- 09,2.950000000000003
500,2021- 12- 08,2.0900000000000034
501,2021- 12- 07,3.510000000000005
502,2021- 12- 06,3.430000000000007
503,2021- 12- 03,3.6200000000000045
504,2021- 12- 02,5.059999999999995
505,2021- 12- 01,4.6499999999999915
506,2021- 11- 30,6.789999999999992
507,2021- 11- 29,4.070000000000007
508,2021- 11- 26,11.25
509,2021- 11- 25,1.3700000000000045
510,2021- 11- 24,1.25
511,2021- 11- 23,3.5600000000000023
512,2021- 11- 22,2.3999999999999915
513,2021- 11- 19,4.549999999999997
514,2021- 11- 18,2.280000000000001
515,2021- 11- 17,3.0
516,2021- 11- 16,1.7800000000000011
517,2021- 11- 15,1.9000000000000057
518,2021- 11- 12,1.8400000000000034
519,2021- 11- 11,2.1299999999999955
520,2021- 11- 10,4.159999999999997
521,2021- 11- 09,2.8499999999999943
522,2021- 11- 08,1.6200000000000045
523,2021- 11- 05,2.8400000000000034
524,2021- 11- 04,5.170000000000002
525,2021- 11- 03,3.3900000000000006
526,2021- 11- 02,1.4899999999999949
527,2021- 11- 01,2.1400000000000006
528,2021- 10- 29,2.3299999999999983
529,2021- 10- 28,2.6299999999999955
530,2021- 10- 27,2.5
531,2021- 10- 26,1.9099999999999966
532,2021- 10- 25,2.019999999999996
533,2021- 10- 22,2.4599999999999937
534,2021- 10- 21,3.1699999999999875
535,2021- 10- 20,2.950000000000003
536,2021- 10- 19,1.9399999999999977
537,2021- 10- 18,2.030000000000001
538,2021- 10- 15,1.269999999999996
539,2021- 10- 14,1.3000000000000114
540,2021- 10- 13,1.6200000000000045
541,2021- 10- 12,2.1500000000000057
542,2021- 10- 11,2.6300000000000097
543,2021- 10- 08,1.480000000000004
544,2021- 10- 07,3.930000000000007
545,2021- 10- 06,2.950000000000003
546,2021- 10- 05,2.010000000000005
547,2021- 10- 04,3.0600000000000023
548,2021- 10- 01,1.759999999999991
549,2021- 09- 30,2.9299999999999926
550,2021- 09- 29,2.0500000000000114
551,2021- 09- 28,2.430000000000007
552,2021- 09- 27,1.5900000000000034
553,2021- 09- 24,1.4599999999999937
554,2021- 09- 23,1.8900000000000006
555,2021- 09- 22,1.6599999999999966
556,2021- 09- 21,1.9599999999999937
557,2021- 09- 20,2.219999999999999
558,2021- 09- 17,1.5100000000000051
559,2021- 09- 16,1.4599999999999937
560,2021- 09- 15,2.489999999999995
561,2021- 09- 14,1.2399999999999949
562,2021- 09- 13,1.4599999999999937
563,2021- 09- 10,2.279999999999987
564,2021- 09- 09,2.3299999999999983
565,2021- 09- 08,1.4399999999999977
566,2021- 09- 07,1.8400000000000034
567,2021- 09- 06,1.2000000000000028
568,2021- 09- 05,0.5
569,2021- 09- 03,1.480000000000004
570,2021- 09- 02,2.769999999999996
571,2021- 09- 01,2.1199999999999903
572,2021- 08- 31,1.1800000000000068
573,2021- 08- 30,1.9699999999999989
574,2021- 08- 27,1.5300000000000011
575,2021- 08- 26,1.2900000000000063
576,2021- 08- 25,1.6200000000000045
577,2021- 08- 24,2.3900000000000006
578,2021- 08- 23,4.259999999999998
579,2021- 08- 20,1.9899999999999949
580,2021- 08- 19,2.1300000000000026
581,2021- 08- 18,3.1400000000000006
582,2021- 08- 17,1.3900000000000006
583,2021- 08- 16,2.539999999999992
584,2021- 08- 13,1.4500000000000028
585,2021- 08- 12,1.1600000000000108
586,2021- 08- 11,2.780000000000001
587,2021- 08- 10,2.3400000000000034
588,2021- 08- 09,2.75
589,2021- 08- 06,2.3800000000000097
590,2021- 08- 05,1.7399999999999949
591,2021- 08- 04,2.960000000000008
592,2021- 08- 03,2.769999999999996
593,2021- 08- 02,3.4000000000000057
594,2021- 07- 30,1.2999999999999972
595,2021- 07- 29,1.4200000000000017
596,2021- 07- 28,0.8999999999999915
597,2021- 07- 27,1.25
598,2021- 07- 26,1.8700000000000045
599,2021- 07- 23,0.8199999999999932
600,2021- 07- 22,2.1700000000000017
601,2021- 07- 21,4.070000000000007
602,2021- 07- 20,2.440000000000012
603,2021- 07- 19,6.040000000000006
604,2021- 07- 16,1.8900000000000006
605,2021- 07- 15,1.559999999999988
606,2021- 07- 14,3.230000000000004
607,2021- 07- 13,1.8399999999999892
608,2021- 07- 12,1.7700000000000102
609,2021- 07- 09,2.0400000000000063
610,2021- 07- 08,2.5
611,2021- 07- 07,3.7900000000000063
612,2021- 07- 06,4.040000000000006
613,2021- 07- 05,1.6500000000000057
614,2021- 07- 04,0.28000000000000114
615,2021- 07- 02,1.210000000000008
616,2021- 07- 01,2.8299999999999983
617,2021- 06- 30,1.3200000000000074
618,2021- 06- 29,1.8400000000000034
619,2021- 06- 28,1.8299999999999983
620,2021- 06- 25,1.3300000000000125
621,2021- 06- 24,1.2900000000000063
622,2021- 06- 23,1.4300000000000068
623,2021- 06- 22,1.0100000000000051
624,2021- 06- 21,2.809999999999988
625,2021- 06- 18,2.010000000000005
626,2021- 06- 17,2.530000000000001
627,2021- 06- 16,1.3799999999999955
628,2021- 06- 15,1.6799999999999926
629,2021- 06- 14,1.1299999999999955
630,2021- 06- 11,1.559999999999988
631,2021- 06- 10,1.9699999999999989
632,2021- 06- 09,1.1600000000000108
633,2021- 06- 08,1.7999999999999972
634,2021- 06- 07,1.0699999999999932
635,2021- 06- 04,1.4300000000000068
636,2021- 06- 03,1.210000000000008
637,2021- 06- 02,1.2199999999999989
638,2021- 06- 01,2.460000000000008
639,2021- 05- 31,1.0
640,2021- 05- 30,0.21999999999999886
641,2021- 05- 28,1.3499999999999943
642,2021- 05- 27,1.4500000000000028
643,2021- 05- 26,1.1800000000000068
644,2021- 05- 25,1.1000000000000085
645,2021- 05- 24,2.509999999999998
646,2021- 05- 21,2.509999999999991
647,2021- 05- 20,2.0700000000000003
648,2021- 05- 19,3.3999999999999915
649,2021- 05- 18,2.9000000000000057
650,2021- 05- 17,1.6000000000000085
651,2021- 05- 14,2.2900000000000063
652,2021- 05- 13,2.719999999999999
653,2021- 05- 12,1.6599999999999966
654,2021- 05- 11,1.8200000000000003
655,2021- 05- 10,1.7999999999999972
656,2021- 05- 07,1.3399999999999963
657,2021- 05- 06,1.480000000000004
658,2021- 05- 05,1.8400000000000034
659,2021- 05- 04,1.8999999999999915
660,2021- 05- 03,1.7700000000000102
661,2021- 04- 30,1.8700000000000045
662,2021- 04- 29,1.8200000000000003
663,2021- 04- 28,1.8599999999999994
664,2021- 04- 27,1.3900000000000006
665,2021- 04- 26,1.6500000000000057
666,2021- 04- 23,1.1799999999999997
667,2021- 04- 22,1.259999999999998
668,2021- 04- 21,1.7000000000000028
669,2021- 04- 20,2.75
