날짜,종가,시가,고가,저가,거래량,변동 %,종가-시가 
2023-10-25,18.97 ,18.97 ,18.97 ,18.97 ,,0.00 ,0.00 
2023-10-24,18.97 ,20.03 ,20.24 ,18.65 ,,(0.07),-1.06 
2023-10-23,20.37 ,21.83 ,23.08 ,19.48 ,,(0.06),-1.46 
2023-10-20,21.71 ,21.59 ,21.83 ,20.42 ,,0.01 ,0.12 
2023-10-19,21.40 ,19.73 ,21.40 ,18.55 ,,0.11 ,1.67 
2023-10-18,19.22 ,18.36 ,20.15 ,17.88 ,,0.07 ,0.86 
2023-10-17,17.88 ,17.41 ,18.54 ,16.97 ,,0.04 ,0.47 
2023-10-16,17.21 ,19.10 ,19.57 ,17.14 ,,(0.11),-1.89 
2023-10-13,19.32 ,16.53 ,20.78 ,16.50 ,,0.16 ,2.79 
2023-10-12,16.69 ,16.08 ,18.08 ,15.44 ,,0.04 ,0.61 
2023-10-11,16.09 ,16.95 ,17.78 ,16.09 ,,(0.06),-0.86 
2023-10-10,17.03 ,17.70 ,17.86 ,16.51 ,,(0.04),-0.67 
2023-10-09,17.70 ,19.54 ,19.60 ,17.56 ,,0.01 ,-1.84 
2023-10-06,17.45 ,18.73 ,19.93 ,17.19 ,,(0.06),-1.28 
2023-10-05,18.49 ,18.67 ,19.58 ,18.26 ,,(0.00),-0.18 
2023-10-04,18.58 ,20.72 ,20.88 ,18.30 ,,(0.06),-2.14 
2023-10-03,19.78 ,17.81 ,20.48 ,17.52 ,,0.12 ,1.97 
2023-10-02,17.61 ,17.31 ,18.55 ,16.93 ,,0.01 ,0.30 
2023-09-29,17.52 ,16.87 ,17.74 ,15.83 ,,0.01 ,0.65 
2023-09-28,17.34 ,18.22 ,18.77 ,17.06 ,,(0.05),-0.88 
2023-09-27,18.22 ,18.29 ,19.71 ,18.03 ,,(0.04),-0.07 
2023-09-26,18.94 ,18.03 ,19.50 ,17.17 ,,0.12 ,0.91 
2023-09-25,16.90 ,17.25 ,18.41 ,16.79 ,,(0.02),-0.35 
2023-09-22,17.20 ,17.31 ,17.41 ,15.93 ,,(0.02),-0.11 
2023-09-21,17.54 ,15.49 ,17.54 ,15.10 ,,0.16 ,2.05 
2023-09-20,15.14 ,14.18 ,15.15 ,13.57 ,,0.07 ,0.96 
2023-09-19,14.11 ,14.11 ,14.88 ,13.86 ,,0.01 ,0.00 
2023-09-18,14.00 ,14.40 ,14.75 ,13.86 ,,0.02 ,-0.40 
2023-09-15,13.79 ,12.70 ,14.17 ,12.68 ,,0.08 ,1.09 
2023-09-14,12.82 ,13.39 ,13.46 ,12.79 ,,(0.05),-0.57 
2023-09-13,13.48 ,14.42 ,14.68 ,13.41 ,,(0.05),-0.94 
2023-09-12,14.23 ,14.02 ,14.42 ,13.71 ,,0.03 ,0.21 
2023-09-11,13.80 ,14.17 ,14.33 ,13.74 ,,(0.00),-0.37 
2023-09-08,13.84 ,14.22 ,14.87 ,13.58 ,,(0.04),-0.38 
2023-09-07,14.40 ,14.81 ,15.69 ,14.40 ,,(0.00),-0.41 
2023-09-06,14.45 ,14.27 ,15.30 ,14.13 ,,0.03 ,0.18 
2023-09-05,14.01 ,14.15 ,14.47 ,13.70 ,,0.01 ,-0.14 
2023-09-04,13.82 ,13.62 ,13.82 ,13.51 ,,0.06 ,0.20 
2023-09-01,13.09 ,13.56 ,13.56 ,13.02 ,,(0.04),-0.47 
2023-08-31,13.57 ,13.98 ,14.00 ,13.44 ,,(0.02),-0.41 
2023-08-30,13.88 ,14.53 ,14.70 ,13.83 ,,(0.04),-0.65 
2023-08-29,14.45 ,15.08 ,15.30 ,14.34 ,,(0.04),-0.63 
