일자,종가,대비,등락률,PER,선행 PER,PBR,배당수익률
"2023/01/03","2218.68","-6.99","-0.31","10.67","0","0.83","2.23"
"2023/01/02","2225.67","-10.73","-0.48","10.70","0","0.84","2.23"
"2022/12/29","2236.40","-44.05","-1.93","10.76","0","0.84","2.22"
"2022/12/28","2280.45","-52.34","-2.24","10.97","0","0.86","2.17"
"2022/12/27","2332.79","15.65","0.68","11.22","0","0.88","2.12"
"2022/12/26","2317.14","3.45","0.15","11.14","0","0.87","2.14"
"2022/12/23","2313.69","-43.04","-1.83","11.13","0","0.87","2.14"
"2022/12/22","2356.73","27.78","1.19","11.38","0","0.89","2.10"
"2022/12/21","2328.95","-4.34","-0.19","11.24","0","0.88","2.13"
"2022/12/20","2333.29","-18.88","-0.80","11.26","0","0.88","2.12"
"2022/12/19","2352.17","-7.85","-0.33","11.36","0","0.88","2.10"
"2022/12/16","2360.02","-0.95","-0.04","11.39","0","0.89","2.10"
"2022/12/15","2360.97","-38.28","-1.60","10.16","0","0.92","2.10"
"2022/12/14","2399.25","26.85","1.13","10.33","0","0.93","2.06"
"2022/12/13","2372.40","-0.62","-0.03","10.20","0","0.92","2.09"
"2022/12/12","2373.02","-16.02","-0.67","10.21","0","0.92","2.09"
"2022/12/09","2389.04","17.96","0.76","10.28","0","0.93","2.07"
"2022/12/08","2371.08","-11.73","-0.49","10.20","0","0.92","2.09"
"2022/12/07","2382.81","-10.35","-0.43","10.25","0","0.92","2.08"
"2022/12/06","2393.16","-26.16","-1.08","10.29","0","0.93","2.07"
"2022/12/05","2419.32","-15.01","-0.62","10.41","0","0.94","2.05"
"2022/12/02","2434.33","-45.51","-1.84","10.47","0","0.94","2.03"
"2022/12/01","2479.84","7.31","0.30","10.67","0","0.96","2.00"
"2022/11/30","2472.53","39.14","1.61","10.64","0","0.96","2.00"
"2022/11/29","2433.39","25.12","1.04","10.47","0","0.94","2.03"
"2022/11/28","2408.27","-29.59","-1.21","10.36","0","0.93","2.06"
"2022/11/25","2437.86","-3.47","-0.14","10.49","0","0.95","2.03"
"2022/11/24","2441.33","23.32","0.96","10.50","0","0.95","2.03"
"2022/11/23","2418.01","12.74","0.53","10.40","0","0.94","2.05"
"2022/11/22","2405.27","-14.23","-0.59","10.35","0","0.93","2.06"
"2022/11/21","2419.50","-24.98","-1.02","10.41","0","0.94","2.05"
"2022/11/18","2444.48","1.58","0.06","10.52","0","0.95","2.03"
"2022/11/17","2442.90","-34.55","-1.39","10.51","0","0.95","2.03"
"2022/11/16","2477.45","-2.88","-0.12","10.66","0","0.96","2.00"
"2022/11/15","2480.33","5.68","0.23","10.66","0","0.96","2.00"
"2022/11/14","2474.65","-8.51","-0.34","10.64","0","0.96","2.00"
"2022/11/11","2483.16","80.93","3.37","10.68","0","0.96","2.00"
"2022/11/10","2402.23","-22.18","-0.91","10.33","0","0.93","2.06"
"2022/11/09","2424.41","25.37","1.06","10.42","0","0.94","2.04"
"2022/11/08","2399.04","27.25","1.15","10.32","0","0.93","2.07"
"2022/11/07","2371.79","23.36","0.99","10.20","0","0.92","2.09"
"2022/11/04","2348.43","19.26","0.83","10.10","0","0.91","2.11"
"2022/11/03","2329.17","-7.70","-0.33","10.01","0","0.90","2.13"
"2022/11/02","2336.87","1.65","0.07","10.06","0","0.91","2.12"
"2022/11/01","2335.22","41.61","1.81","10.05","0","0.90","2.12"
"2022/10/31","2293.61","25.21","1.11","9.87","0","0.89","2.16"
"2022/10/28","2268.40","-20.38","-0.89","9.76","0","0.88","2.18"
"2022/10/27","2288.78","39.22","1.74","9.85","0","0.89","2.16"
"2022/10/26","2249.56","14.49","0.65","9.68","0","0.87","2.20"
"2022/10/25","2235.07","-1.09","-0.05","9.62","0","0.87","2.21"
"2022/10/24","2236.16","23.04","1.04","9.62","0","0.87","2.21"
"2022/10/21","2213.12","-4.97","-0.22","9.52","0","0.86","2.24"
"2022/10/20","2218.09","-19.35","-0.86","9.54","0","0.86","2.23"
"2022/10/19","2237.44","-12.51","-0.56","9.62","0","0.87","2.21"
"2022/10/18","2249.95","30.24","1.36","9.68","0","0.87","2.20"
"2022/10/17","2219.71","7.16","0.32","9.55","0","0.86","2.23"
"2022/10/14","2212.55","49.68","2.30","9.52","0","0.86","2.24"
"2022/10/13","2162.87","-39.60","-1.80","9.30","0","0.84","2.29"
"2022/10/12","2202.47","10.40","0.47","9.47","0","0.85","2.25"
"2022/10/11","2192.07","-40.77","-1.83","9.42","0","0.85","2.26"
"2022/10/07","2232.84","-5.02","-0.22","9.60","0","0.86","2.22"
"2022/10/06","2237.86","22.64","1.02","9.62","0","0.87","2.21"
"2022/10/05","2215.22","5.84","0.26","9.52","0","0.86","2.24"
"2022/10/04","2209.38","53.89","2.50","9.50","0","0.85","2.24"
"2022/09/30","2155.49","-15.44","-0.71","9.26","0","0.83","2.30"
"2022/09/29","2170.93","1.64","0.08","9.33","0","0.84","2.28"
"2022/09/28","2169.29","-54.57","-2.45","9.32","0","0.84","2.28"
"2022/09/27","2223.86","2.92","0.13","9.56","0","0.86","2.23"
"2022/09/26","2220.94","-69.06","-3.02","9.55","0","0.86","2.23"
"2022/09/23","2290.00","-42.31","-1.81","9.84","0","0.89","2.16"
"2022/09/22","2332.31","-14.90","-0.63","10.03","0","0.90","2.12"
"2022/09/21","2347.21","-20.64","-0.87","10.09","0","0.91","2.11"
"2022/09/20","2367.85","12.19","0.52","10.18","0","0.92","2.09"
"2022/09/19","2355.66","-27.12","-1.14","10.13","0","0.91","2.10"
"2022/09/16","2382.78","-19.05","-0.79","10.24","0","0.92","2.08"
"2022/09/15","2401.83","-9.59","-0.40","10.49","0","0.95","2.06"
"2022/09/14","2411.42","-38.12","-1.56","10.53","0","0.95","2.05"
"2022/09/13","2449.54","65.26","2.74","10.70","0","0.97","2.02"
"2022/09/08","2384.28","7.82","0.33","10.41","0","0.94","2.08"
"2022/09/07","2376.46","-33.56","-1.39","10.37","0","0.94","2.09"
"2022/09/06","2410.02","6.34","0.26","10.52","0","0.95","2.06"
"2022/09/05","2403.68","-5.73","-0.24","10.49","0","0.95","2.06"
"2022/09/02","2409.41","-6.20","-0.26","10.52","0","0.95","2.06"
"2022/09/01","2415.61","-56.44","-2.28","10.55","0","0.95","2.05"
"2022/08/31","2472.05","21.12","0.86","10.80","0","0.98","2.00"
"2022/08/30","2450.93","24.04","0.99","10.70","0","0.97","2.02"
"2022/08/29","2426.89","-54.14","-2.18","10.60","0","0.96","2.04"
