일자,종가,대비,등락률,PER,선행 PER,PBR,배당수익률
"2023/10/24","2383.51","26.49","1.12","17.88","0","0.87","2.07"
"2023/10/23","2357.02","-17.98","-0.76","17.68","0","0.86","2.09"
"2023/10/20","2375.00","-40.80","-1.69","17.82","0","0.86","2.08"
"2023/10/19","2415.80","-46.80","-1.90","18.12","0","0.88","2.04"
"2023/10/18","2462.60","2.43","0.10","18.48","0","0.89","2.00"
"2023/10/17","2460.17","23.93","0.98","18.46","0","0.89","2.00"
"2023/10/16","2436.24","-19.91","-0.81","18.28","0","0.88","2.02"
"2023/10/13","2456.15","-23.67","-0.95","18.43","0","0.89","2.01"
"2023/10/12","2479.82","29.74","1.21","18.60","0","0.90","1.99"
"2023/10/11","2450.08","47.50","1.98","18.38","0","0.89","2.01"
"2023/10/10","2402.58","-6.15","-0.26","18.02","0","0.87","2.05"
"2023/10/06","2408.73","5.13","0.21","18.07","0","0.87","2.05"
"2023/10/05","2403.60","-2.09","-0.09","17.99","0","0.87","2.06"
"2023/10/04","2405.69","-59.38","-2.41","18.00","0","0.87","2.05"
"2023/09/27","2465.07","2.10","0.09","18.45","0","0.89","2.00"
"2023/09/26","2462.97","-32.79","-1.31","18.43","0","0.89","2.01"
"2023/09/25","2495.76","-12.37","-0.49","18.69","0","0.90","1.98"
"2023/09/22","2508.13","-6.84","-0.27","18.78","0","0.91","1.97"
"2023/09/21","2514.97","-44.77","-1.75","18.82","0","0.91","1.97"
"2023/09/20","2559.74","0.53","0.02","19.15","0","0.93","1.93"
"2023/09/19","2559.21","-15.51","-0.60","19.15","0","0.93","1.93"
"2023/09/18","2574.72","-26.56","-1.02","15.76","0","0.94","1.92"
"2023/09/15","2601.28","28.39","1.10","15.92","0","0.95","1.90"
"2023/09/14","2572.89","38.19","1.51","15.74","0","0.94","1.93"
"2023/09/13","2534.70","-1.88","-0.07","15.51","0","0.93","1.95"
"2023/09/12","2536.58","-20.30","-0.79","15.52","0","0.93","1.95"
"2023/09/11","2556.88","9.20","0.36","15.64","0","0.94","1.94"
"2023/09/08","2547.68","-0.58","-0.02","15.59","0","0.93","1.94"
