date,open,high,low,close,volume
20151001,10182,10182,10116,10116,31942
20151002,10154,10177,10154,10163,63848
20151005,10276,10286,10229,10248,43583
20151006,10267,10295,10192,10192,42813
20151007,10116,10116,9966,9966,21536
20151008,10022,10041,9806,9872,42617
20151012,9872,9872,9844,9848,42620
20151013,9891,9891,9797,9797,21300
20151014,9792,9825,9750,9750,23549
20151015,9801,9830,9736,9830,259008
20151016,9928,9999,9924,9975,320956
20151019,10004,10008,9957,9966,312509
20151020,9999,10107,9957,10107,303899
20151021,10121,10130,9999,10022,324620
20151022,9966,9971,9839,9858,272233
20151023,9928,9961,9895,9961,249790
20151026,10008,10107,9989,10107,270304
20151027,10140,10159,10018,10018,265647
20151028,10060,10210,10004,10206,255024
20151029,10234,10243,10140,10163,264882
20151030,10173,10173,10004,10008,246710
20151102,10046,10069,9975,9975,241391
20151103,10060,10102,9966,10046,236808
20151104,10065,10093,10013,10093,236703
20151105,10135,10248,10135,10248,312637
20151106,10342,10351,10267,10295,209472
20151109,10337,10337,9971,9989,332295
20151110,9886,9957,9646,9740,391414
20151111,9707,9933,9703,9933,339723
20151112,9971,10088,9971,10041,356569
20151113,9952,10036,9891,10018,392057
20151116,9815,9971,9815,9886,343770
20151117,10046,10069,9999,10060,325946
20151118,10135,10163,10083,10107,336026
20151119,10173,10267,10135,10220,325392
20151120,10243,10281,10215,10281,2385
20151123,10304,10375,10276,10295,421566
20151124,10323,10356,10281,10314,408114
20151125,10342,10361,10281,10309,376887
20151126,10380,10417,10314,10408,401707
20151127,10398,10455,10351,10356,475927
20151130,10413,10413,10253,10323,350693
20151201,10351,10417,10304,10398,368540
20151202,10488,10511,10384,10384,429836
20151203,10389,10436,10309,10436,341085
20151204,10300,10356,10295,10337,371293
20151207,10417,10427,10229,10229,327262
20151208,10187,10239,9966,10018,433249
20151209,9985,9989,9947,9952,323103
20151210,9924,9966,9750,9839,444256
20151211,9858,9863,9646,9684,336264
20151214,9505,9505,9327,9331,370231
20151215,9421,9524,9383,9524,345872
20151216,9613,9670,9590,9609,394910
20151217,9684,9740,9576,9740,432304
20151218,9689,9957,9627,9957,734599
20151221,9900,9980,9895,9938,789841
20151222,9933,9933,9811,9867,523021
20151223,9905,9905,9801,9806,531522
20151224,9792,9806,9684,9684,469272
20151228,9679,9834,9642,9834,437128
20151229,9773,10168,9773,10168,522648
20151230,10220,10356,10177,10356,420684
20160104,10380,10464,10163,10286,658955
