date,open,high,low,close,volume
20021014,5320,5456,5177,5286,3778837
20021015,5354,5442,5252,5415,3355884
20021016,5483,5483,5395,5436,2989883
20021017,5442,5579,5367,5511,3067046
20021018,5661,5797,5627,5749,1937342
20021021,5729,5729,5593,5593,3134366
20021022,5695,5695,5422,5470,3833041
20021023,5470,5633,5395,5633,3671230
20021024,5661,5708,5538,5613,3182784
20021025,5545,5702,5545,5633,3452540
20021028,5729,5859,5702,5838,4691359
20021029,5797,5879,5770,5797,5318682
20021030,5790,5790,5613,5661,6347488
20021031,5708,5770,5613,5633,4441959
20021101,5633,5647,5545,5558,4729605
20021104,5627,5804,5627,5784,3327159
20021105,5811,5811,5681,5715,3758093
20021106,5770,5906,5770,5886,3378269
20021107,5865,5954,5811,5886,2435600
20021108,5797,5804,5715,5797,3519195
20021111,5763,5770,5620,5654,2717690
20021112,5545,5661,5524,5647,2672178
20021113,5674,5674,5545,5613,2875692
20021114,5599,5681,5586,5620,4309264
20021115,5729,5811,5702,5797,4532474
20021118,5804,5859,5722,5736,4224310
20021119,5708,5811,5708,5784,2866987
20021120,5784,5920,5749,5913,2893653
20021121,6002,6077,5981,5988,2952996
20021122,6104,6125,5995,6009,3003608
20021125,6049,6125,6029,6118,2367288
20021126,6138,6138,6022,6077,2917304
20021127,6029,6131,6015,6131,2815811
20021128,6261,6288,6172,6193,3354303
20021129,6186,6275,6165,6275,5237995
20021202,6288,6329,6220,6315,2771247
20021203,6315,6390,6295,6377,3018476
20021204,6288,6288,6179,6186,3023679
20021205,6172,6254,6138,6247,3167856
20021206,6213,6254,6152,6213,3152708
20021209,6193,6247,6084,6118,3745524
20021210,6043,6097,6002,6077,4430126
20021211,6104,6104,6002,6029,3124850
20021212,6063,6145,6049,6118,5459523
20021213,6118,6125,6036,6125,3453395
20021216,6043,6043,5954,5961,3720715
20021217,6056,6125,6049,6104,4047734
20021218,6029,6179,6022,6145,4574389
20021220,6118,6193,6097,6172,3847035
20021223,6165,6200,6015,6015,3969884
20021224,5981,6036,5865,5879,3668576
20021226,5865,5920,5797,5886,3878757
20021227,5804,5893,5770,5777,2706840
20021230,5729,5763,5429,5552,3950592
20030102,5633,5633,5497,5579,3056070
20030103,5729,5831,5695,5818,3349082
20030106,5790,5893,5784,5872,4098099
20030107,5995,5995,5736,5743,4268957
20030108,5777,5818,5729,5749,3292720
20030109,5715,5715,5558,5579,3844085
20030110,5640,5695,5463,5524,4857315
20030113,5524,5722,5504,5715,3073026
20030114,5702,5763,5640,5736,2581476
20030115,5784,5818,5661,5688,2656005
20030116,5640,5743,5599,5729,2937645
20030117,5668,5722,5599,5599,2839221
20030120,5490,5599,5490,5586,2324884
20030121,5586,5593,5483,5558,2945455
20030122,5524,5565,5422,5470,3573534
20030123,5470,5538,5429,5524,3603982
