,date,y_change
0,20181001,5
1,20181002,32
2,20181004,-153
3,20181005,9
4,20181008,41
5,20181010,-54
6,20181011,67
7,20181012,22
8,20181015,-99
9,20181016,-9
10,20181017,135
11,20181018,-45
12,20181019,-49
13,20181022,-41
14,20181023,-27
15,20181024,-58
16,20181025,36
17,20181026,-203
18,20181029,9
19,20181030,72
20,20181031,-95
21,20181101,131
22,20181102,108
23,20181105,-158
24,20181106,-130
25,20181107,63
26,20181108,136
27,20181109,49
28,20181112,72
29,20181113,-82
30,20181114,-13
31,20181116,31
32,20181119,176
33,20181120,32
34,20181121,-45
35,20181122,13
36,20181123,36
37,20181126,73
38,20181127,-68
39,20181128,-72
40,20181129,-32
41,20181130,-49
42,20181203,-113
43,20181204,-9
44,20181205,72
45,20181206,-59
46,20181207,59
47,20181210,32
48,20181211,-122
49,20181212,72
50,20181213,73
51,20181214,-95
52,20181217,32
53,20181218,77
54,20181219,-27
55,20181220,-172
56,20181221,68
57,20181224,-4
58,20181226,40
59,20181227,-54
60,20181228,85
61,20190103,-72
62,20190104,41
63,20190107,176
64,20190108,9
65,20190109,108
66,20190110,27
67,20190111,18
68,20190114,-22
69,20190115,5
70,20190116,18
71,20190117,-18
72,20190118,-5
73,20190121,-117
74,20190122,-22
75,20190123,45
76,20190124,122
77,20190125,99
78,20190128,14
79,20190129,23
80,20190130,-13
81,20190131,-63
82,20190201,68
83,20190207,-85
84,20190208,-100
85,20190211,-13
86,20190212,0
87,20190213,31
88,20190214,-22
89,20190215,-117
90,20190218,31
91,20190219,-194
92,20190220,-9
93,20190221,-22
94,20190222,-23
95,20190225,-54
96,20190226,27
97,20190227,9
98,20190228,-171
99,20190304,31
100,20190305,-77
101,20190306,-49
102,20190307,-4
103,20190308,-9
104,20190311,27
105,20190312,117
106,20190313,-22
107,20190314,50
108,20190315,212
109,20190318,-4
110,20190319,-104
111,20190320,-50
112,20190321,185
113,20190322,23
114,20190325,-18
115,20190326,-31
116,20190327,-131
117,20190328,-27
118,20190329,45
119,20190401,171
120,20190402,54
