date,close
20181001,27036
20181002,27112
20181004,26586
20181005,26392
20181008,26271
20181010,26086
20181011,25457
20181012,25043
20181015,25047
20181016,25128
20181017,25443
20181018,25160
20181019,24755
20181022,24962
20181023,24926
20181024,24714
20181025,23972
20181026,23923
20181029,23914
20181030,23572
20181031,23658
20181101,23843
20181102,24177
20181105,24276
20181106,24429
20181107,24691
20181108,24849
20181109,24601
20181112,24429
20181113,23965
20181114,24285
20181116,24655
20181119,24569
20181120,24389
20181121,24005
20181122,24262
20181123,24150
20181126,24136
20181127,24416
20181128,24538
20181129,24975
20181130,24772
20181203,24786
20181204,24853
20181205,24434
20181206,24317
20181207,24317
20181210,23847
20181211,23915
20181212,24095
20181213,24339
20181214,24226
20181217,24118
20181218,24023
20181219,24032
20181220,23798
20181221,23901
20181224,23847
20181226,23608
20181227,23956
20181228,24037
20190103,23595
20190104,23414
20190107,24145
20190108,23978
20190109,24123
20190110,24348
20190111,24389
20190114,24411
20190115,24520
20190116,24696
20190117,24885
20190118,25070
20190121,25106
20190122,25075
20190123,24957
20190124,25115
20190125,25508
20190128,25833
20190129,25711
20190130,25900
20190131,26383
20190201,26379
20190207,26212
20190208,25982
20190211,25756
20190212,25873
20190213,26049
20190214,25918
20190215,26185
20190218,26198
20190219,26067
20190220,26225
20190221,26230
20190222,26297
20190225,26491
20190226,26419
20190227,26460
20190228,26293
20190304,26194
20190305,25779
20190306,25657
20190307,25630
20190308,25445
20190311,25192
20190312,25472
20190313,25350
20190314,25377
20190315,25490
20190318,25702
20190319,25643
20190320,25467
20190321,25986
20190322,26004
20190325,25503
20190326,25422
20190327,25282
20190328,25260
20190329,25291
20190401,25729
20190402,25891
20190403,25846
20190404,26275
20190405,26324
20190408,26334
20190409,26306
20190410,26252
20190411,26455
20190412,26306
20190415,26577
20190416,26595
20190417,26681
20190418,26604
20190419,26315
20190422,26279
20190423,26230
20190424,26234
20190425,25968
20190426,25756
20190429,25916
20190430,26228
20190502,26187
20190503,26191
20190507,25659
20190508,25563
20190509,25563
20190510,25026
20190513,24843
20190514,24494
20190515,24604
20190516,24659
20190517,24544
20190520,24411
20190521,24411
20190522,24324
20190523,24384
20190524,24297
20190527,24306
20190528,24269
20190529,24031
20190530,24173
20190531,24118
20190603,24301
20190604,24540
20190605,24728
20190607,24531
20190610,24728
20190611,24911
20190612,25132
20190613,24948
20190614,24824
20190617,24746
20190618,24838
20190619,25164
20190620,25255
20190621,25278
20190624,25306
20190625,25288
20190626,25228
20190627,25338
20190628,25627
20190701,25668
20190702,25471
20190703,25425
20190704,25182
20190705,25246
20190708,24930
20190709,24833
20190710,24833
20190711,25017
20190712,25026
20190715,25017
20190716,25228
20190717,24999
20190718,24925
20190719,25072
20190722,25246
20190723,25393
20190724,25343
20190725,25200
20190726,24976
20190729,24966
20190730,24769
20190731,24723
20190801,24383
20190802,24232
20190805,23974
20190806,23395
20190807,23312
20190808,23335
20190809,23478
20190812,23445
20190813,23390
20190814,23579
20190816,23206
20190819,23468
20190820,23524
20190821,23726
20190822,23698
20190823,23524
20190826,23220
20190827,23381
20190828,23367
20190829,23514
20190830,23730
20190902,23744
20190903,23818
20190904,23818
20190905,24204
20190906,24425
20190909,24599
20190910,24668
20190911,24880
20190916,24806
20190917,24935
20190918,24944
20190919,25321
20190920,25266
20190923,25422
20190924,25385
20190925,25385
20190926,25321
20190927,25137
20190930,24976
20191001,25160
20191002,25050
20191004,24714
20191007,24769
20191008,24820
20191010,24585
20191011,25031
20191014,25335
20191015,25353
20191016,25560
20191017,25473
20191018,25505
20191021,25229
20191022,25482
20191023,25505
20191024,25551
20191025,25510
20191028,25716
20191029,25712
20191030,25519
20191031,25601
20191101,25495
20191104,25966
20191105,26076
20191106,26320
20191107,26159
20191108,26343
20191111,26039
20191112,25989
20191113,26025
20191115,26191
20191118,26468
20191119,26237
20191120,26251
20191121,25878
20191122,25694
20191125,26062
20191126,26145
20191127,26108
20191128,26021
20191129,25850
20191202,25777
20191203,25316
20191204,25339
20191205,25491
20191206,25463
20191209,25680
20191210,25611
20191211,25804
20191212,26145
20191213,26680
20191216,26795
20191217,26855
20191218,27215
20191219,27215
20191220,27178
20191223,27247
20191224,27187
20191226,27058
20191227,27330
20191230,27625
20200103,27473
20200106,27003
20200107,27215
20200108,26961
20200109,27353
20200110,27583
20200113,27735
20200114,28247
20200115,28003
20200116,27989
20200117,28505
20200120,28514
20200121,28528
20200122,28302
20200123,28256
20200128,27528
20200129,27330
20200130,27256
20200131,26997
20200203,26360
20200204,26882
20200205,27334
20200206,27620
20200207,27824
