,date,y_rate_1245
0,20181001,-31
1,20181002,-144
2,20181004,-414
3,20181005,-59
4,20181008,36
5,20181010,-283
6,20181011,-243
7,20181012,225
8,20181015,-86
9,20181016,-153
10,20181017,81
11,20181018,-94
12,20181019,140
13,20181022,238
14,20181023,-383
15,20181024,-99
16,20181025,13
17,20181026,-576
18,20181029,-77
19,20181030,176
20,20181031,-117
21,20181101,145
22,20181102,171
23,20181105,-298
24,20181106,-126
25,20181107,112
26,20181108,14
27,20181109,-109
28,20181112,275
29,20181113,40
30,20181114,-45
31,20181115,9
32,20181116,-86
33,20181119,-18
34,20181120,-4
35,20181121,158
36,20181122,-59
37,20181123,-145
38,20181126,249
39,20181127,99
40,20181128,-27
41,20181129,-185
42,20181130,-149
43,20181203,121
44,20181204,-95
45,20181205,212
46,20181206,-199
47,20181207,-50
48,20181210,27
49,20181211,-81
50,20181212,189
51,20181213,212
52,20181214,-356
53,20181217,55
54,20181218,36
55,20181219,81
56,20181220,-59
57,20181221,41
58,20181224,45
59,20181226,-36
60,20181227,41
61,20181228,94
62,20190102,-348
63,20190103,-45
64,20190104,163
65,20190107,45
66,20190108,-49
67,20190109,360
68,20190110,13
69,20190111,18
70,20190114,-135
71,20190115,379
72,20190116,54
73,20190117,36
74,20190118,18
75,20190121,-171
76,20190122,-225
77,20190123,203
78,20190124,136
79,20190125,293
80,20190128,14
81,20190129,5
82,20190130,176
83,20190131,-122
84,20190201,0
85,20190207,-18
86,20190208,-199
87,20190211,-50
88,20190212,131
89,20190213,-9
90,20190214,-22
91,20190215,-266
92,20190218,76
93,20190219,13
94,20190220,131
95,20190221,172
96,20190222,23
97,20190225,-95
98,20190226,-59
99,20190227,-13
100,20190228,-77
101,20190304,-127
102,20190305,-73
103,20190306,-72
104,20190307,0
105,20190308,-167
106,20190311,-23
107,20190312,81
108,20190313,-216
109,20190314,-126
110,20190315,284
111,20190318,-27
112,20190319,-45
113,20190320,-172
114,20190321,135
115,20190322,-59
116,20190325,-72
117,20190326,0
118,20190327,90
119,20190328,94
120,20190329,72
121,20190401,207
122,20190402,32
123,20190403,163
124,20190404,76
125,20190405,22
126,20190408,-149
127,20190409,9
128,20190410,136
129,20190411,-135
130,20190412,54
131,20190415,50
132,20190416,113
133,20190417,-13
134,20190418,-343
135,20190419,-41
136,20190422,-67
137,20190423,36
138,20190424,-479
139,20190425,63
140,20190426,-22
141,20190429,175
142,20190430,-243
143,20190502,239
144,20190503,-165
145,20190507,-64
146,20190508,225
147,20190509,-271
148,20190510,-115
149,20190513,-46
150,20190514,372
151,20190515,78
152,20190516,-165
153,20190517,-97
154,20190520,115
155,20190521,298
156,20190522,-96
157,20190523,-32
158,20190524,-175
159,20190527,0
160,20190528,-23
161,20190529,-293
162,20190530,64
163,20190531,55
164,20190603,303
165,20190604,19
166,20190605,-147
167,20190607,143
168,20190610,147
169,20190611,133
170,20190612,-28
171,20190613,-101
172,20190614,32
173,20190617,5
174,20190618,147
175,20190619,0
176,20190620,46
177,20190621,-60
178,20190624,64
179,20190625,0
180,20190626,73
181,20190627,247
182,20190628,-65
183,20190701,-188
184,20190702,23
185,20190703,-234
186,20190704,4
187,20190705,-19
188,20190708,-271
189,20190709,-68
190,20190710,55
191,20190711,174
192,20190712,97
193,20190715,96
194,20190716,83
195,20190717,-42
196,20190718,-36
197,20190719,207
198,20190722,65
199,20190723,91
200,20190724,9
201,20190725,-156
202,20190726,23
203,20190729,-349
204,20190730,37
205,20190731,-161
206,20190801,171
207,20190802,-37
208,20190805,-363
209,20190806,391
210,20190807,-101
211,20190808,-18
212,20190809,60
213,20190812,64
214,20190813,-92
215,20190814,-28
216,20190816,10
217,20190819,5
218,20190820,133
219,20190821,106
220,20190822,-170
221,20190823,105
222,20190826,101
223,20190827,37
224,20190828,55
225,20190829,-129
226,20190830,308
227,20190902,74
228,20190903,-32
229,20190904,88
230,20190905,303
231,20190906,-46
232,20190909,110
233,20190910,13
234,20190911,133
235,20190916,-32
236,20190917,23
237,20190918,119
238,20190919,120
239,20190920,129
240,20190923,37
241,20190924,69
242,20190925,-74
243,20190926,18
244,20190927,-211
245,20190930,216
246,20191001,152
247,20191002,-184
248,20191004,97
249,20191007,-46
250,20191008,216
251,20191010,51
252,20191011,28
253,20191014,51
254,20191015,50
255,20191016,14
256,20191017,-69
257,20191018,-88
258,20191021,110
259,20191022,234
260,20191023,-138
261,20191024,-129
262,20191025,-68
263,20191028,-9
264,20191029,-166
265,20191030,-138
266,20191031,185
267,20191101,129
268,20191104,87
269,20191105,33
270,20191106,23
271,20191107,-4
272,20191108,-166
273,20191111,-198
274,20191112,-9
275,20191113,-120
276,20191114,42
277,20191115,268
278,20191118,-33
279,20191119,5
280,20191120,-138
281,20191121,-290
282,20191122,74
283,20191125,162
284,20191126,87
285,20191127,-23
286,20191128,42
287,20191129,-466
288,20191202,-5
289,20191203,92
290,20191204,-83
291,20191205,-281
292,20191206,148
293,20191209,-9
294,20191210,152
295,20191211,143
296,20191212,248
297,20191213,65
298,20191216,50
299,20191217,254
300,20191218,14
301,20191219,-96
302,20191220,5
303,20191223,-171
304,20191224,-189
305,20191226,14
306,20191227,424
307,20191230,-42
308,20200102,-254
309,20200103,-263
310,20200106,-51
311,20200107,51
312,20200108,138
313,20200109,-64
314,20200110,78
315,20200113,198
316,20200114,69
317,20200115,-55
318,20200116,92
319,20200117,-42
320,20200120,166
321,20200121,-180
322,20200122,300
323,20200123,-106
324,20200128,-304
325,20200129,51
326,20200130,-304
327,20200131,-78
328,20200203,249
329,20200204,453
330,20200205,-60
331,20200206,245
332,20200207,-254
333,20200210,134
334,20200211,318
335,20200212,79
336,20200213,83
337,20200214,314
338,20200217,69
339,20200218,-226
340,20200219,-111
341,20200220,-452
342,20200221,120
343,20200224,-429
344,20200225,120
345,20200226,111
346,20200227,-189
347,20200228,-350
348,20200302,254
349,20200303,-129
350,20200304,716
351,20200305,-60
352,20200306,-194
353,20200309,-245
354,20200310,129
355,20200311,-388
356,20200312,-821
357,20200313,184
358,20200316,-489
359,20200317,319
360,20200318,-28
361,20200319,-1644
362,20200320,189
363,20200323,605
364,20200324,567
365,20200325,171
366,20200326,-23
367,20200327,-530
368,20200330,273
369,20200331,102
370,20200401,83
371,20200402,346
372,20200403,-138
373,20200406,314
374,20200407,-291
375,20200408,-37
376,20200409,-134
377,20200410,9
378,20200413,-120
379,20200414,171
380,20200416,144
381,20200417,217
382,20200420,-14
383,20200421,-314
384,20200422,120
385,20200423,-19
386,20200424,-51
387,20200427,304
388,20200428,-70
389,20200429,141
390,20200504,9
391,20200506,-193
392,20200507,122
393,20200508,141
394,20200511,-9
395,20200512,-319
396,20200513,296
397,20200514,-57
398,20200515,-136
399,20200518,80
400,20200519,-14
401,20200520,117
402,20200521,-52
403,20200522,-460
404,20200525,37
405,20200526,352
406,20200527,206
407,20200528,-220
408,20200529,61
409,20200601,315
410,20200602,220
411,20200603,643
412,20200604,-239
413,20200605,300
414,20200608,-366
415,20200609,-281
416,20200610,108
417,20200611,-89
418,20200612,404
419,20200615,132
420,20200616,643
421,20200617,-112
422,20200618,80
423,20200619,-418
424,20200622,258
425,20200623,-94
426,20200624,334
427,20200625,-160
428,20200626,127
429,20200629,19
430,20200630,94
431,20200701,-75
432,20200702,122
433,20200703,42
434,20200706,315
435,20200707,-216
436,20200708,-61
437,20200709,56
438,20200710,-254
439,20200713,146
440,20200714,-19
441,20200715,-150
442,20200716,-296
443,20200717,164
444,20200720,-141
445,20200721,211
446,20200722,9
447,20200723,-253
448,20200724,84
449,20200727,417
450,20200728,277
451,20200729,141
452,20200730,-9
453,20200731,-174
454,20200803,-47
455,20200804,132
456,20200805,150
457,20200806,310
458,20200807,-183
459,20200810,362
460,20200811,423
461,20200812,23
462,20200813,-61
463,20200814,-320
464,20200818,-57
465,20200819,70
466,20200820,-635
467,20200821,315
468,20200824,249
469,20200825,160
470,20200826,-141
471,20200827,-117
472,20200828,141
473,20200831,-395
474,20200901,136
475,20200902,-259
476,20200903,207
477,20200904,225
478,20200907,160
479,20200908,14
480,20200909,127
481,20200910,38
482,20200911,-136
483,20200914,75
484,20200915,127
485,20200916,47
486,20200917,-367
487,20200918,-61
488,20200921,19
489,20200922,-386
490,20200923,-291
491,20200924,-136
492,20200925,0
493,20200928,136
494,20200929,-103
495,20201005,353
496,20201006,56
497,20201007,263
498,20201008,-123
499,20201012,-57
500,20201013,-254
501,20201014,-155
502,20201015,-169
503,20201016,-254
504,20201019,98
505,20201020,47
506,20201021,24
507,20201022,-118
508,20201023,61
509,20201026,-99
510,20201027,113
511,20201028,52
512,20201029,-221
513,20201030,-273
514,20201102,217
515,20201103,419
516,20201104,42
517,20201105,316
518,20201106,-5
519,20201109,127
520,20201110,-235
521,20201111,315
522,20201112,-137
523,20201113,207
524,20201116,514
525,20201117,9
526,20201118,-24
527,20201119,-33
528,20201120,33
529,20201123,622
530,20201124,255
531,20201125,-10
532,20201126,52
533,20201127,-23
534,20201130,-268
535,20201201,212
536,20201202,372
537,20201203,-9
538,20201204,603
539,20201207,-269
540,20201208,-358
541,20201209,278
542,20201210,273
543,20201211,52
544,20201214,23
545,20201215,-274
546,20201216,-179
547,20201217,-226
548,20201218,-104
549,20201221,-249
550,20201222,-14
551,20201223,212
552,20201224,348
553,20201228,212
554,20201229,-146
555,20201230,542
556,20210104,928
557,20210105,217
558,20210106,-245
559,20210107,556
560,20210108,546
561,20210111,-184
562,20210112,-523
563,20210113,188
564,20210114,254
565,20210115,-768
566,20210118,113
567,20210119,980
568,20210120,-782
569,20210121,-80
570,20210122,23
571,20210125,631
572,20210126,-1007
573,20210127,-216
574,20210128,-4
575,20210129,-924
576,20210201,886
577,20210202,504
578,20210203,-443
579,20210204,-749
580,20210205,-117
581,20210208,114
582,20210209,-75
583,20210210,-137
584,20210215,19
585,20210216,-156
586,20210217,-364
587,20210218,-415
588,20210219,-335
589,20210222,-349
590,20210223,95
591,20210224,5
592,20210225,486
593,20210226,-452
594,20210302,-363
595,20210303,321
596,20210304,-142
597,20210305,307
598,20210308,-514
599,20210309,-207
600,20210310,-486
601,20210311,617
602,20210312,-43
603,20210315,-137
604,20210316,89
605,20210317,-481
606,20210318,188
607,20210319,113
608,20210322,-43
609,20210323,-401
610,20210324,118
611,20210325,306
612,20210326,179
613,20210329,-89
614,20210330,481
615,20210331,-52
616,20210401,-42
617,20210402,66
618,20210405,-203
619,20210406,-283
620,20210407,-19
621,20210408,47
622,20210409,-76
623,20210412,-118
624,20210413,570
625,20210414,-56
626,20210415,43
627,20210416,-161
628,20210419,104
629,20210420,358
630,20210421,-495
631,20210422,52
632,20210423,217
633,20210426,227
634,20210427,-141
635,20210428,-358
636,20210429,-53
637,20210430,-153
638,20210503,0
639,20210504,0
640,20210506,197
641,20210507,268
642,20210510,393
643,20210511,-412
644,20210512,-786
645,20210513,331
646,20210514,202
647,20210517,-594
648,20210518,330
649,20210520,105
650,20210521,-215
651,20210524,33
652,20210525,182
653,20210526,-96
654,20210527,-210
655,20210528,201
656,20210531,-244
657,20210601,230
658,20210602,-33
659,20210603,435
660,20210604,-24
661,20210607,-178
662,20210608,-24
663,20210609,-24
664,20210610,167
665,20210611,115
666,20210614,-72
667,20210615,34
668,20210616,283
669,20210617,-34
670,20210618,43
671,20210621,-139
672,20210622,48
673,20210623,91
674,20210624,158
675,20210625,106
676,20210628,-129
677,20210629,-234
678,20210630,125
679,20210701,-311
680,20210702,77
681,20210705,72
682,20210706,58
683,20210707,-91
684,20210708,-282
685,20210709,-240
686,20210712,149
687,20210713,148
688,20210714,-19
689,20210715,81
690,20210716,-63
691,20210719,-105
692,20210720,115
693,20210721,-417
694,20210722,301
695,20210723,-5
696,20210726,-379
697,20210727,38
698,20210728,77
699,20210729,-105
700,20210730,-297
701,20210802,-81
702,20210803,249
703,20210804,431
704,20210805,-24
705,20210806,-144
706,20210809,86
707,20210810,-479
708,20210811,-139
709,20210812,5
710,20210813,-700
711,20210817,-503
712,20210818,283
713,20210819,-159
714,20210820,-432
715,20210823,293
716,20210824,403
717,20210825,-159
718,20210826,-350
719,20210827,129
720,20210830,-269
721,20210831,187
722,20210901,120
723,20210902,-326
724,20210903,96
725,20210906,47
726,20210907,-259
727,20210908,-235
728,20210909,-360
729,20210910,182
730,20210913,202
731,20210914,249
732,20210915,144
733,20210916,-541
734,20210917,177
735,20210923,163
736,20210924,-201
737,20210927,211
738,20210928,-322
739,20210929,-330
740,20210930,250
741,20211001,-365
742,20211005,-77
743,20211006,-479
744,20211007,307
745,20211008,-111
746,20211012,-537
747,20211013,474
748,20211014,172
749,20211015,134
750,20211018,5
751,20211019,48
752,20211020,-154
753,20211021,67
754,20211022,201
755,20211025,278
756,20211026,-5
757,20211027,-307
758,20211028,62
759,20211029,-466
760,20211101,-14
761,20211102,486
762,20211103,-687
763,20211104,-48
764,20211105,-509
765,20211108,-351
766,20211109,-53
767,20211110,-116
768,20211111,72
769,20211112,197
770,20211115,159
771,20211116,9
772,20211117,-476
773,20211118,159
774,20211119,-19
775,20211122,538
776,20211123,-187
777,20211124,-269
778,20211125,-236
779,20211126,-423
780,20211129,269
781,20211130,-697
782,20211201,582
783,20211202,586
784,20211203,351
785,20211206,154
786,20211207,68
787,20211208,29
788,20211209,202
789,20211210,-14
790,20211213,72
791,20211214,-110
792,20211215,33
793,20211216,-231
794,20211217,144
795,20211220,-457
796,20211221,120
797,20211222,-77
798,20211223,-58
799,20211224,168
800,20211227,-135
801,20211228,-81
802,20211229,-87
803,20211230,-283
804,20220103,-183
805,20220104,-264
806,20220105,-471
807,20220106,101
808,20220107,211
809,20220110,-360
810,20220111,39
811,20220112,302
812,20220113,-240
813,20220114,-322
814,20220117,-375
815,20220118,-269
816,20220119,5
817,20220120,164
818,20220121,-303
819,20220124,-317
820,20220125,-778
821,20220126,-53
822,20220127,-1083
823,20220128,602
824,20220203,-44
825,20220204,53
826,20220207,-448
827,20220208,-4
828,20220209,68
829,20220210,-29
830,20220211,178
831,20220214,-116
832,20220215,-164
833,20220216,145
834,20220217,409
835,20220218,270
836,20220221,236
837,20220222,-125
838,20220223,-240
839,20220224,-592
840,20220225,-39
841,20220228,159
842,20220302,-106
843,20220303,293
844,20220304,-429
845,20220307,-303
846,20220308,198
847,20220310,73
848,20220311,-193
849,20220314,-91
850,20220315,-72
851,20220316,-101
852,20220317,92
853,20220318,-57
854,20220321,-414
855,20220322,293
856,20220323,-15
857,20220324,-72
858,20220325,-313
859,20220328,149
860,20220329,-96
861,20220330,-77
862,20220331,203
863,20220401,-111
864,20220404,140
865,20220405,-183
866,20220406,-144
867,20220407,-351
868,20220408,-135
869,20220411,0
870,20220412,-130
871,20220413,365
872,20220414,-178
873,20220415,-125
874,20220418,159
875,20220419,260
876,20220420,-49
877,20220421,120
878,20220422,-86
879,20220425,-116
880,20220426,111
881,20220427,58
882,20220428,-49
883,20220429,356
884,20220502,200
885,20220503,127
886,20220504,-122
887,20220506,-127
888,20220509,-98
889,20220510,-69
890,20220511,166
891,20220512,166
892,20220513,474
893,20220516,-386
894,20220517,220
895,20220518,-185
896,20220519,283
897,20220520,419
898,20220523,-151
899,20220524,-254
900,20220525,98
901,20220526,19
902,20220527,0
903,20220530,63
904,20220531,68
905,20220602,-167
906,20220603,-117
907,20220607,-376
908,20220608,107
909,20220609,-49
910,20220610,-44
911,20220613,-308
912,20220614,249
913,20220615,-469
914,20220616,-63
915,20220617,254
916,20220620,-664
917,20220621,107
918,20220622,-727
919,20220623,-151
920,20220624,376
921,20220627,346
922,20220628,-78
923,20220629,-161
924,20220630,-146
925,20220701,-459
926,20220704,-107
927,20220705,39
928,20220706,-175
929,20220707,371
930,20220708,73
931,20220711,-161
932,20220712,-283
933,20220713,205
934,20220714,234
935,20220715,-88
936,20220718,361
937,20220719,-5
938,20220720,-127
939,20220721,117
940,20220722,-64
941,20220725,264
942,20220726,78
943,20220727,-162
944,20220728,-122
945,20220729,-137
946,20220801,39
947,20220802,-201
948,20220803,132
949,20220804,-107
950,20220805,162
951,20220808,151
952,20220809,34
953,20220810,-132
954,20220811,78
955,20220812,147
956,20220816,-69
957,20220817,-167
958,20220818,39
959,20220819,-113
960,20220822,59
961,20220823,-39
962,20220824,-44
963,20220825,156
964,20220826,20
965,20220829,-19
966,20220830,88
967,20220831,411
968,20220901,-230
969,20220902,-181
970,20220905,-5
971,20220906,-113
972,20220907,-328
973,20220908,-83
974,20220913,362
975,20220914,313
976,20220915,-123
977,20220916,-5
978,20220919,-264
979,20220920,-108
980,20220921,-68
981,20220922,-59
982,20220923,-342
983,20220926,-210
984,20220927,-235
985,20220928,-455
986,20220929,-54
987,20220930,240
988,20221004,284
989,20221005,-485
990,20221006,162
991,20221007,240
992,20221011,-137
993,20221012,112
994,20221013,-211
995,20221014,363
996,20221017,342
997,20221018,-269
998,20221019,-49
999,20221020,-250
1000,20221021,240
1001,20221024,-225
1002,20221025,103
1003,20221026,313
1004,20221027,186
1005,20221028,-20
1006,20221031,143
1007,20221101,294
1008,20221102,147
1009,20221103,147
1010,20221104,177
1011,20221107,230
1012,20221108,221
1013,20221109,157
1014,20221110,-24
1015,20221111,84
1016,20221114,-25
1017,20221115,-30
1018,20221116,-64
1019,20221117,-221
1020,20221118,123
1021,20221121,-383
1022,20221122,25
1023,20221123,10
1024,20221124,-39
1025,20221125,-113
1026,20221128,-113
1027,20221129,256
1028,20221130,378
1029,20221201,-226
1030,20221202,-412
1031,20221205,-162
1032,20221206,35
1033,20221207,5
1034,20221208,-117
1035,20221209,192
1036,20221212,0
1037,20221213,-201
1038,20221214,158
1039,20221215,-182
1040,20221216,304
1041,20221219,54
1042,20221220,-98
1043,20221221,-240
1044,20221222,99
1045,20221223,-167
1046,20221226,69
1047,20221227,54
1048,20221228,-177
1049,20221229,-300
1050,20230102,-157
1051,20230103,-93
1052,20230104,658
1053,20230105,-74
1054,20230106,599
1055,20230109,279
1056,20230110,35
1057,20230111,-138
1058,20230112,-157
1059,20230113,138
1060,20230116,280
1061,20230117,-152
1062,20230118,-265
1063,20230119,344
1064,20230120,108
1065,20230125,78
1066,20230126,123
1067,20230127,314
1068,20230130,-438
1069,20230131,-290
1070,20230201,69
1071,20230202,-158
1072,20230203,207
1073,20230206,-94
1074,20230207,216
1075,20230208,369
1076,20230209,94
1077,20230210,-5
1078,20230213,-74
1079,20230214,34
1080,20230215,-581
1081,20230216,438
1082,20230217,231
1083,20230220,157
1084,20230221,-55
1085,20230222,-74
1086,20230223,325
1087,20230224,-59
1088,20230227,-143
1089,20230228,147
1090,20230302,197
1091,20230303,-98
1092,20230306,123
1093,20230307,44
1094,20230308,-187
1095,20230309,-84
1096,20230310,-24
1097,20230313,45
1098,20230314,-251
1099,20230315,153
1100,20230316,138
1101,20230317,30
1102,20230320,-142
1103,20230321,-49
1104,20230322,-19
1105,20230323,241
1106,20230324,-138
1107,20230327,-192
1108,20230328,64
1109,20230329,-54
1110,20230330,25
1111,20230331,276
1112,20230403,-236
1113,20230404,133
1114,20230405,133
1115,20230406,-260
1116,20230407,300
1117,20230410,443
1118,20230411,315
1119,20230412,196
1120,20230413,202
1121,20230414,20
1122,20230417,-64
1123,20230418,-202
1124,20230419,40
1125,20230420,64
1126,20230421,-89
1127,20230424,-123
1128,20230425,-580
1129,20230426,34
1130,20230427,-15
1131,20230428,-140
1132,20230502,160
1133,20230503,-60
1134,20230504,29
1135,20230508,114
1136,20230509,-110
1137,20230510,-80
1138,20230511,25
1139,20230512,-5
1140,20230515,0
1141,20230516,-50
1142,20230517,224
1143,20230518,5
1144,20230519,175
1145,20230522,300
1146,20230523,35
1147,20230524,60
1148,20230525,-190
1149,20230526,75
1150,20230530,20
1151,20230531,-110
1152,20230601,-60
1153,20230602,100
1154,20230605,-45
1155,20230607,-35
1156,20230608,-25
1157,20230609,205
1158,20230612,-335
1159,20230613,30
1160,20230614,-160
1161,20230615,-155
1162,20230616,-135
1163,20230619,-149
1164,20230620,40
1165,20230621,-185
1166,20230622,194
1167,20230623,-264
1168,20230626,204
1169,20230627,-45
1170,20230628,-319
1171,20230629,-79
1172,20230630,10
1173,20230703,389
1174,20230704,-94
1175,20230705,-160
1176,20230706,-144
1177,20230707,-274
1178,20230710,-85
1179,20230711,279
1180,20230712,139
1181,20230713,94
1182,20230714,275
1183,20230717,50
1184,20230718,-325
1185,20230719,-294
1186,20230720,204
1187,20230721,200
1188,20230724,219
1189,20230725,-85
1190,20230726,-180
1191,20230727,259
1192,20230728,65
1193,20230731,-70
1194,20230801,400
1195,20230802,-355
1196,20230803,-300
1197,20230804,-25
1198,20230807,155
1199,20230808,-320
1200,20230809,280
1201,20230810,25
1202,20230811,-35
1203,20230814,-260
1204,20230816,-125
1205,20230817,40
1206,20230818,195
1207,20230821,45
1208,20230822,-25
1209,20230823,10
1210,20230824,40
1211,20230825,65
1212,20230828,-5
1213,20230829,5
1214,20230830,-75
1215,20230831,-155
1216,20230901,290
1217,20230904,15
1218,20230905,75
1219,20230906,-190
1220,20230907,-30
1221,20230908,-190
1222,20230911,-45
1223,20230912,-230
1224,20230913,-20
1225,20230914,235
1226,20230915,445
1227,20230918,-110
1228,20230919,-230
1229,20230920,15
1230,20230921,-325
1231,20230922,250
1232,20230925,120
1233,20230926,-435
1234,20230927,20
1235,20231004,-425
1236,20231005,10
1237,20231006,15
1238,20231010,-60
1239,20231011,315
1240,20231012,115
1241,20231013,30
1242,20231016,-260
1243,20231017,205
1244,20231018,195
1245,20231019,-180
1246,20231020,-145
1247,20231023,-120
1248,20231024,-225
1249,20231025,-205
