,date,y_minmax_0915
0,20181001,85
1,20181002,54
2,20181004,180
3,20181005,135
4,20181008,77
5,20181010,86
6,20181011,135
7,20181012,135
8,20181015,144
9,20181016,95
10,20181017,176
11,20181018,99
12,20181019,81
13,20181022,72
14,20181023,63
15,20181024,81
16,20181025,198
17,20181026,211
18,20181029,149
19,20181030,181
20,20181031,149
21,20181101,136
22,20181102,145
23,20181105,180
24,20181106,176
25,20181107,127
26,20181108,154
27,20181109,90
28,20181112,126
29,20181113,135
30,20181114,77
31,20181116,144
32,20181119,185
33,20181120,95
34,20181121,90
35,20181122,63
36,20181123,67
37,20181126,131
38,20181127,117
39,20181128,90
40,20181129,81
41,20181130,72
42,20181203,194
43,20181204,72
44,20181205,77
45,20181206,90
46,20181207,81
47,20181210,104
48,20181211,144
49,20181212,118
50,20181213,91
51,20181214,104
52,20181217,95
53,20181218,122
54,20181219,77
55,20181220,176
56,20181221,135
57,20181224,108
58,20181226,122
59,20181227,118
60,20181228,144
61,20190103,126
62,20190104,95
63,20190107,190
64,20190108,90
65,20190109,117
66,20190110,112
67,20190111,54
68,20190114,50
69,20190115,40
70,20190116,59
71,20190117,81
72,20190118,68
73,20190121,145
74,20190122,68
75,20190123,68
76,20190124,171
77,20190125,140
78,20190128,85
79,20190129,54
80,20190130,54
81,20190131,99
82,20190201,91
83,20190207,144
84,20190208,113
85,20190211,59
86,20190212,59
87,20190213,63
88,20190214,50
89,20190215,122
90,20190218,81
91,20190219,231
92,20190220,68
93,20190221,91
94,20190222,77
95,20190225,100
96,20190226,72
97,20190227,54
98,20190228,189
99,20190304,99
100,20190305,86
101,20190306,86
102,20190307,59
103,20190308,41
104,20190311,72
105,20190312,131
106,20190313,81
107,20190314,59
108,20190315,235
109,20190318,94
110,20190319,149
111,20190320,113
112,20190321,203
113,20190322,90
114,20190325,86
115,20190326,72
116,20190327,180
117,20190328,63
118,20190329,113
119,20190401,189
120,20190402,77
121,20190403,49
122,20190404,86
123,20190405,144
124,20190408,72
125,20190409,68
126,20190410,45
127,20190411,72
128,20190412,118
129,20190415,126
130,20190416,68
131,20190417,81
132,20190418,90
133,20190419,55
134,20190422,68
135,20190423,99
136,20190424,122
137,20190425,99
138,20190426,122
139,20190429,119
140,20190430,78
141,20190502,151
142,20190503,92
143,20190507,183
144,20190508,110
145,20190509,78
