,date,y_rate_1005
0,20181001,-135
1,20181002,41
2,20181004,-270
3,20181005,49
4,20181008,86
5,20181010,-58
6,20181011,36
7,20181012,135
8,20181015,-54
9,20181016,-95
10,20181017,113
11,20181018,63
12,20181019,14
13,20181022,4
14,20181023,-194
15,20181024,-81
16,20181025,-32
17,20181026,-162
18,20181029,72
19,20181030,203
20,20181031,-63
21,20181101,50
22,20181102,212
23,20181105,-316
24,20181106,59
25,20181107,54
26,20181108,63
27,20181109,-41
28,20181112,171
29,20181113,-140
30,20181114,-72
31,20181115,0
32,20181116,-50
33,20181119,-31
34,20181120,68
35,20181121,-45
36,20181122,9
37,20181123,13
38,20181126,109
39,20181127,-108
40,20181128,-90
41,20181129,-149
42,20181130,-40
43,20181203,-23
44,20181204,-104
45,20181205,68
46,20181206,-18
47,20181207,27
48,20181210,-9
49,20181211,-149
50,20181212,153
51,20181213,-9
52,20181214,-266
53,20181217,-4
54,20181218,135
55,20181219,18
56,20181220,-50
57,20181221,32
58,20181224,-9
59,20181226,63
60,20181227,-5
61,20181228,103
62,20190102,0
63,20190103,-140
64,20190104,-45
65,20190107,157
66,20190108,54
67,20190109,194
68,20190110,-23
69,20190111,-27
70,20190114,-4
71,20190115,212
72,20190116,18
73,20190117,13
74,20190118,-28
75,20190121,-131
76,20190122,-108
77,20190123,121
78,20190124,99
79,20190125,144
80,20190128,-31
81,20190129,-108
82,20190130,14
83,20190131,-176
84,20190201,77
85,20190207,-121
86,20190208,-86
87,20190211,-36
88,20190212,167
89,20190213,-9
90,20190214,-31
91,20190215,-113
92,20190218,67
93,20190219,-64
94,20190220,5
95,20190221,-54
96,20190222,0
97,20190225,-117
98,20190226,4
99,20190227,-13
100,20190228,-36
101,20190304,-50
102,20190305,-23
103,20190306,-9
104,20190307,18
105,20190308,-90
106,20190311,-86
107,20190312,54
108,20190313,-54
109,20190314,-54
110,20190315,230
111,20190318,-18
112,20190319,-32
113,20190320,-126
114,20190321,298
115,20190322,36
116,20190325,-99
117,20190326,9
118,20190327,-59
119,20190328,-50
120,20190329,-23
121,20190401,180
122,20190402,54
123,20190403,122
124,20190404,36
125,20190405,40
126,20190408,-95
127,20190409,-22
128,20190410,41
129,20190411,-45
130,20190412,0
131,20190415,59
132,20190416,37
133,20190417,-18
134,20190418,-85
135,20190419,-9
136,20190422,95
137,20190423,-4
138,20190424,-64
139,20190425,45
140,20190426,-90
141,20190429,10
142,20190430,-92
143,20190502,175
144,20190503,-96
145,20190507,-87
146,20190508,142
147,20190509,-83
148,20190510,0
149,20190513,36
150,20190514,156
151,20190515,4
152,20190516,-124
153,20190517,23
154,20190520,165
155,20190521,183
156,20190522,-280
157,20190523,-119
158,20190524,-55
159,20190527,91
160,20190528,9
161,20190529,-289
162,20190530,41
163,20190531,-60
164,20190603,230
165,20190604,33
166,20190605,-46
167,20190607,-41
168,20190610,32
169,20190611,87
170,20190612,50
171,20190613,-9
172,20190614,73
173,20190617,60
174,20190618,142
175,20190619,46
176,20190620,-41
177,20190621,-74
178,20190624,23
179,20190625,91
180,20190626,14
181,20190627,36
182,20190628,-9
183,20190701,-156
184,20190702,69
185,20190703,-88
186,20190704,73
187,20190705,32
188,20190708,-174
189,20190709,0
190,20190710,120
191,20190711,110
192,20190712,69
193,20190715,4
194,20190716,-59
195,20190717,-120
196,20190718,14
197,20190719,55
198,20190722,65
199,20190723,18
200,20190724,42
201,20190725,-88
202,20190726,-9
203,20190729,-207
204,20190730,-37
205,20190731,-23
206,20190801,97
207,20190802,-51
208,20190805,-165
209,20190806,73
210,20190807,13
211,20190808,-165
212,20190809,18
213,20190812,4
214,20190813,-69
215,20190814,69
216,20190816,-114
217,20190819,-92
218,20190820,-10
219,20190821,37
220,20190822,-101
221,20190823,18
222,20190826,0
223,20190827,32
224,20190828,-4
225,20190829,-92
226,20190830,184
227,20190902,9
228,20190903,88
229,20190904,101
230,20190905,161
231,20190906,-65
232,20190909,174
233,20190910,59
234,20190911,74
235,20190916,-83
236,20190917,4
237,20190918,-37
238,20190919,257
239,20190920,27
240,20190923,69
241,20190924,-41
242,20190925,-88
243,20190926,60
244,20190927,-124
245,20190930,27
246,20191001,138
247,20191002,-82
248,20191004,46
249,20191007,-96
250,20191008,138
251,20191010,-105
252,20191011,-73
253,20191014,28
254,20191015,36
255,20191016,5
256,20191017,-23
257,20191018,41
258,20191021,37
259,20191022,101
260,20191023,-14
261,20191024,-106
262,20191025,-59
263,20191028,9
264,20191029,-51
265,20191030,-184
266,20191031,120
267,20191101,32
268,20191104,32
269,20191105,-9
270,20191106,106
271,20191107,-32
272,20191108,-74
273,20191111,-129
274,20191112,42
275,20191113,-115
276,20191114,0
277,20191115,194
278,20191118,-33
279,20191119,-152
280,20191120,-5
281,20191121,-286
282,20191122,74
283,20191125,157
284,20191126,96
285,20191127,-46
286,20191128,79
287,20191129,-231
288,20191202,41
289,20191203,-41
290,20191204,-5
291,20191205,-32
