,date,y_rate_1150
0,20181001,-27
1,20181002,-180
2,20181004,-104
3,20181005,72
4,20181008,-45
5,20181010,-22
6,20181011,-266
7,20181012,72
8,20181015,-22
9,20181016,-126
10,20181017,-81
11,20181018,-59
12,20181019,130
13,20181022,68
14,20181023,-117
15,20181024,-23
16,20181025,198
17,20181026,-41
18,20181029,-166
19,20181030,27
20,20181031,158
21,20181101,-235
22,20181102,352
23,20181105,217
24,20181106,135
25,20181107,-194
26,20181108,-181
27,20181109,-73
28,20181112,0
29,20181113,235
30,20181114,27
31,20181115,230
32,20181116,-14
33,20181119,72
34,20181120,-68
35,20181121,122
36,20181122,-4
37,20181123,31
38,20181126,45
39,20181127,104
40,20181128,131
41,20181129,-67
42,20181130,-157
43,20181203,-36
44,20181204,-109
45,20181205,-45
46,20181206,-113
47,20181207,27
48,20181210,86
49,20181211,-5
50,20181212,22
51,20181213,-36
52,20181214,32
53,20181217,-73
54,20181218,-81
55,20181219,5
56,20181220,-91
57,20181221,0
58,20181224,18
59,20181226,50
60,20181227,-90
61,20181228,-36
62,20190102,-127
63,20190103,-244
64,20190104,104
65,20190107,-41
66,20190108,-163
67,20190109,-14
68,20190110,13
69,20190111,23
70,20190114,-27
71,20190115,108
72,20190116,76
73,20190117,-22
74,20190118,54
75,20190121,36
76,20190122,54
77,20190123,14
78,20190124,144
79,20190125,158
80,20190128,-63
81,20190129,226
82,20190130,248
83,20190131,-81
84,20190201,-135
85,20190207,-121
86,20190208,-27
87,20190211,86
88,20190212,23
89,20190213,18
90,20190214,352
91,20190215,36
92,20190218,-45
93,20190219,-77
94,20190220,-67
95,20190221,36
96,20190222,72
97,20190225,67
98,20190226,4
99,20190227,9
100,20190228,-406
101,20190304,-131
102,20190305,-27
103,20190306,13
104,20190307,-95
105,20190308,-149
106,20190311,36
107,20190312,4
108,20190313,144
109,20190314,41
110,20190315,-68
111,20190318,5
112,20190319,18
113,20190320,261
114,20190321,-181
115,20190322,14
116,20190325,-95
117,20190326,-54
118,20190327,-58
119,20190328,-27
120,20190329,86
121,20190401,36
122,20190402,36
123,20190403,248
124,20190404,-140
125,20190405,18
126,20190408,-58
127,20190409,18
128,20190410,185
129,20190411,-22
130,20190412,0
131,20190415,-99
132,20190416,81
133,20190417,-36
134,20190418,-162
135,20190419,-54
136,20190422,-31
137,20190423,36
138,20190424,-31
139,20190425,-77
140,20190426,-54
141,20190429,285
142,20190430,101
143,20190502,50
144,20190503,-19
145,20190507,64
146,20190508,-151
147,20190509,-440
148,20190510,-51
149,20190513,-55
150,20190514,-46
151,20190515,5
152,20190516,-234
153,20190517,-224
154,20190520,-137
155,20190521,-92
156,20190522,138
157,20190523,32
158,20190524,41
159,20190527,18
160,20190528,87
161,20190529,37
162,20190530,115
163,20190531,-59
164,20190603,184
165,20190604,18
166,20190605,-92
167,20190607,-169
168,20190610,50
169,20190611,55
170,20190612,-42
171,20190613,115
172,20190614,-42
173,20190617,-19
174,20190618,-14
175,20190619,18
176,20190620,41
177,20190621,-32
178,20190624,-73
179,20190625,-59
180,20190626,-42
181,20190627,23
182,20190628,36
183,20190701,-37
184,20190702,-64
185,20190703,-97
186,20190704,206
187,20190705,-22
188,20190708,-83
189,20190709,-119
190,20190710,-42
191,20190711,-9
192,20190712,9
193,20190715,-28
194,20190716,64
195,20190717,5
196,20190718,28
197,20190719,50
198,20190722,-18
199,20190723,-50
200,20190724,-247
201,20190725,41
202,20190726,18
203,20190729,32
204,20190730,-28
205,20190731,37
206,20190801,-78
207,20190802,-14
208,20190805,-78
209,20190806,-128
210,20190807,55
211,20190808,-37
212,20190809,-65
213,20190812,-46
214,20190813,-55
215,20190814,-69
216,20190816,78
217,20190819,41
218,20190820,124
219,20190821,-5
220,20190822,-46
221,20190823,-18
222,20190826,18
223,20190827,-88
224,20190828,115
225,20190829,-9
226,20190830,-19
227,20190902,10
228,20190903,-46
229,20190904,239
230,20190905,-115
231,20190906,-14
232,20190909,-5
233,20190910,78
234,20190911,32
235,20190916,55
236,20190917,-18
237,20190918,-18
238,20190919,32
239,20190920,60
240,20190923,60
241,20190924,129
242,20190925,-207
243,20190926,-87
244,20190927,-23
245,20190930,64
246,20191001,-27
247,20191002,-179
248,20191004,-188
249,20191007,-32
250,20191008,106
251,20191010,41
252,20191011,0
253,20191014,-83
254,20191015,-23
255,20191016,-60
256,20191017,-64
257,20191018,-299
258,20191021,5
259,20191022,55
260,20191023,-41
261,20191024,97
262,20191025,64
263,20191028,-10
264,20191029,-55
265,20191030,-87
266,20191031,-185
267,20191101,101
268,20191104,28
269,20191105,134
270,20191106,5
271,20191107,-23
272,20191108,-55
273,20191111,32
274,20191112,180
275,20191113,33
276,20191114,194
277,20191115,0
278,20191118,65
279,20191119,-9
280,20191120,-69
281,20191121,-51
282,20191122,14
283,20191125,-42
284,20191126,-115
285,20191127,14
286,20191128,-83
287,20191129,-111
288,20191202,-88
289,20191203,55
290,20191204,88
291,20191205,-37
292,20191206,42
293,20191209,-51
294,20191210,51
295,20191211,32
296,20191212,37
297,20191213,46
298,20191216,-14
299,20191217,69
300,20191218,-46
301,20191219,27
302,20191220,-23
303,20191223,47
304,20191224,4
305,20191226,111
306,20191227,-10
307,20191230,-110
308,20200102,-79
309,20200103,0
310,20200106,41
311,20200107,0
312,20200108,-55
313,20200109,139
314,20200110,226
315,20200113,83
316,20200114,-166
317,20200115,-37
318,20200116,180
319,20200117,-33
320,20200120,-120
321,20200121,-111
322,20200122,180
323,20200123,-120
324,20200128,18
325,20200129,-74
326,20200130,-245
327,20200131,-406
328,20200203,79
329,20200204,88
330,20200205,-129
331,20200206,277
332,20200207,-13
333,20200210,-4
334,20200211,-138
335,20200212,272
336,20200213,-245
337,20200214,-23
338,20200217,-69
