,date,volume
0,20181001,339217
1,20181002,248459
2,20181004,169536
3,20181005,337513
4,20181008,237101
5,20181010,217609
6,20181011,656045
7,20181012,328902
8,20181015,183997
9,20181016,216100
10,20181017,175223
11,20181018,143146
12,20181019,262046
13,20181022,229449
14,20181023,162966
15,20181024,282569
16,20181025,718518
17,20181026,289406
18,20181029,395153
19,20181030,381260
20,20181031,203154
21,20181101,342396
22,20181102,256579
23,20181105,473417
24,20181106,243317
25,20181107,408850
26,20181108,615811
27,20181109,525897
28,20181112,144255
29,20181113,675487
30,20181114,245876
31,20181116,376259
32,20181119,211957
33,20181120,403528
34,20181121,971829
35,20181122,158609
36,20181123,152672
37,20181126,195326
38,20181127,341127
39,20181128,105466
40,20181129,380571
41,20181130,79468
42,20181203,1163941
43,20181204,204846
44,20181205,419067
45,20181206,304470
46,20181207,276341
47,20181210,285910
48,20181211,236554
49,20181212,327119
50,20181213,100941
51,20181214,190245
52,20181217,159660
53,20181218,326955
54,20181219,374588
55,20181220,385351
56,20181221,99024
57,20181224,153412
58,20181226,260641
59,20181227,444166
60,20181228,378597
61,20190103,513978
62,20190104,210088
63,20190107,520913
64,20190108,255672
65,20190109,212532
66,20190110,423232
67,20190111,374473
68,20190114,351273
69,20190115,416762
70,20190116,640281
71,20190117,407691
72,20190118,415727
73,20190121,317721
74,20190122,387587
75,20190123,244064
76,20190124,385732
77,20190125,428942
78,20190128,486909
79,20190129,413745
80,20190130,514720
81,20190131,628218
82,20190201,634444
83,20190207,362440
84,20190208,421424
85,20190211,244096
86,20190212,151182
87,20190213,514023
88,20190214,155696
89,20190215,112157
90,20190218,304657
91,20190219,319686
92,20190220,401289
93,20190221,160514
94,20190222,232669
95,20190225,377810
96,20190226,265546
97,20190227,300551
98,20190228,332012
99,20190304,231237
100,20190305,253876
101,20190306,205485
102,20190307,409508
103,20190308,212292
104,20190311,322166
105,20190312,429513
106,20190313,239357
107,20190314,226262
108,20190315,118566
109,20190318,324648
110,20190319,359934
111,20190320,145825
112,20190321,542558
113,20190322,537033
114,20190325,495093
115,20190326,365575
116,20190327,243781
117,20190328,311875
118,20190329,187658
119,20190401,297099
120,20190402,255478
121,20190403,45258
122,20190404,95117
123,20190405,345077
124,20190408,210736
125,20190409,386546
126,20190410,385410
127,20190411,244017
128,20190412,150243
129,20190415,416187
130,20190416,449018
131,20190417,352679
132,20190418,367919
133,20190419,594666
134,20190422,375370
135,20190423,648477
136,20190424,183039
137,20190425,297366
138,20190426,398641
139,20190429,184061
140,20190430,139793
141,20190502,56888
142,20190503,166922
143,20190507,402386
144,20190508,174760
145,20190509,117905
146,20190510,333182
147,20190513,288845
148,20190514,600472
149,20190515,503862
150,20190516,432916
151,20190517,192721
152,20190520,517952
153,20190521,544914
154,20190522,291384
155,20190523,491944
156,20190524,305783
157,20190527,329714
158,20190528,227448
159,20190529,299549
160,20190530,300395
161,20190531,577315
162,20190603,301264
163,20190604,263864
164,20190605,302020
165,20190607,283779
166,20190610,353773
167,20190611,121586
168,20190612,112485
169,20190613,119871
170,20190614,190059
171,20190617,141775
172,20190618,122994
173,20190619,195890
174,20190620,111575
175,20190621,112984
176,20190624,97895
177,20190625,200068
178,20190626,122530
179,20190627,165125
180,20190628,136091
181,20190701,220317
182,20190702,334162
183,20190703,128435
184,20190704,169850
185,20190705,231134
186,20190708,273804
187,20190709,200972
188,20190710,156477
189,20190711,219029
190,20190712,103346
191,20190715,178398
192,20190716,105826
193,20190717,213715
194,20190718,71976
195,20190719,244859
196,20190722,95614
197,20190723,110691
198,20190724,135797
199,20190725,393669
200,20190726,145100
201,20190729,207964
202,20190730,705474
203,20190731,120107
204,20190801,91450
205,20190802,439518
206,20190805,248372
207,20190806,497031
208,20190807,257194
209,20190808,261170
210,20190809,243113
211,20190812,187360
212,20190813,227628
213,20190814,290031
214,20190816,231484
215,20190819,238714
216,20190820,195744
217,20190821,203824
218,20190822,228504
219,20190823,176163
220,20190826,341172
221,20190827,320398
222,20190828,148829
223,20190829,162733
224,20190830,546253
225,20190902,97660
226,20190903,122795
227,20190904,126324
228,20190905,345478
229,20190906,127578
230,20190909,118987
231,20190910,260131
232,20190911,83685
233,20190916,202141
234,20190917,176256
235,20190918,159097
236,20190919,216802
237,20190920,146723
238,20190923,168685
239,20190924,116131
240,20190925,157245
241,20190926,357370
242,20190927,192858
243,20190930,185543
244,20191001,152385
245,20191002,161104
246,20191004,317744
247,20191007,122694
248,20191008,230378
249,20191010,385310
250,20191011,176727
251,20191014,168217
252,20191015,132121
253,20191016,164541
254,20191017,93940
255,20191018,211586
256,20191021,151408
257,20191022,152115
258,20191023,89525
259,20191024,91975
260,20191025,81603
261,20191028,243575
262,20191029,221523
263,20191030,186220
264,20191031,225991
265,20191101,231896
266,20191104,225093
267,20191105,129137
268,20191106,83783
269,20191107,156389
270,20191108,359303
271,20191111,171808
272,20191112,373826
273,20191113,151561
274,20191115,101277
275,20191118,254632
276,20191119,203171
277,20191120,192435
278,20191121,112085
279,20191122,327120
280,20191125,309018
281,20191126,162680
282,20191127,302938
283,20191128,293366
284,20191129,101058
285,20191202,244933
286,20191203,175690
287,20191204,402623
288,20191205,206289
289,20191206,315406
290,20191209,229230
291,20191210,83306
292,20191211,95496
293,20191212,122922
294,20191213,252452
295,20191216,200785
296,20191217,234900
297,20191218,123312
298,20191219,128688
299,20191220,125230
300,20191223,96419
301,20191224,112817
302,20191226,175223
303,20191227,151481
304,20191230,307655
305,20200103,204216
306,20200106,141238
307,20200107,184782
308,20200108,143629
309,20200109,131323
310,20200110,104978
311,20200113,139480
312,20200114,199683
313,20200115,222737
314,20200116,147384
315,20200117,331228
316,20200120,224968
317,20200121,86604
318,20200122,117643
319,20200123,287434
320,20200128,656929
321,20200129,312408
322,20200130,378309
323,20200131,298161
324,20200203,315197
325,20200204,464824
326,20200205,479261
327,20200206,226995
328,20200207,156216
329,20200210,185016
330,20200211,276963
331,20200212,90079
