,date,y_volume_1335
54,20181001,6607
131,20181002,6278
208,20181004,51408
285,20181005,12939
362,20181008,45770
439,20181010,20871
516,20181011,124136
593,20181012,160567
670,20181015,10529
747,20181016,21464
824,20181017,24415
901,20181018,29669
978,20181019,45686
1055,20181022,14688
1132,20181023,47907
1209,20181024,89473
1286,20181025,72407
1363,20181026,83752
1440,20181029,24497
1517,20181030,99863
1594,20181031,55369
1671,20181101,17434
1748,20181102,16523
1825,20181105,13848
1902,20181106,38549
1979,20181107,21621
2056,20181108,24215
2133,20181109,30704
2210,20181112,21566
2287,20181113,55189
2364,20181114,19717
2429,20181115,35365
2518,20181116,52797
2595,20181119,12190
2672,20181120,28412
2749,20181121,12447
2826,20181122,78915
2903,20181123,6788
2980,20181126,9292
3057,20181127,34491
3134,20181128,9696
3211,20181129,49686
3288,20181130,16368
3365,20181203,24469
3442,20181204,29351
3519,20181205,11410
3596,20181206,224964
3673,20181207,110382
3750,20181210,195935
3827,20181211,7493
3904,20181212,95028
3981,20181213,111721
4058,20181214,58656
4135,20181217,122126
4212,20181218,21577
4289,20181219,126450
4366,20181220,91563
4443,20181221,168367
4520,20181224,13416
4597,20181226,65105
4674,20181227,48162
4751,20181228,53138
4816,20190102,39334
4893,20190103,25849
4970,20190104,22676
5047,20190107,21660
5124,20190108,21720
5201,20190109,20480
5278,20190110,22675
5355,20190111,27638
5432,20190114,5516
5509,20190115,23119
5586,20190116,49300
5663,20190117,68998
5740,20190118,35644
5817,20190121,3428
5894,20190122,27399
5971,20190123,41950
6048,20190124,23257
6125,20190125,137340
6202,20190128,80544
6279,20190129,17430
6356,20190130,50845
6433,20190131,146935
6510,20190201,36178
6587,20190207,11143
6664,20190208,83252
6741,20190211,1273
6818,20190212,59742
6895,20190213,10612
6972,20190214,32232
7049,20190215,41542
7126,20190218,53343
7203,20190219,19635
7280,20190220,35370
7357,20190221,35995
7434,20190222,7095
7511,20190225,21106
7588,20190226,58369
7665,20190227,19143
7742,20190228,106172
7819,20190304,13175
7896,20190305,16809
7973,20190306,53072
8050,20190307,21869
8127,20190308,68331
8204,20190311,13194
8281,20190312,20356
8358,20190313,59576
8435,20190314,132311
8512,20190315,66510
8589,20190318,27839
8666,20190319,21668
8743,20190320,11642
8820,20190321,78695
8897,20190322,53203
8974,20190325,20977
9051,20190326,22323
