date,y_rate_0910,y_rate_0915,y_rate_0920,y_rate_0925,y_rate_0930,y_rate_0935,y_rate_0940,y_rate_0945,y_rate_0950,y_rate_0955,y_rate_1000,y_rate_1005,y_rate_1010,y_rate_1015,y_rate_1020,y_rate_1025,y_rate_1030,y_rate_1035,y_rate_1040,y_rate_1045,y_rate_1050,y_rate_1055,y_rate_1100,y_rate_1105,y_rate_1110,y_rate_1115,y_rate_1120,y_rate_1125,y_rate_1130,y_rate_1135,y_rate_1140,y_rate_1145,y_rate_1150,y_rate_1155,y_rate_1200,y_rate_1205,y_rate_1210,y_rate_1215,y_rate_1220,y_rate_1225,y_rate_1230,y_rate_1235,y_rate_1240,y_rate_1245,y_rate_1250,y_rate_1255,y_rate_1300,y_rate_1305,y_rate_1310,y_rate_1315,y_rate_1320,y_rate_1325,y_rate_1330,y_rate_1335,y_rate_1340,y_rate_1345,y_rate_1350,y_rate_1355,y_rate_1400,y_rate_1405,y_rate_1410,y_rate_1415,y_rate_1420,y_rate_1425,y_rate_1430,y_rate_1435,y_rate_1440,y_rate_1445,y_rate_1450,y_rate_1455,y_rate_1500,y_rate_1505,y_rate_1510,y_rate_1515,y_rate_1520,y_rate_1530
20181001,54,32,5,0,-13,-112,-108,-121,-130,-126,-144,-135,-117,-103,-108,-112,-85,-54,-67,-85,-90,-90,-81,-103,-99,-81,-54,-4,5,-4,-18,-18,-22,-31,-13,-22,-40,-31,-13,-22,-31,-22,-36,-31,-27,-40,-45,-76,-67,-76,-76,-76,-67,-72,-90,-94,-81,-76,-67,-58,-81,-67,-54,-36,-49,-40,-45,-40,-40,-36,-27,-31,-45,-67,-67,-49
20181002,23,-4,32,27,36,36,54,59,68,72,59,41,27,-22,-54,-58,-54,-67,-108,-85,-99,-117,-103,-117,-112,-99,-99,-135,-130,-130,-135,-117,-126,-144,-117,-126,-130,-135,-126,-117,-121,-126,-139,-144,-153,-157,-153,-144,-157,-135,-148,-153,-148,-148,-148,-139,-153,-175,-184,-202,-198,-216,-225,-238,-265,-252,-247,-247,-238,-252,-265,-265,-301,-324,-310,-306
20181004,-108,-166,-153,-193,-193,-220,-225,-256,-256,-243,-243,-270,-319,-315,-351,-333,-351,-337,-360,-319,-315,-310,-328,-360,-378,-387,-409,-423,-418,-364,-324,-342,-346,-369,-355,-342,-351,-355,-378,-369,-369,-391,-391,-414,-436,-414,-414,-432,-441,-454,-427,-409,-436,-405,-418,-418,-445,-441,-468,-441,-450,-463,-472,-454,-454,-468,-463,-472,-463,-459,-454,-441,-436,-450,-450,-450
20181005,-27,-45,9,49,72,85,81,54,22,31,49,49,27,27,31,31,-5,-23,9,45,4,-27,-32,-27,-27,-63,-117,-99,-108,-135,-171,-131,-72,-54,-50,-59,-68,-81,-95,-86,-63,-90,-90,-59,-86,-90,-99,-95,-72,-68,-27,0,-14,-32,-23,-18,-9,9,-14,-18,-14,-59,-50,-5,-9,-14,-9,-9,9,0,-27,-23,9,-5,22,0
20181008,18,23,41,59,86,77,81,72,99,108,99,86,99,194,162,176,162,158,117,153,140,144,126,63,90,95,72,32,68,45,45,45,36,41,50,27,27,63,72,68,54,50,45,36,23,36,27,23,23,23,23,32,36,36,50,32,36,27,23,14,27,54,50,45,54,54,41,50,59,86,63,63,41,32,27,-9
20181010,-40,-27,-54,-54,-31,-144,-175,-184,-175,-166,-99,-58,-108,-90,-112,-63,-76,-76,-54,-99,-63,-54,-76,-94,-121,-117,-112,-135,-175,-166,-170,-179,-193,-188,-202,-197,-202,-188,-220,-220,-206,-238,-269,-283,-274,-265,-251,-242,-238,-220,-242,-238,-238,-206,-215,-224,-229,-256,-233,-238,-220,-242,-233,-179,-139,-157,-188,-162,-179,-179,-197,-211,-197,-202,-220,-215
20181011,112,76,67,40,67,94,85,85,139,94,99,36,13,-27,-72,-41,-72,-59,-45,-63,-90,-68,-86,-68,-59,-68,-27,-27,-18,-68,-117,-131,-162,-180,-171,-180,-171,-180,-212,-279,-257,-248,-261,-243,-261,-279,-261,-257,-288,-306,-311,-342,-432,-446,-374,-270,-261,-257,-257,-221,-297,-351,-360,-396,-356,-387,-383,-360,-356,-374,-374,-369,-374,-401,-405,-428
20181012,99,81,22,54,76,117,72,103,130,99,135,135,103,85,58,99,130,139,94,171,189,216,225,207,180,171,202,198,216,211,198,189,184,148,157,166,162,135,126,180,202,198,198,225,261,288,283,288,274,270,270,288,310,306,292,310,328,369,400,405,423,396,409,396,450,418,427,378,373,279,283,319,288,265,279,256
20181015,-113,-90,-99,-95,-104,-63,-135,-131,-104,-81,-72,-54,-104,-86,-63,-41,0,-14,-68,-50,-23,-18,-5,54,22,18,-5,-5,-27,-14,-50,-45,-50,-14,-23,-41,-27,-45,-50,-68,-72,-72,-86,-86,-95,-86,-63,-59,-45,-63,-68,-86,-86,-68,-59,-81,-68,-86,-59,-54,-95,-99,-113,-113,-108,-108,-99,-117,-113,-126,-131,-131,-113,-99,-122,-72
20181016,45,13,-9,-18,-14,-23,-41,-36,-50,-63,-72,-95,-77,-77,-77,-41,-50,-54,-45,-86,-77,-68,-41,27,49,18,18,-5,-27,-27,-41,-54,-50,-68,-50,-68,-72,-90,-77,-81,-140,-140,-126,-153,-162,-144,-126,-140,-108,-131,-126,-144,-176,-176,-162,-153,-153,-140,-131,-122,-126,-95,-117,-104,-108,-99,-117,-126,-113,-131,-108,-122,-153,-203,-198,-176
