,date,y_volume_0905,y_volume_0910,y_volume_0915,y_volume_0920,y_volume_0925,y_volume_0930,y_volume_0935,y_volume_0940,y_volume_0945,y_volume_0950,y_volume_0955,y_volume_1000,y_volume_1005,y_volume_1010,y_volume_1015,y_volume_1020,y_volume_1025,y_volume_1030,y_volume_1035,y_volume_1040,y_volume_1045,y_volume_1050,y_volume_1055,y_volume_1100,y_volume_1105,y_volume_1110,y_volume_1115,y_volume_1120,y_volume_1125,y_volume_1130,y_volume_1135,y_volume_1140,y_volume_1145,y_volume_1150,y_volume_1155,y_volume_1200,y_volume_1205,y_volume_1210,y_volume_1215,y_volume_1220,y_volume_1225,y_volume_1230,y_volume_1235,y_volume_1240,y_volume_1245,y_volume_1250,y_volume_1255,y_volume_1300,y_volume_1305,y_volume_1310,y_volume_1315,y_volume_1320,y_volume_1325,y_volume_1330,y_volume_1335,y_volume_1340,y_volume_1345,y_volume_1350,y_volume_1355,y_volume_1400,y_volume_1405,y_volume_1410,y_volume_1415,y_volume_1420,y_volume_1425,y_volume_1430,y_volume_1435,y_volume_1440,y_volume_1445,y_volume_1450,y_volume_1455,y_volume_1500,y_volume_1505,y_volume_1510,y_volume_1515,y_volume_1520,y_volume_1530
0,20181001,259685,79532,109853,44790,16222,54490,104522,118599,42720,86342,14771,31779,42834,31878,43459,50230,33842,81715,29210,23519,35038,3316,16173,65578,33173,6608,17330,26908,18664,21710,14207,11271,1910,4476,4761,5945,9634,41787,12607,4636,2479,7756,4667,1822,1522,13357,15370,14618,17123,8035,12421,16779,5018,13195,6607,40385,2888,2406,12075,14904,14763,137461,45662,121123,21125,33074,20215,48606,44313,17916,14595,29995,118204,81567,335967,89973,102997
1,20181002,162628,85831,74217,32128,7971,41543,79976,2459,90431,32451,22026,11936,31638,69484,28551,30638,41371,24862,42137,35579,5822,43592,5971,21365,12304,8034,22787,96982,126580,109281,29221,41937,36168,14827,12296,36868,18371,44399,2219,3812,15499,5765,35268,3086,25162,15326,33976,24184,22928,12752,31314,27828,65716,12823,6278,38989,31234,50551,20866,15436,24954,10036,43195,74121,22848,48307,37134,20140,57101,64293,149581,67952,72496,78985,104428,25579,46822
2,20181004,87806,81730,18075,49090,45689,51190,56824,42389,118260,65723,43856,70216,112038,34947,88905,15561,30383,12447,75686,36464,80039,48854,111772,55191,75524,64826,82998,34559,23856,88253,14658,36175,35211,18663,41045,49881,16079,16026,11157,6077,6062,11365,11105,46566,32855,21474,15441,11468,29947,62794,67102,26849,34304,32466,51408,65111,50706,70913,112660,56628,124444,79173,75900,47979,125479,95288,104668,67501,141004,109009,133122,84048,188638,270111,98565,108325,79053
3,20181005,232223,105290,66175,102559,66661,59148,68413,58446,122129,49110,92146,28689,55538,50956,66675,61503,48999,61728,105779,162745,62574,76500,45163,41949,64037,14571,59027,26202,43381,26368,92615,35207,79783,14765,43230,3924,9518,23088,20577,29672,70390,62814,21590,30752,17369,16432,24542,2939,16000,27075,64676,59017,54998,31340,12939,41701,68414,54069,166026,32719,4345,411127,96920,129358,195270,80622,43672,107063,82242,86283,123183,72476,101920,158091,154187,93813,68484
4,20181008,138069,99032,38978,85337,61925,57731,103217,42945,10360,54032,18094,21312,26467,64411,77766,32219,38045,34546,48049,33076,11931,27000,25941,28613,47785,20165,8656,61097,26550,15336,24875,29520,35261,37679,39920,49304,43130,35184,19370,28642,6422,6125,30861,5785,18828,9359,30463,21195,23902,7214,8235,4708,5274,21748,45770,19297,29650,58004,4164,17649,120994,22392,38384,42587,32143,29490,46637,18211,60920,60720,57781,58677,87835,88287,81370,111083,28409
5,20181010,165774,51835,82434,34704,14547,108350,158617,64572,124959,53646,255134,99902,155310,65450,35808,68125,25906,40883,51614,57365,25357,46079,49763,42460,48687,32817,25915,28795,61810,33174,44579,52591,39595,73777,27937,30063,10674,21722,10015,108425,22809,101024,29259,74112,57937,37872,92002,18790,42050,28301,26631,33295,65629,52298,20871,16660,15660,32876,42212,95073,115940,115330,56344,150475,110620,58556,85315,54159,58363,67095,102668,113101,104134,86328,113975,60172,47132
6,20181011,443752,212293,101822,252983,431912,125631,93796,86243,128171,111752,56824,114555,148410,84295,136053,200474,147340,87071,142120,73860,281378,56282,90845,145600,34017,49881,49318,99421,28721,44329,97784,94294,87047,79602,80242,57938,62955,60446,59044,85395,192369,55432,90509,57360,32618,75543,88623,51638,25082,52481,21372,88093,117760,209412,124136,86140,123826,113287,68094,107646,190652,256475,247243,254669,243396,273418,231657,225009,236945,194305,262488,232798,272112,323133,290529,277957,91709
7,20181012,218194,110708,178149,107942,280164,207702,113908,209126,115829,122217,82062,104105,132227,63422,32396,28807,51243,105869,47684,70857,78360,117950,33258,43182,120153,78104,128881,113883,143563,139454,156762,141848,123599,136686,177398,121950,168340,123472,107173,248924,182014,160871,128518,194269,164258,255594,327372,229668,209701,206236,358399,187594,203171,167331,160567,137297,133908,138195,160648,144861,144897,147047,173988,183925,150389,290948,132756,217129,149053,298454,332145,224930,300649,261709,200126,243242,178741
8,20181015,78283,105714,124941,133895,72070,86093,88872,75744,40387,72758,47346,74079,87600,39715,63964,42673,36373,34070,34463,16861,30858,15336,37023,61925,47242,67312,39031,44045,44309,22566,59916,21103,40261,33363,17277,38317,17462,15324,35231,9551,16327,6897,14651,12044,44122,53961,42608,40163,21896,29242,36314,33592,20854,14697,10529,23108,27963,17478,35112,12459,56643,17983,56655,110324,120380,25111,42440,26112,16402,34695,27286,57244,24465,39450,69454,46026,132999
9,20181016,149420,66680,20818,37946,13895,17120,11531,35033,16122,19807,52404,21713,9657,22982,32810,71063,51383,21571,90012,42020,46607,58505,18910,56060,51172,32658,25678,13787,18644,12386,19294,14723,15452,31163,10048,11527,22528,49859,24453,18023,62066,46735,12956,17956,56952,38419,21235,10107,19852,13574,8038,26145,108954,68730,21464,37029,28665,17772,38953,14561,31689,45178,13999,30892,18863,25668,18740,15277,72481,9036,49044,40997,55829,56461,140632,58887,31814
