날짜,종가,시가,고가,저가,변동 %
2023-10-25,1349.71 ,1344.13 ,1350.74 ,1344.04 ,0.00 
2023-10-24,1343.88 ,1343.69 ,1347.76 ,1340.23 ,0.00 
2023-10-23,1342.12 ,1350.34 ,1355.31 ,1342.70 ,-0.01 
2023-10-20,1349.08 ,1357.11 ,1359.78 ,1349.18 ,-0.01 
2023-10-19,1356.02 ,1355.48 ,1360.86 ,1352.65 ,0.00 
2023-10-18,1353.86 ,1353.55 ,1358.31 ,1347.54 ,0.00 
2023-10-17,1352.98 ,1348.25 ,1357.92 ,1347.13 ,0.00 
2023-10-16,1347.91 ,1353.08 ,1356.62 ,1347.69 ,0.00 
2023-10-13,1352.21 ,1349.40 ,1353.95 ,1347.19 ,0.00 
2023-10-12,1348.96 ,1339.54 ,1351.63 ,1335.28 ,0.01 
2023-10-11,1338.42 ,1342.62 ,1343.91 ,1337.07 ,0.00 
2023-10-10,1341.33 ,1347.67 ,1352.16 ,1341.92 ,0.00 
2023-10-09,1346.51 ,1344.51 ,1354.99 ,1344.17 ,0.00 
2023-10-06,1344.61 ,1346.34 ,1357.10 ,1342.78 ,0.00 
2023-10-05,1345.72 ,1352.55 ,1354.43 ,1344.94 ,0.00 
2023-10-04,1351.62 ,1362.05 ,1364.12 ,1350.01 ,-0.01 
2023-10-03,1361.08 ,1357.14 ,1363.75 ,1354.97 ,0.00 
2023-10-02,1355.84 ,1352.65 ,1359.72 ,1349.20 ,0.00 
2023-09-29,1352.31 ,1350.56 ,1353.68 ,1341.73 ,0.00 
2023-09-28,1349.56 ,1355.47 ,1357.75 ,1347.39 ,0.00 
2023-09-27,1354.54 ,1354.10 ,1360.16 ,1347.32 ,0.00 
2023-09-26,1352.93 ,1339.69 ,1354.97 ,1337.31 ,0.01 
2023-09-25,1338.01 ,1335.56 ,1341.47 ,1330.14 ,0.00 
2023-09-22,1334.03 ,1339.57 ,1341.81 ,1330.74 ,0.00 
2023-09-21,1339.00 ,1333.44 ,1344.65 ,1331.67 ,0.00 
2023-09-20,1332.92 ,1328.99 ,1335.94 ,1323.63 ,0.00 
2023-09-19,1328.62 ,1324.05 ,1329.47 ,1319.43 ,0.00 
2023-09-18,1323.57 ,1329.42 ,1330.06 ,1322.69 ,0.00 
2023-09-15,1328.46 ,1330.02 ,1330.83 ,1324.49 ,0.00 
2023-09-14,1329.52 ,1328.20 ,1331.11 ,1323.11 ,0.00 
2023-09-13,1326.59 ,1326.72 ,1332.05 ,1323.66 ,0.00 
2023-09-12,1326.15 ,1326.05 ,1329.44 ,1323.05 ,0.00 
2023-09-11,1325.49 ,1336.34 ,1336.44 ,1325.18 ,-0.01 
2023-09-08,1334.96 ,1334.78 ,1337.75 ,1331.49 ,0.00 
2023-09-07,1333.45 ,1334.53 ,1339.07 ,1330.48 ,0.00 
2023-09-06,1333.58 ,1329.95 ,1337.99 ,1328.42 ,0.00 
2023-09-05,1329.05 ,1318.41 ,1335.68 ,1316.81 ,0.01 
2023-09-04,1317.21 ,1318.45 ,1322.00 ,1315.59 ,0.00 
2023-09-01,1317.55 ,1325.46 ,1326.37 ,1311.88 ,-0.01 
2023-08-31,1325.14 ,1323.79 ,1326.86 ,1320.00 ,0.00 
2023-08-30,1323.49 ,1318.60 ,1326.22 ,1318.53 ,0.00 
2023-08-29,1318.06 ,1324.21 ,1329.14 ,1318.13 ,0.00 
2023-08-28,1323.81 ,1324.57 ,1327.77 ,1319.10 ,0.00 
2023-08-25,1323.53 ,1328.34 ,1330.61 ,1319.82 ,0.00 
2023-08-24,1327.35 ,1327.92 ,1330.24 ,1317.88 ,0.00 
2023-08-23,1326.42 ,1340.81 ,1342.31 ,1326.69 ,-0.01 
2023-08-22,1339.81 ,1340.04 ,1342.58 ,1334.09 ,0.00 
2023-08-21,1339.15 ,1340.17 ,1344.83 ,1338.05 ,0.00 
2023-08-18,1339.17 ,1339.76 ,1344.81 ,1332.44 ,0.00 
2023-08-17,1339.27 ,1341.94 ,1344.35 ,1334.99 ,0.00 
2023-08-16,1341.22 ,1336.87 ,1345.77 ,1334.01 ,0.00 
2023-08-15,1336.42 ,1337.94 ,1340.47 ,1332.55 ,0.00 
2023-08-14,1336.80 ,1330.60 ,1339.72 ,1327.69 ,0.00 
2023-08-11,1330.30 ,1318.14 ,1333.92 ,1316.17 ,0.01 
2023-08-10,1316.90 ,1313.10 ,1319.91 ,1308.18 ,0.00 
2023-08-09,1313.08 ,1317.02 ,1322.29 ,1309.70 ,0.00 
2023-08-08,1316.72 ,1307.93 ,1322.69 ,1305.20 ,0.01 
2023-08-07,1307.30 ,1304.29 ,1309.06 ,1298.80 ,0.00 
2023-08-04,1304.08 ,1299.93 ,1312.38 ,1296.82 ,0.00 
2023-08-03,1299.01 ,1299.47 ,1304.23 ,1294.55 ,0.00 
2023-08-02,1298.93 ,1289.40 ,1303.09 ,1286.94 ,0.01 
2023-08-01,1289.00 ,1278.28 ,1291.10 ,1274.88 ,0.01 
2023-07-31,1277.86 ,1273.33 ,1279.42 ,1269.82 ,0.00 
2023-07-28,1272.83 ,1284.17 ,1284.89 ,1273.28 ,-0.01 
2023-07-27,1283.78 ,1271.42 ,1284.94 ,1266.98 ,0.01 
2023-07-26,1270.80 ,1276.58 ,1282.78 ,1268.14 ,0.00 
2023-07-25,1276.18 ,1280.88 ,1285.61 ,1273.79 ,0.00 
2023-07-24,1280.45 ,1286.65 ,1288.98 ,1277.03 ,0.00 
2023-07-21,1286.19 ,1277.13 ,1290.69 ,1275.92 ,0.01 
2023-07-20,1276.53 ,1267.94 ,1280.30 ,1261.56 ,0.01 
2023-07-19,1266.94 ,1265.31 ,1269.46 ,1261.67 ,0.00 
2023-07-18,1264.95 ,1263.72 ,1267.55 ,1256.71 ,0.00 
2023-07-17,1263.17 ,1269.32 ,1271.08 ,1263.31 ,0.00 
2023-07-14,1268.31 ,1267.16 ,1271.49 ,1259.82 ,0.00 
2023-07-13,1266.73 ,1274.80 ,1280.03 ,1265.92 ,-0.01 
2023-07-12,1274.49 ,1291.87 ,1296.08 ,1273.70 ,-0.01 
2023-07-11,1291.47 ,1299.80 ,1302.00 ,1289.94 ,-0.01 
2023-07-10,1299.40 ,1299.10 ,1307.90 ,1298.25 ,0.00 
2023-07-07,1297.90 ,1309.46 ,1310.59 ,1295.96 ,-0.01 
2023-07-06,1309.11 ,1304.00 ,1314.69 ,1299.98 ,0.00 
2023-07-05,1303.59 ,1294.81 ,1306.51 ,1294.41 ,0.01 
2023-07-04,1294.35 ,1304.66 ,1308.34 ,1293.04 ,-0.01 
2023-07-03,1304.20 ,1316.97 ,1317.31 ,1302.69 ,-0.01 
2023-06-30,1315.11 ,1323.18 ,1324.54 ,1314.57 ,-0.01 
2023-06-29,1322.21 ,1309.31 ,1323.57 ,1305.18 ,0.01 
2023-06-28,1308.90 ,1299.48 ,1313.46 ,1297.30 ,0.01 
2023-06-27,1299.18 ,1305.42 ,1308.35 ,1295.35 ,0.00 
2023-06-26,1304.98 ,1308.74 ,1309.57 ,1300.82 ,0.00 
2023-06-23,1308.41 ,1298.59 ,1311.37 ,1296.25 ,0.01 
2023-06-22,1298.18 ,1288.74 ,1303.21 ,1286.10 ,0.01 
2023-06-21,1288.33 ,1288.74 ,1296.95 ,1285.94 ,0.00 
2023-06-20,1288.23 ,1283.26 ,1290.36 ,1277.99 ,0.00 
2023-06-19,1282.26 ,1277.24 ,1284.54 ,1276.40 ,0.00 
2023-06-16,1276.15 ,1270.40 ,1280.96 ,1268.08 ,0.00 
2023-06-15,1270.00 ,1274.39 ,1286.48 ,1269.80 ,0.00 
2023-06-14,1274.01 ,1268.02 ,1280.42 ,1265.75 ,0.01 
2023-06-13,1267.70 ,1284.86 ,1285.88 ,1267.07 ,-0.01 
2023-06-12,1284.54 ,1287.69 ,1294.65 ,1282.80 ,0.00 
2023-06-09,1287.32 ,1296.59 ,1298.65 ,1286.58 ,-0.01 
2023-06-08,1295.47 ,1308.66 ,1309.30 ,1296.15 ,-0.01 
2023-06-07,1308.26 ,1299.61 ,1309.44 ,1296.23 ,0.01 
2023-06-06,1299.19 ,1301.08 ,1304.31 ,1295.74 ,0.00 
2023-06-05,1300.78 ,1306.06 ,1311.02 ,1300.57 ,0.00 
2023-06-02,1305.92 ,1313.18 ,1314.48 ,1298.61 ,-0.01 
2023-06-01,1312.64 ,1322.33 ,1325.07 ,1312.41 ,-0.01 
