Date,WTI_MINMAX
2018-01-01,0.13 
2018-01-02,0.64 
2018-01-03,1.69 
2018-01-04,0.62 
2018-01-05,0.95 
2018-01-08,0.63 
2018-01-09,1.68 
2018-01-10,0.58 
2018-01-11,1.34 
2018-01-12,1.44 
2018-01-14,0.25 
2018-01-15,0.78 
2018-01-16,1.50 
2018-01-17,0.86 
2018-01-18,0.88 
2018-01-19,0.92 
2018-01-22,0.97 
2018-01-23,1.18 
2018-01-24,1.71 
2018-01-25,1.58 
2018-01-26,1.44 
2018-01-29,1.48 
2018-01-30,1.67 
2018-01-31,1.27 
2018-02-01,1.62 
2018-02-02,1.83 
2018-02-05,1.98 
2018-02-06,1.17 
2018-02-07,2.93 
2018-02-08,1.82 
2018-02-09,2.70 
2018-02-12,1.73 
2018-02-13,1.34 
2018-02-14,2.70 
2018-02-15,1.92 
2018-02-16,1.11 
2018-02-18,0.23 
2018-02-19,0.82 
2018-02-20,1.16 
2018-02-21,0.94 
2018-02-22,2.34 
2018-02-23,1.40 
2018-02-26,1.18 
2018-02-27,1.44 
2018-02-28,2.08 
2018-03-01,1.65 
2018-03-02,1.47 
2018-03-05,1.69 
2018-03-06,1.11 
2018-03-07,2.00 
2018-03-08,1.45 
2018-03-09,2.04 
2018-03-12,1.66 
2018-03-13,1.70 
2018-03-14,1.22 
2018-03-15,0.72 
2018-03-16,1.46 
2018-03-19,0.99 
2018-03-20,1.73 
2018-03-21,1.97 
2018-03-22,1.60 
2018-03-23,1.89 
2018-03-26,1.47 
2018-03-27,1.88 
2018-03-28,1.41 
2018-03-29,1.10 
2018-04-02,2.62 
2018-04-03,1.00 
2018-04-04,1.58 
2018-04-05,1.05 
2018-04-06,1.98 
2018-04-09,1.68 
2018-04-10,2.66 
2018-04-11,2.30 
2018-04-12,1.33 
2018-04-13,1.06 
2018-04-16,1.61 
2018-04-17,1.19 
2018-04-18,2.35 
2018-04-19,1.58 
2018-04-20,1.12 
2018-04-23,1.89 
2018-04-24,1.84 
2018-04-25,1.07 
2018-04-26,1.07 
2018-04-27,0.72 
2018-04-30,2.17 
2018-05-01,2.05 
2018-05-02,1.22 
2018-05-03,1.39 
2018-05-04,1.85 
2018-05-07,1.33 
2018-05-08,2.77 
2018-05-09,1.51 
2018-05-10,1.33 
2018-05-11,1.18 
2018-05-14,1.00 
2018-05-15,1.50 
2018-05-16,0.93 
2018-05-17,1.21 
2018-05-18,0.76 
2018-05-21,1.34 
