날짜,종가,시가,고가,저가,High_low,변동 %
2023-11-01,1986.85 ,1992.35 ,1992.85 ,1983.85 ,9.00 ,0.00 
2023-10-31,1994.30 ,2005.60 ,2017.70 ,1987.40 ,30.30 ,-0.01 
2023-10-30,2005.60 ,2013.50 ,2016.80 ,1999.70 ,17.10 ,0.01 
2023-10-27,1989.00 ,1987.50 ,2009.80 ,1978.50 ,31.30 ,0.00 
2023-10-26,1987.90 ,1981.60 ,1992.50 ,1974.40 ,18.10 ,0.00 
2023-10-25,1985.50 ,1972.00 ,1988.80 ,1971.00 ,17.80 ,0.00 
2023-10-24,1976.80 ,1975.10 ,1980.30 ,1958.30 ,22.00 ,0.00 
2023-10-23,1978.20 ,1977.90 ,1983.10 ,1963.60 ,19.50 ,-0.01 
2023-10-20,1994.40 ,1988.00 ,2009.20 ,1983.70 ,25.50 ,0.01 
2023-10-19,1980.50 ,1960.10 ,1990.20 ,1957.00 ,33.20 ,0.01 
2023-10-18,1968.30 ,1936.70 ,1975.80 ,1935.90 ,39.90 ,0.02 
2023-10-17,1935.70 ,1933.30 ,1944.50 ,1924.60 ,19.90 ,0.00 
2023-10-16,1934.30 ,1941.30 ,1943.00 ,1921.20 ,21.80 ,0.00 
2023-10-13,1941.50 ,1881.70 ,1946.20 ,1881.50 ,64.70 ,0.03 
2023-10-12,1883.00 ,1888.10 ,1898.30 ,1880.60 ,17.70 ,0.00 
2023-10-11,1887.30 ,1873.70 ,1890.90 ,1871.70 ,19.20 ,0.01 
2023-10-10,1875.30 ,1875.40 ,1879.10 ,1866.10 ,13.00 ,0.01 
2023-10-09,1864.30 ,1861.00 ,1877.30 ,1857.50 ,19.80 ,0.01 
2023-10-06,1845.20 ,1834.30 ,1849.00 ,1823.50 ,25.50 ,0.01 
2023-10-05,1831.80 ,1837.60 ,1843.50 ,1826.20 ,17.30 ,0.00 
2023-10-04,1834.80 ,1838.70 ,1846.80 ,1831.60 ,15.20 ,0.00 
2023-10-03,1841.50 ,1844.90 ,1849.30 ,1830.90 ,18.40 ,0.00 
2023-10-02,1847.20 ,1864.40 ,1864.70 ,1842.70 ,22.00 ,-0.01 
2023-09-29,1866.10 ,1882.30 ,1896.70 ,1862.30 ,34.40 ,-0.01 
2023-09-28,1878.60 ,1893.30 ,1896.80 ,1874.50 ,22.30 ,-0.01 
2023-09-27,1890.90 ,1918.80 ,1921.70 ,1890.30 ,31.40 ,-0.02 
2023-09-26,1919.80 ,1935.10 ,1935.50 ,1917.20 ,18.30 ,-0.01 
2023-09-25,1936.60 ,1944.70 ,1946.80 ,1933.80 ,13.00 ,0.00 
2023-09-22,1945.60 ,1939.60 ,1949.10 ,1939.60 ,9.50 ,0.00 
2023-09-21,1939.60 ,1952.00 ,1952.20 ,1933.10 ,19.10 ,-0.01 
2023-09-20,1967.10 ,1953.00 ,1968.90 ,1948.60 ,20.30 ,0.01 
2023-09-19,1953.70 ,1955.30 ,1958.90 ,1950.90 ,8.00 ,0.00 
2023-09-18,1953.40 ,1945.70 ,1955.70 ,1943.80 ,11.90 ,0.00 
2023-09-15,1946.20 ,1932.50 ,1952.40 ,1931.20 ,21.20 ,0.01 
2023-09-14,1932.80 ,1930.70 ,1934.50 ,1921.70 ,12.80 ,0.00 
2023-09-13,1932.50 ,1935.20 ,1938.40 ,1927.20 ,11.20 ,0.00 
2023-09-12,1935.10 ,1945.60 ,1947.50 ,1929.90 ,17.60 ,-0.01 
2023-09-11,1947.20 ,1943.30 ,1954.60 ,1939.50 ,15.10 ,0.00 
2023-09-08,1942.70 ,1943.80 ,1954.00 ,1940.80 ,13.20 ,0.00 
2023-09-07,1942.50 ,1942.20 ,1947.90 ,1940.30 ,7.60 ,0.00 
2023-09-06,1944.20 ,1951.50 ,1954.50 ,1940.00 ,14.50 ,0.00 
2023-09-05,1952.60 ,1966.70 ,1972.60 ,1950.60 ,22.00 ,-0.01 
2023-09-04,1963.25 ,1966.60 ,1972.55 ,1962.55 ,10.00 ,0.00 
2023-09-03,1966.65 ,1966.40 ,1967.05 ,1965.50 ,1.55 ,0.00 
2023-09-01,1967.10 ,1966.40 ,1980.20 ,1960.70 ,19.50 ,0.00 
2023-08-31,1965.90 ,1970.20 ,1974.90 ,1965.50 ,9.40 ,0.00 
2023-08-30,1973.00 ,1966.00 ,1977.10 ,1962.80 ,14.30 ,0.00 
2023-08-29,1965.10 ,1948.10 ,1966.50 ,1941.70 ,24.80 ,0.01 
2023-08-28,1946.80 ,1944.00 ,1954.20 ,1940.10 ,14.10 ,0.00 
2023-08-25,1939.90 ,1944.90 ,1950.40 ,1931.00 ,19.40 ,0.00 
2023-08-24,1947.10 ,1944.90 ,1951.30 ,1939.20 ,12.10 ,0.00 
2023-08-23,1948.10 ,1926.80 ,1949.70 ,1926.20 ,23.50 ,0.01 
2023-08-22,1926.00 ,1924.00 ,1933.20 ,1917.50 ,15.70 ,0.00 
2023-08-21,1923.00 ,1918.40 ,1927.90 ,1913.60 ,14.30 ,0.00 
2023-08-18,1916.50 ,1919.20 ,1926.00 ,1915.90 ,10.10 ,0.00 
2023-08-17,1915.20 ,1922.40 ,1933.50 ,1914.20 ,19.30 ,-0.01 
2023-08-16,1928.30 ,1933.10 ,1938.20 ,1922.00 ,16.20 ,0.00 
2023-08-15,1935.20 ,1939.40 ,1944.30 ,1927.50 ,16.80 ,0.00 
2023-08-14,1944.00 ,1945.60 ,1948.20 ,1934.20 ,14.00 ,0.00 
2023-08-11,1946.60 ,1944.90 ,1953.60 ,1942.70 ,10.90 ,0.00 
2023-08-10,1948.90 ,1947.70 ,1963.50 ,1944.40 ,19.10 ,0.00 
2023-08-09,1950.60 ,1959.30 ,1966.10 ,1947.20 ,18.90 ,0.00 
2023-08-08,1959.90 ,1971.50 ,1972.80 ,1956.50 ,16.30 ,-0.01 
2023-08-07,1970.00 ,1977.60 ,1981.70 ,1966.10 ,15.60 ,0.00 
2023-08-04,1976.10 ,1969.60 ,1984.20 ,1954.50 ,29.70 ,0.00 
2023-08-03,1968.80 ,1970.80 ,1974.50 ,1964.50 ,10.00 ,0.00 
2023-08-02,1975.00 ,1988.90 ,1992.20 ,1969.10 ,23.10 ,0.00 
2023-08-01,1978.80 ,2004.20 ,2004.40 ,1978.30 ,26.10 ,-0.02 
2023-07-31,2009.20 ,1997.90 ,2010.90 ,1986.70 ,24.20 ,0.00 
2023-07-28,1999.90 ,1985.30 ,2002.00 ,1983.90 ,18.10 ,0.02 
2023-07-27,1965.30 ,1991.80 ,2002.00 ,1961.40 ,40.60 ,-0.01 
2023-07-26,1989.70 ,1985.90 ,1999.30 ,1982.80 ,16.50 ,0.00 
2023-07-25,1983.10 ,1976.10 ,1986.20 ,1971.10 ,15.10 ,0.00 
2023-07-24,1981.60 ,1983.20 ,1988.70 ,1974.70 ,14.00 ,0.01 
2023-07-21,1966.60 ,1972.10 ,1975.90 ,1958.80 ,17.10 ,0.00 
2023-07-20,1970.90 ,1980.00 ,1989.80 ,1967.70 ,22.10 ,-0.01 
2023-07-19,1980.80 ,1982.50 ,1984.60 ,1973.30 ,11.30 ,0.00 
2023-07-18,1980.80 ,1958.30 ,1988.30 ,1958.10 ,30.20 ,0.01 
2023-07-17,1956.40 ,1958.60 ,1963.60 ,1949.00 ,14.60 ,0.00 
2023-07-14,1964.40 ,1965.20 ,1967.80 ,1954.70 ,13.10 ,0.00 
2023-07-13,1963.80 ,1962.70 ,1968.50 ,1956.60 ,11.90 ,0.00 
2023-07-12,1961.70 ,1938.00 ,1965.10 ,1937.50 ,27.60 ,0.01 
2023-07-11,1937.10 ,1930.80 ,1944.50 ,1929.80 ,14.70 ,0.00 
2023-07-10,1931.00 ,1930.70 ,1933.70 ,1918.00 ,15.70 ,0.00 
2023-07-07,1932.50 ,1916.60 ,1941.10 ,1915.40 ,25.70 ,0.01 
2023-07-06,1915.40 ,1922.40 ,1934.00 ,1908.50 ,25.50 ,-0.01 
2023-07-05,1927.10 ,1929.10 ,1942.90 ,1922.10 ,20.80 ,0.00 
2023-07-04,1933.95 ,1928.85 ,1938.05 ,1927.75 ,10.30 ,0.00 
2023-07-03,1929.50 ,1927.80 ,1939.90 ,1917.70 ,22.20 ,0.00 
2023-06-30,1929.40 ,1916.40 ,1930.80 ,1908.10 ,22.70 ,0.01 
2023-06-29,1917.90 ,1916.50 ,1921.30 ,1900.60 ,20.70 ,0.00 
2023-06-28,1913.40 ,1915.20 ,1916.70 ,1903.60 ,13.10 ,0.00 
2023-06-27,1915.10 ,1927.40 ,1930.20 ,1912.30 ,17.90 ,-0.01 
2023-06-26,1925.10 ,1926.40 ,1934.50 ,1923.00 ,11.50 ,0.00 
2023-06-23,1921.00 ,1915.00 ,1939.30 ,1911.30 ,28.00 ,0.00 
2023-06-22,1915.00 ,1935.90 ,1935.90 ,1914.00 ,21.90 ,-0.01 
2023-06-21,1936.10 ,1939.50 ,1940.70 ,1922.20 ,18.50 ,0.00 
2023-06-20,1938.90 ,1961.70 ,1961.70 ,1932.40 ,29.30 ,-0.01 
2023-06-19,1964.05 ,1969.55 ,1970.85 ,1959.90 ,10.95 ,0.00 
2023-06-18,1969.45 ,1970.85 ,1971.70 ,1968.65 ,3.05 ,0.00 
2023-06-16,1962.20 ,1961.30 ,1970.60 ,1956.70 ,13.90 ,0.00 
2023-06-15,1961.80 ,1948.80 ,1963.70 ,1929.60 ,34.10 ,0.00 
