Date,Price,Open,High,Low,High-low,Change %
11/01/2023,558.30 ,556.88 ,559.30 ,554.75 ,4.55 ,0.00 
10/31/2023,556.25 ,568.25 ,568.50 ,554.50 ,14.00 ,(0.02)
10/30/2023,566.00 ,576.00 ,577.00 ,565.25 ,11.75 ,(0.02)
10/27/2023,575.50 ,580.25 ,582.50 ,571.00 ,11.50 ,(0.01)
10/26/2023,579.50 ,569.25 ,580.50 ,563.25 ,17.25 ,0.02 
10/25/2023,568.50 ,580.00 ,586.25 ,567.00 ,19.25 ,(0.02)
10/24/2023,580.50 ,587.75 ,588.00 ,572.75 ,15.25 ,(0.01)
10/23/2023,587.25 ,586.50 ,595.25 ,582.00 ,13.25 ,0.00 
10/20/2023,586.00 ,594.00 ,604.50 ,583.25 ,21.25 ,(0.01)
10/19/2023,594.00 ,579.75 ,594.50 ,576.50 ,18.00 ,0.02 
10/18/2023,580.25 ,572.50 ,584.00 ,571.25 ,12.75 ,0.02 
10/17/2023,570.50 ,577.00 ,582.25 ,568.50 ,13.75 ,(0.01)
10/16/2023,577.25 ,580.00 ,588.50 ,575.25 ,13.25 ,(0.00)
10/13/2023,579.75 ,572.00 ,586.25 ,569.50 ,16.75 ,0.01 
10/12/2023,571.50 ,557.25 ,574.50 ,547.25 ,27.25 ,0.03 
10/11/2023,556.00 ,559.00 ,560.75 ,551.00 ,9.75 ,(0.00)
10/10/2023,558.50 ,573.75 ,574.75 ,555.50 ,19.25 ,(0.02)
10/09/2023,572.75 ,573.25 ,581.50 ,570.00 ,11.50 ,0.01 
10/06/2023,568.25 ,576.00 ,580.25 ,566.50 ,13.75 ,(0.02)
10/05/2023,578.25 ,559.75 ,580.25 ,559.00 ,21.25 ,0.03 
10/04/2023,560.00 ,567.50 ,569.75 ,551.75 ,18.00 ,(0.02)
10/03/2023,568.50 ,568.25 ,575.00 ,562.75 ,12.25 ,0.01 
10/02/2023,564.75 ,545.00 ,567.00 ,541.25 ,25.75 ,0.04 
09/29/2023,541.50 ,579.50 ,585.50 ,540.00 ,45.50 ,(0.06)
09/28/2023,578.75 ,580.50 ,583.50 ,575.25 ,8.25 ,(0.00)
09/27/2023,579.50 ,589.25 ,594.50 ,578.50 ,16.00 ,(0.02)
09/26/2023,589.00 ,589.00 ,596.75 ,583.25 ,13.50 ,0.00 
09/25/2023,589.00 ,577.00 ,590.00 ,573.75 ,16.25 ,0.02 
09/22/2023,579.50 ,576.50 ,582.50 ,572.75 ,9.75 ,0.01 
09/21/2023,575.75 ,589.00 ,590.25 ,575.00 ,15.25 ,(0.02)
09/20/2023,588.75 ,585.25 ,596.25 ,581.50 ,14.75 ,0.01 
09/19/2023,584.00 ,588.00 ,592.75 ,581.00 ,11.75 ,(0.01)
09/18/2023,591.25 ,604.00 ,604.25 ,587.00 ,17.25 ,(0.02)
09/15/2023,604.25 ,594.25 ,607.50 ,591.75 ,15.75 ,0.06 
09/14/2023,567.50 ,595.50 ,597.75 ,583.50 ,14.25 ,(0.00)
09/13/2023,569.00 ,562.50 ,565.50 ,562.50 ,3.00 ,0.02 
09/12/2023,560.25 ,557.25 ,557.25 ,548.00 ,9.25 ,0.01 
09/11/2023,556.00 ,561.50 ,561.50 ,558.00 ,3.50 ,(0.02)
09/08/2023,567.25 ,600.00 ,602.75 ,590.50 ,12.25 ,(0.01)
09/07/2023,571.50 ,578.25 ,585.00 ,578.25 ,6.75 ,(0.02)
09/06/2023,581.00 ,577.50 ,587.00 ,576.50 ,10.50 ,0.01 
09/05/2023,572.50 ,569.25 ,575.00 ,567.00 ,8.00 ,0.01 
