,date,KODEX_return
0,2002-10-14,68.0
1,2002-10-15,68.0
2,2002-10-16,6.0
3,2002-10-17,150.0
4,2002-10-18,-20.0
5,2002-10-21,102.0
6,2002-10-22,0.0
7,2002-10-23,28.0
8,2002-10-24,-68.0
9,2002-10-25,96.0
10,2002-10-28,-41.0
11,2002-10-29,-7.0
12,2002-10-30,47.0
13,2002-10-31,0.0
14,2002-11-01,69.0
15,2002-11-04,27.0
16,2002-11-05,55.0
17,2002-11-06,-21.0
18,2002-11-07,-89.0
19,2002-11-08,-34.0
20,2002-11-11,-109.0
21,2002-11-12,27.0
22,2002-11-13,-14.0
23,2002-11-14,109.0
24,2002-11-15,7.0
25,2002-11-18,-28.0
26,2002-11-19,0.0
27,2002-11-20,89.0
28,2002-11-21,116.0
29,2002-11-22,40.0
30,2002-11-25,20.0
31,2002-11-26,-48.0
32,2002-11-27,130.0
33,2002-11-28,-7.0
34,2002-11-29,13.0
35,2002-12-02,0.0
36,2002-12-03,-89.0
37,2002-12-04,-14.0
38,2002-12-05,-34.0
39,2002-12-06,-20.0
40,2002-12-09,-75.0
41,2002-12-10,27.0
42,2002-12-11,34.0
43,2002-12-12,0.0
44,2002-12-13,-82.0
45,2002-12-16,95.0
46,2002-12-17,-75.0
47,2002-12-18,-27.0
48,2002-12-20,-7.0
49,2002-12-23,-34.0
50,2002-12-24,-14.0
51,2002-12-26,-82.0
52,2002-12-27,-48.0
53,2002-12-30,81.0
54,2003-01-02,150.0
55,2003-01-03,-28.0
56,2003-01-06,123.0
57,2003-01-07,34.0
58,2003-01-08,-34.0
59,2003-01-09,61.0
60,2003-01-10,0.0
61,2003-01-13,-13.0
62,2003-01-14,48.0
63,2003-01-15,-48.0
64,2003-01-16,-61.0
65,2003-01-17,-109.0
66,2003-01-20,0.0
67,2003-01-21,-34.0
68,2003-01-22,0.0
69,2003-01-23,14.0
70,2003-01-24,-81.0
71,2003-01-27,-40.0
72,2003-01-28,20.0
73,2003-01-29,27.0
74,2003-01-30,13.0
75,2003-02-03,28.0
76,2003-02-04,-34.0
77,2003-02-05,0.0
78,2003-02-06,-20.0
79,2003-02-07,-34.0
80,2003-02-10,7.0
81,2003-02-11,-54.0
82,2003-02-12,7.0
83,2003-02-13,-14.0
84,2003-02-14,109.0
85,2003-02-17,27.0
86,2003-02-18,54.0
87,2003-02-19,-21.0
88,2003-02-20,0.0
89,2003-02-21,27.0
90,2003-02-24,-89.0
91,2003-02-25,20.0
92,2003-02-26,-34.0
93,2003-02-27,7.0
94,2003-02-28,14.0
95,2003-03-03,-61.0
96,2003-03-04,-48.0
97,2003-03-05,34.0
98,2003-03-06,-54.0
99,2003-03-07,-21.0
100,2003-03-10,-48.0
101,2003-03-11,-21.0
102,2003-03-12,14.0
103,2003-03-13,212.0
104,2003-03-14,-27.0
105,2003-03-17,163.0
106,2003-03-18,7.0
107,2003-03-19,55.0
108,2003-03-20,21.0
109,2003-03-21,47.0
110,2003-03-24,-164.0
111,2003-03-25,48.0
112,2003-03-26,-28.0
113,2003-03-27,7.0
114,2003-03-28,-95.0
115,2003-03-31,-21.0
116,2003-04-01,34.0
117,2003-04-02,96.0
118,2003-04-03,-48.0
119,2003-04-04,116.0
120,2003-04-07,-75.0
121,2003-04-08,-48.0
122,2003-04-09,-14.0
123,2003-04-10,7.0
124,2003-04-11,69.0
125,2003-04-14,82.0
126,2003-04-15,82.0
127,2003-04-16,-55.0
128,2003-04-17,82.0
129,2003-04-18,-41.0
130,2003-04-21,-47.0
131,2003-04-22,41.0
132,2003-04-23,0.0
133,2003-04-24,-103.0
134,2003-04-25,-61.0
135,2003-04-28,148.0
136,2003-04-29,7.0
137,2003-04-30,7.0
138,2003-05-02,49.0
139,2003-05-06,63.0
140,2003-05-07,-50.0
141,2003-05-09,105.0
142,2003-05-12,21.0
143,2003-05-13,-22.0
144,2003-05-14,28.0
145,2003-05-15,-28.0
146,2003-05-16,-49.0
147,2003-05-19,-63.0
148,2003-05-20,-7.0
149,2003-05-21,-14.0
150,2003-05-22,70.0
151,2003-05-23,-35.0
152,2003-05-26,7.0
153,2003-05-27,120.0
154,2003-05-28,-35.0
155,2003-05-29,7.0
156,2003-05-30,91.0
157,2003-06-02,-49.0
158,2003-06-03,49.0
159,2003-06-04,57.0
160,2003-06-05,-28.0
161,2003-06-09,-42.0
162,2003-06-10,42.0
163,2003-06-11,84.0
164,2003-06-12,49.0
165,2003-06-13,-21.0
166,2003-06-16,127.0
167,2003-06-17,-14.0
168,2003-06-18,28.0
169,2003-06-19,-49.0
170,2003-06-20,-7.0
171,2003-06-23,-92.0
172,2003-06-24,28.0
173,2003-06-25,-42.0
174,2003-06-26,77.0
175,2003-06-27,-21.0
176,2003-06-30,-36.0
177,2003-07-01,49.0
178,2003-07-02,91.0
179,2003-07-03,-7.0
180,2003-07-04,57.0
181,2003-07-07,70.0
182,2003-07-08,-7.0
183,2003-07-09,-28.0
184,2003-07-10,-77.0
185,2003-07-11,28.0
186,2003-07-14,14.0
187,2003-07-15,42.0
188,2003-07-16,-98.0
189,2003-07-18,28.0
190,2003-07-21,-7.0
191,2003-07-22,28.0
192,2003-07-23,-22.0
193,2003-07-24,-70.0
194,2003-07-25,42.0
195,2003-07-28,7.0
196,2003-07-29,-29.0
197,2003-07-30,-14.0
198,2003-07-31,28.0
199,2003-08-01,-56.0
200,2003-08-04,14.0
201,2003-08-05,-64.0
202,2003-08-06,-14.0
203,2003-08-07,21.0
204,2003-08-08,-21.0
205,2003-08-11,28.0
206,2003-08-12,56.0
207,2003-08-13,-7.0
208,2003-08-14,28.0
209,2003-08-18,112.0
210,2003-08-19,-7.0
211,2003-08-20,21.0
212,2003-08-21,-7.0
213,2003-08-22,-7.0
214,2003-08-25,-14.0
