,날짜,SP_500_MINMAX
0,2023- 10- 31,42
1,2023- 10- 30,45
2,2023- 10- 27,53
3,2023- 10- 26,56
4,2023- 10- 25,51
5,2023- 10- 24,40
6,2023- 10- 23,66
7,2023- 10- 20,53
8,2023- 10- 19,70
9,2023- 10- 18,61
10,2023- 10- 17,56
11,2023- 10- 16,41
12,2023- 10- 13,66
13,2023- 10- 12,60
14,2023- 10- 11,33
15,2023- 10- 10,46
16,2023- 10- 09,58
17,2023- 10- 06,105
18,2023- 10- 05,42
19,2023- 10- 04,48
20,2023- 10- 03,65
21,2023- 10- 02,40
22,2023- 09- 29,59
23,2023- 09- 28,53
24,2023- 09- 27,54
25,2023- 09- 26,48
26,2023- 09- 25,36
27,2023- 09- 22,41
28,2023- 09- 21,46
29,2023- 09- 20,60
30,2023- 09- 19,33
31,2023- 09- 18,24
32,2023- 09- 15,50
33,2023- 09- 14,33
34,2023- 09- 13,26
35,2023- 09- 12,31
36,2023- 09- 11,23
37,2023- 09- 08,25
38,2023- 09- 07,27
39,2023- 09- 06,48
40,2023- 09- 05,18
41,2023- 09- 01,40
42,2023- 08- 31,25
43,2023- 08- 30,28
44,2023- 08- 29,69
45,2023- 08- 28,25
46,2023- 08- 25,62
47,2023- 08- 24,83
48,2023- 08- 23,47
49,2023- 08- 22,36
50,2023- 08- 21,47
51,2023- 08- 18,46
52,2023- 08- 17,57
53,2023- 08- 16,46
54,2023- 08- 15,46
55,2023- 08- 14,37
56,2023- 08- 11,33
57,2023- 08- 10,70
58,2023- 08- 09,41
59,2023- 08- 08,39
60,2023- 08- 07,28
61,2023- 08- 04,66
62,2023- 08- 03,34
63,2023- 08- 02,45
64,2023- 08- 01,17
65,2023- 07- 31,21
66,2023- 07- 28,26
67,2023- 07- 27,79
68,2023- 07- 26,35
69,2023- 07- 25,28
70,2023- 07- 24,22
71,2023- 07- 21,20
72,2023- 07- 20,37
73,2023- 07- 19,21
74,2023- 07- 18,48
75,2023- 07- 17,28
76,2023- 07- 14,28
77,2023- 07- 13,28
78,2023- 07- 12,25
79,2023- 07- 11,35
80,2023- 07- 10,23
81,2023- 07- 07,43
82,2023- 07- 06,37
83,2023- 07- 05,18
84,2023- 07- 03,14
85,2023- 06- 30,36
86,2023- 06- 29,27
87,2023- 06- 28,30
88,2023- 06- 27,49
89,2023- 06- 26,34
90,2023- 06- 23,25
91,2023- 06- 22,31
92,2023- 06- 21,26
93,2023- 06- 20,33
94,2023- 06- 16,41
95,2023- 06- 15,77
96,2023- 06- 14,54
97,2023- 06- 13,26
98,2023- 06- 12,36
99,2023- 06- 09,31
100,2023- 06- 08,37
101,2023- 06- 07,36
102,2023- 06- 06,25
