,date,y_minmax
0,20181001,81
77,20181002,54
154,20181004,112
231,20181005,76
308,20181008,77
385,20181010,63
462,20181011,135
539,20181012,130
616,20181015,135
693,20181016,95
770,20181017,50
847,20181018,99
924,20181019,45
1001,20181022,54
1078,20181023,54
1155,20181024,81
1232,20181025,184
1309,20181026,139
1386,20181029,149
1463,20181030,181
1540,20181031,113
1617,20181101,113
1694,20181102,108
1771,20181105,167
1848,20181106,113
1925,20181107,55
2002,20181108,86
2079,20181109,72
2156,20181112,63
2233,20181113,122
2310,20181114,58
2464,20181116,103
2541,20181119,112
2618,20181120,90
2695,20181121,63
2772,20181122,41
2849,20181123,67
2926,20181126,122
3003,20181127,85
3080,20181128,76
3157,20181129,50
3234,20181130,72
3311,20181203,95
3388,20181204,72
3465,20181205,77
3542,20181206,68
3619,20181207,63
3696,20181210,86
3773,20181211,99
3850,20181212,63
3927,20181213,64
4004,20181214,40
4081,20181217,54
4158,20181218,63
4235,20181219,45
4312,20181220,100
4389,20181221,67
4466,20181224,104
4543,20181226,104
4620,20181227,118
4697,20181228,126
4839,20190103,126
4916,20190104,95
4993,20190107,59
5070,20190108,54
5147,20190109,58
5224,20190110,45
5301,20190111,41
5378,20190114,45
5455,20190115,27
5532,20190116,41
5609,20190117,72
5686,20190118,68
5763,20190121,104
5840,20190122,63
5917,20190123,50
5994,20190124,76
6071,20190125,77
6148,20190128,63
6225,20190129,45
6302,20190130,45
6379,20190131,68
6456,20190201,73
6533,20190207,99
6610,20190208,76
6687,20190211,54
6764,20190212,59
6841,20190213,40
6918,20190214,36
6995,20190215,76
7072,20190218,81
7149,20190219,109
7226,20190220,63
7303,20190221,68
7380,20190222,55
7457,20190225,100
7534,20190226,45
7611,20190227,45
7688,20190228,117
7765,20190304,85
7842,20190305,86
7919,20190306,81
7996,20190307,59
8073,20190308,41
8150,20190311,72
8227,20190312,54
8304,20190313,50
8381,20190314,55
8458,20190315,127
8535,20190318,67
8612,20190319,94
8689,20190320,41
8766,20190321,153
8843,20190322,54
8920,20190325,68
8997,20190326,41
9074,20190327,85
9151,20190328,40
9228,20190329,113
9305,20190401,135
9382,20190402,59
9459,20190403,49
9536,20190404,41
9613,20190405,113
9690,20190408,50
9767,20190409,68
9844,20190410,45
9921,20190411,45
9998,20190412,55
10075,20190415,113
10152,20190416,59
10229,20190417,63
10306,20190418,45
10383,20190419,50
10460,20190422,45
10537,20190423,99
10614,20190424,63
10691,20190425,54
10768,20190426,117
10845,20190429,96
10922,20190430,51
10999,20190502,101
11076,20190503,69
11153,20190507,105
11230,20190508,73
11307,20190509,64
11384,20190510,124
11461,20190513,101
11538,20190514,92
11615,20190515,161
11692,20190516,69
11769,20190517,97
