,date,y_minmax_1000
0,20181001,229
1,20181002,90
2,20181004,270
3,20181005,185
4,20181008,126
5,20181010,211
6,20181011,167
7,20181012,176
8,20181015,158
9,20181016,180
10,20181017,198
11,20181018,135
12,20181019,176
13,20181022,90
14,20181023,225
15,20181024,113
16,20181025,198
17,20181026,243
18,20181029,198
19,20181030,307
20,20181031,185
21,20181101,189
22,20181102,248
23,20181105,334
24,20181106,253
25,20181107,280
26,20181108,154
27,20181109,126
28,20181112,221
29,20181113,244
30,20181114,135
31,20181116,153
32,20181119,226
33,20181120,149
34,20181121,99
35,20181122,112
36,20181123,121
37,20181126,140
38,20181127,121
39,20181128,121
40,20181129,203
41,20181130,126
42,20181203,221
43,20181204,145
44,20181205,131
45,20181206,104
46,20181207,95
47,20181210,135
48,20181211,194
49,20181212,194
50,20181213,117
51,20181214,302
52,20181217,104
53,20181218,171
54,20181219,108
55,20181220,212
56,20181221,144
57,20181224,108
58,20181226,190
59,20181227,145
60,20181228,144
61,20190103,149
62,20190104,140
63,20190107,230
64,20190108,108
65,20190109,221
66,20190110,148
67,20190111,154
68,20190114,50
69,20190115,252
70,20190116,86
71,20190117,113
72,20190118,117
73,20190121,167
74,20190122,181
75,20190123,135
76,20190124,171
77,20190125,203
78,20190128,103
79,20190129,154
80,20190130,95
81,20190131,217
82,20190201,109
83,20190207,208
84,20190208,135
85,20190211,72
86,20190212,226
87,20190213,99
88,20190214,145
89,20190215,135
90,20190218,95
91,20190219,231
92,20190220,77
93,20190221,149
94,20190222,95
95,20190225,167
96,20190226,72
97,20190227,104
98,20190228,198
99,20190304,154
100,20190305,113
101,20190306,86
102,20190307,127
103,20190308,145
104,20190311,176
105,20190312,135
106,20190313,81
107,20190314,154
108,20190315,248
109,20190318,94
110,20190319,162
111,20190320,176
112,20190321,338
113,20190322,99
114,20190325,140
115,20190326,109
116,20190327,194
117,20190328,113
118,20190329,154
119,20190401,189
120,20190402,113
121,20190403,185
122,20190404,117
123,20190405,144
124,20190408,158
125,20190409,100
126,20190410,72
127,20190411,90
128,20190412,131
129,20190415,126
130,20190416,109
131,20190417,109
132,20190418,122
133,20190419,91
134,20190422,190
135,20190423,113
136,20190424,176
137,20190425,144
138,20190426,126
139,20190429,119
140,20190430,147
141,20190502,266
142,20190503,119
143,20190507,257
144,20190508,165
145,20190509,174
146,20190510,257
147,20190513,197
148,20190514,184
149,20190515,197
150,20190516,193
151,20190517,138
152,20190520,193
153,20190521,230
154,20190522,303
155,20190523,156
156,20190524,152
157,20190527,239
158,20190528,120
159,20190529,335
160,20190530,183
161,20190531,156
162,20190603,307
163,20190604,138
164,20190605,137
165,20190607,193
166,20190610,151
167,20190611,156
168,20190612,124
169,20190613,137
170,20190614,216
171,20190617,133
172,20190618,161
173,20190619,124
174,20190620,82
175,20190621,105
176,20190624,83
177,20190625,120
178,20190626,78
179,20190627,97
180,20190628,64
181,20190701,270
182,20190702,225
183,20190703,170
184,20190704,105
185,20190705,91
186,20190708,202
187,20190709,92
188,20190710,124
189,20190711,188
190,20190712,120
191,20190715,92
192,20190716,206
193,20190717,156
194,20190718,101
195,20190719,83
196,20190722,120
197,20190723,143
198,20190724,87
199,20190725,151
200,20190726,83
201,20190729,234
202,20190730,102
203,20190731,152
204,20190801,124
205,20190802,133
206,20190805,455
207,20190806,335
208,20190807,179
209,20190808,193
210,20190809,105
211,20190812,133
212,20190813,110
213,20190814,137
214,20190816,160
215,20190819,101
216,20190820,74
217,20190821,56
218,20190822,129
219,20190823,78
220,20190826,134
221,20190827,161
222,20190828,78
223,20190829,110
224,20190830,193
225,20190902,60
226,20190903,110
227,20190904,143
228,20190905,207
229,20190906,124
230,20190909,198
231,20190910,96
232,20190911,147
233,20190916,206
234,20190917,97
235,20190918,92
236,20190919,303
237,20190920,92
238,20190923,115
239,20190924,119
240,20190925,148
241,20190926,74
242,20190927,134
243,20190930,138
244,20191001,183
245,20191002,101
246,20191004,166
247,20191007,197
248,20191008,202
249,20191010,321
250,20191011,175
251,20191014,133
252,20191015,110
253,20191016,152
254,20191017,74
255,20191018,64
256,20191021,124
257,20191022,124
258,20191023,101
259,20191024,166
260,20191025,115
261,20191028,138
262,20191029,111
263,20191030,198
264,20191031,143
265,20191101,120
266,20191104,138
267,20191105,69
268,20191106,199
269,20191107,92
270,20191108,129
271,20191111,152
272,20191112,93
273,20191113,161
274,20191115,281
275,20191118,102
276,20191119,221
277,20191120,143
278,20191121,318
279,20191122,120
280,20191125,212
281,20191126,147
282,20191127,271
283,20191128,152
284,20191129,286
285,20191202,119
286,20191203,139
287,20191204,87
288,20191205,111
289,20191206,175
290,20191209,111
291,20191210,115
292,20191211,147
293,20191212,180
294,20191213,115
295,20191216,106
296,20191217,83
297,20191218,217
298,20191219,102
299,20191220,143
300,20191223,152
301,20191224,110
302,20191226,166
303,20191227,221
304,20191230,101
305,20200103,166
306,20200106,138
307,20200107,263
308,20200108,166
309,20200109,101
310,20200110,170
311,20200113,166
312,20200114,179
313,20200115,147
314,20200116,83
315,20200117,236
316,20200120,120
317,20200121,111
318,20200122,212
319,20200123,203
320,20200128,244
321,20200129,166
322,20200130,254
323,20200131,189
324,20200203,147
325,20200204,245
326,20200205,240
327,20200206,144
328,20200207,268
329,20200210,194
330,20200211,217
331,20200212,231
332,20200213,203
333,20200214,226
334,20200217,138
335,20200218,166
336,20200219,231
337,20200220,162
338,20200221,314
339,20200224,281
340,20200225,250
341,20200226,259
342,20200227,240
343,20200228,323
344,20200302,373
345,20200303,194
346,20200304,577
347,20200305,304
348,20200306,190
349,20200309,213
350,20200310,355
351,20200311,272
352,20200312,254
353,20200313,757
354,20200316,965
355,20200317,563
356,20200318,420
357,20200319,1168
358,20200320,716
359,20200323,494
360,20200324,531
361,20200325,711
362,20200326,1075
363,20200327,406
364,20200330,328
365,20200331,309
366,20200401,305
367,20200402,434
368,20200403,263
369,20200406,406
370,20200407,457
371,20200408,245
372,20200409,125
373,20200410,231
374,20200413,203
375,20200414,120
376,20200416,304
377,20200417,281
378,20200420,217
379,20200421,222
380,20200422,235
381,20200423,194
382,20200424,180
383,20200427,207
384,20200428,197
385,20200429,197
386,20200504,315
387,20200506,315
388,20200507,98
389,20200508,216
390,20200511,239
391,20200512,413
392,20200513,221
393,20200514,131
394,20200515,239
395,20200518,193
396,20200519,112
397,20200520,160
398,20200521,108
399,20200522,179
400,20200525,108
401,20200526,244
402,20200527,235
403,20200528,183
404,20200529,169
405,20200601,244
406,20200602,244
407,20200603,450
408,20200604,404
409,20200605,244
410,20200608,526
411,20200609,286
412,20200610,202
413,20200611,178
414,20200612,436
415,20200615,230
416,20200616,338
417,20200617,460
418,20200618,193
419,20200619,587
420,20200622,211
421,20200623,240
422,20200624,441
423,20200625,258
424,20200626,197
425,20200629,259
426,20200630,146
427,20200701,136
428,20200702,146
429,20200703,202
430,20200706,122
431,20200707,165
432,20200708,220
433,20200709,159
434,20200710,291
435,20200713,188
436,20200714,117
437,20200715,206
438,20200716,122
439,20200717,193
440,20200720,192
441,20200721,117
442,20200722,141
443,20200723,248
444,20200724,277
445,20200727,342
446,20200728,342
447,20200729,352
448,20200730,169
449,20200731,404
450,20200803,221
451,20200804,282
452,20200805,169
453,20200806,484
454,20200807,198
455,20200810,296
456,20200811,225
457,20200812,413
458,20200813,240
459,20200814,391
460,20200818,306
461,20200819,315
462,20200820,272
463,20200821,409
464,20200824,380
465,20200825,193
466,20200826,315
467,20200827,202
468,20200828,165
469,20200831,226
470,20200901,329
471,20200902,197
472,20200903,250
473,20200904,315
474,20200907,325
475,20200908,221
476,20200909,155
477,20200910,123
478,20200911,221
