date,krx_diff,PER,GOLD_RETURN,SP_500_RETURN,VIX_RETURN,USA_10Y,kodex_volume,kodex_open,KODEX_return
2023-10-25,-1.94,16.06,13.5,-46,0.8000000000000007,4.961,3758074,31920.0,-485.0
2023-10-24,2.93,16.16,1.7000000000000457,12,-1.0600000000000025,4.819,5387775,31905.0,90.0
2023-10-23,-2.46,16.01,0.2999999999999545,7,-1.4599999999999973,4.848,3815317,32175.0,150.0
2023-10-20,-4.8,16.14,6.400000000000091,-49,0.120000000000001,4.914,5747441,32635.0,-35.0
2023-10-19,-6.06,16.38,20.40000000000009,-43,1.6699999999999982,4.99,5179844,32835.0,-255.0
2023-10-18,1.47,16.69,31.59999999999991,-43,0.8599999999999994,4.911,5119785,32750.0,-425.0
2023-10-17,4.06,16.62,2.400000000000091,28,0.4699999999999988,4.836,4094158,32610.0,-85.0
2023-10-16,-2.48,16.41,-7.0,31,-1.8900000000000008,4.7,4402616,32755.0,230.0
2023-10-13,-3.08,16.54,59.79999999999996,-33,2.789999999999999,4.616,3346991,32865.0,-160.0
2023-10-12,4.11,16.69,-5.099999999999909,-31,0.610000000000003,4.697,6337428,32595.0,-305.0
2023-10-11,5.63,16.48,13.599999999999907,10,-0.8599999999999994,4.558,6209888,32405.0,175.0
2023-10-10,0.17,16.19,-0.1000000000001364,19,-0.6699999999999982,4.657,5059978,32060.0,445.0
2023-10-06,0.36,16.18,10.900000000000093,74,-1.2800000000000011,4.795,5530666,32235.0,330.0
2023-10-05,-0.87,16.16,-5.7999999999999545,-1,-0.1800000000000032,4.721,8742454,32480.0,45.0
2023-10-04,-7.26,16.21,-3.900000000000091,30,-2.140000000000001,4.735,12823224,32620.0,230.0
2023-09-27,-0.19,16.57,-27.899999999999864,-8,-0.0700000000000002,4.608,11126321,33230.0,-395.0
2023-09-26,-4.68,16.58,-15.299999999999956,-39,0.91,4.55,8274671,33105.0,-175.0
2023-09-25,-0.44,16.82,-8.100000000000136,27,-0.3500000000000014,4.531,5527636,33005.0,0.0
2023-09-22,-1.02,16.84,6.0,-21,-0.1099999999999994,4.438,7803331,33715.0,-95.0
2023-09-21,-5.71,16.89,-12.400000000000093,-44,2.049999999999999,4.494,8451806,33900.0,-315.0
2023-09-20,-0.07,17.18,14.099999999999907,-50,0.9600000000000009,4.399,4933163,34250.0,-200.0
2023-09-19,-1.85,17.18,-1.599999999999909,-2,0.0,4.365,5277235,34325.0,-20.0
2023-09-18,-4.31,13.91,7.700000000000045,8,-0.4000000000000003,4.303,4430765,34190.0,70.0
2023-09-15,3.79,14.09,13.700000000000044,-47,1.09,4.336,10140955,33770.0,-270.0
2023-09-14,5.2,13.93,2.099999999999909,18,-0.5700000000000003,4.286,3539713,33650.0,40.0
2023-09-13,0.45,13.72,-2.700000000000045,5,-0.9399999999999996,4.254,4489610,33940.0,95.0
2023-09-12,-2.04,13.7,-10.5,-12,0.2100000000000008,4.28,4650274,33745.0,0.0
2023-09-11,1.18,13.79,3.900000000000091,7,-0.3699999999999992,4.294,4173679,33725.0,115.0
2023-09-08,-0.34,13.74,-1.099999999999909,6,-0.3800000000000008,4.26,4100271,33755.0,15.0
2023-09-07,-1.11,13.75,0.2999999999999545,17,-0.4100000000000001,4.25,3837258,34025.0,45.0
2023-09-06,-2.44,13.8,-7.299999999999954,-25,0.1799999999999997,4.296,3958831,34040.0,-95.0
2023-09-05,-0.73,13.9,-14.100000000000136,-14,-0.1400000000000005,4.266,3559458,33485.0,-65.0
2023-09-01,3.53,13.82,0.6999999999998181,-15,-0.4700000000000006,4.181,7052806,33630.0,100.0
2023-08-31,-0.19,13.67,-4.2999999999999545,-10,-0.4100000000000001,4.106,3830111,33790.0,-90.0
2023-08-30,1.18,13.68,7.0,14,-0.6499999999999986,4.112,3237969,33470.0,70.0
2023-08-29,1.23,13.63,17.0,65,-0.6300000000000008,4.12,4018417,33290.0,330.0
2023-08-28,2.28,13.58,2.7999999999999545,7,-1.1599999999999984,4.206,4015465,32980.0,165.0
2023-08-25,-3.57,13.49,-5.0,16,-1.5300000000000011,4.231,4595875,33345.0,210.0
2023-08-24,4.67,13.63,2.199999999999818,-79,1.629999999999999,4.241,4040484,32905.0,-465.0
2023-08-23,-0.55,13.44,21.299999999999955,40,-0.6600000000000001,4.196,4340162,33135.0,350.0
2023-08-22,0.86,13.47,2.0,-28,0.009999999999998,4.332,6094050,32985.0,-160.0
2023-08-21,0.42,13.43,4.599999999999909,19,-0.9000000000000021,4.342,3525107,32700.0,200.0
2023-08-18,-1.81,13.41,-2.700000000000045,25,-0.5,4.251,6251548,32980.0,75.0
2023-08-17,-1.05,13.49,-7.2000000000000455,-46,0.9299999999999996,4.284,6816054,33435.0,-385.0
2023-08-16,-5.05,13.53,-4.7999999999999545,-29,0.240000000000002,4.258,4192173,33890.0,-205.0
2023-08-14,-2.65,13.74,-1.599999999999909,31,-1.0600000000000005,4.201,2612622,34175.0,-255.0
2023-08-11,-1.48,13.84,1.699999999999818,14,-0.6899999999999995,4.158,4256388,34005.0,-105.0
2023-08-10,-1.15,13.9,1.2000000000000457,-19,0.2699999999999996,4.107,5871749,33900.0,70.0
2023-08-09,3.66,13.95,-8.700000000000045,-34,0.1500000000000003,4.016,4899630,34250.0,-210.0
2023-08-08,-1.73,13.8,-11.599999999999907,1,-0.2900000000000009,4.028,4778109,34040.0,55.0
2023-08-07,-1.57,13.87,-7.599999999999909,27,-1.129999999999999,4.097,4514528,34275.0,120.0
2023-08-04,-0.29,13.94,6.5,-35,1.09,4.042,4834540,34450.0,-175.0
2023-08-03,-2.26,13.94,-2.0,7,-0.8499999999999996,4.179,4962396,34975.0,65.0
2023-08-02,-7.2,14.03,-13.900000000000093,-37,0.3900000000000005,4.09,3910880,34720.0,10.0
2023-08-01,5.38,14.32,-25.40000000000009,-2,0.1799999999999997,4.037,4677453,34685.0,-230.0
2023-07-31,1.59,14.1,11.299999999999956,4,-0.3499999999999996,3.967,4536470,34415.0,85.0
2023-07-28,-0.73,14.04,14.600000000000136,17,-0.6999999999999993,3.957,4229850,34256.0,205.0
2023-07-27,4.2,14.07,-26.5,-61,1.2699999999999996,4.002,3606570,34580.0,-145.0
2023-07-26,-4.36,13.89,3.7999999999999545,8,-0.6699999999999999,3.873,3565875,34605.0,110.0
2023-07-25,0.6,14.07,7.0,12,-0.1600000000000001,3.89,4891105,34291.0,-15.0
2023-07-24,1.93,14.05,-1.6000000000001364,11,-0.379999999999999,3.878,5117383,34026.0,70.0
2023-07-21,0.72,13.97,-5.5,-14,-0.2699999999999996,3.837,4184618,34156.0,-20.0
2023-07-20,-1.44,13.94,-9.099999999999907,-20,0.0299999999999993,3.856,4505947,34610.0,-250.0
2023-07-19,-0.27,14.0,-1.7000000000000457,2,0.4399999999999995,3.748,4510408,34735.0,-224.0
2023-07-18,-2.37,14.01,22.5,33,-0.3099999999999987,3.789,5493052,34595.0,190.0
2023-07-17,-1.18,14.11,-2.199999999999818,14,-0.2999999999999989,3.809,4193120,34465.0,90.0
2023-07-14,5.8,14.15,-0.7999999999999545,-9,-0.3800000000000008,3.83,7308085,34246.0,-185.0
2023-07-13,1.67,13.92,1.099999999999909,19,0.1699999999999999,3.767,4889195,33777.0,204.0
2023-07-12,2.44,13.85,23.700000000000045,5,-1.2800000000000011,3.861,3901487,33403.0,255.0
2023-07-11,6.18,13.75,6.2999999999999545,24,-0.1799999999999997,3.978,5453416,33268.0,5.0
2023-07-10,-0.73,13.5,0.2999999999999545,15,-1.009999999999998,4.0,4118335,33502.0,240.0
2023-07-07,-4.63,13.53,15.900000000000093,-6,-1.1400000000000006,4.066,5865737,33936.0,50.0
2023-07-06,-2.84,13.72,-7.0,-11,0.5899999999999999,4.031,4774895,34226.0,-195.0
2023-07-05,-2.55,13.83,-2.0,4,-0.0099999999999997,3.934,5152905,34011.0,-20.0
2023-07-03,5.13,14.0,1.7000000000000457,5,-0.2799999999999993,3.858,3853619,33797.0,-15.0
2023-06-30,1.56,13.79,13.0,28,0.08,3.841,5405529,33891.0,125.0
2023-06-29,-2.02,13.72,1.400000000000091,22,-0.1000000000000014,3.842,4387681,34101.0,10.0
2023-06-28,-1.91,13.81,-1.7999999999999543,9,-0.4700000000000006,3.714,5118941,33926.0,99.0
2023-06-27,-0.06,13.89,-12.300000000000182,41,-0.3699999999999992,3.772,4303950,33767.0,125.0
2023-06-26,1.93,13.89,-1.300000000000182,-16,-0.1799999999999997,3.723,3585501,34121.0,-65.0
2023-06-23,-2.67,13.81,6.0,-6,0.1999999999999993,3.737,6279646,33837.0,-55.0
2023-06-22,1.68,13.92,-20.90000000000009,26,-0.9700000000000006,3.797,3103280,34156.0,135.0
2023-06-21,-3.14,13.85,-3.400000000000091,-15,-0.6800000000000015,3.727,4809649,34186.0,-64.0
2023-06-20,-0.55,13.97,-22.799999999999955,-8,-0.4799999999999986,3.719,4709416,34480.0,-65.0
2023-06-16,1.98,14.08,0.900000000000091,-31,-0.9500000000000012,3.767,5727340,34510.0,-100.0
2023-06-15,-1.46,14.0,13.0,60,0.4100000000000001,3.72,5790246,34595.0,174.0
2023-06-14,-1.74,14.06,11.700000000000044,6,-0.5999999999999996,3.79,6214440,34630.0,85.0
2023-06-13,1.82,14.14,-12.800000000000182,17,-0.3800000000000008,3.827,6885529,34735.0,0.0
2023-06-12,-2.22,14.05,-5.899999999999864,30,0.5700000000000003,3.743,6209239,34375.0,200.0
2023-06-09,4.04,14.14,-3.2999999999999545,-6,0.0500000000000007,3.743,4801129,34141.0,80.0
2023-06-08,-0.47,11.72,22.399999999999864,25,-0.4900000000000002,3.718,4005345,34420.0,174.0
2023-06-07,-0.69,11.74,-21.59999999999991,-18,-0.200000000000001,3.793,2849717,34425.0,-105.0
2023-06-05,1.24,11.76,12.0,-9,-0.5499999999999989,3.689,4247539,34006.0,99.0
2023-06-02,4.59,11.72,-25.0,41,-1.0500000000000007,3.698,6107444,33852.0,204.0
2023-06-01,-1.04,11.56,14.200000000000044,38,-1.589999999999998,3.601,4804760,34096.0,219.0
2023-05-31,-2.38,11.6,4.599999999999909,-11,-0.0999999999999978,3.646,5650650,34026.0,-44.0
2023-05-30,4.39,11.69,15.799999999999956,-21,-0.0999999999999978,3.694,4111944,33627.0,-45.0
2023-05-26,1.76,11.54,1.2999999999999543,49,-1.120000000000001,3.81,5978977,33767.0,339.0
2023-05-25,-1.14,11.48,-16.40000000000009,-4,-0.3999999999999986,3.823,5271035,33527.0,55.0
2023-05-24,-0.6,11.52,-12.600000000000136,-17,1.2300000000000004,3.744,4576082,33742.0,165.0
2023-05-23,0.82,11.54,-1.5,-31,1.1799999999999995,3.698,5045463,33412.0,-200.0
2023-05-22,2.04,11.51,-5.7000000000000455,2,-0.2399999999999984,3.719,3966136,33188.0,115.0
2023-05-19,4.39,11.44,18.700000000000045,-13,0.6799999999999997,3.682,5222943,32834.0,0.0
2023-05-18,3.23,11.29,-0.2999999999999545,41,-0.870000000000001,3.651,4954842,32470.0,240.0
2023-05-17,1.3,11.18,-2.899999999999864,36,-1.09,3.572,4027979,32649.0,200.0
2023-05-16,0.85,11.13,-32.899999999999864,-18,0.4499999999999993,3.541,5673874,32280.0,-59.0
2023-05-15,0.85,11.1,4.2000000000000455,10,-0.3200000000000003,3.507,6887876,32385.0,209.0
2023-05-12,-1.67,11.08,-0.7000000000000455,-14,0.2000000000000028,3.463,6246801,32709.0,-70.0
2023-05-11,-0.76,11.13,-16.299999999999955,-2,0.129999999999999,3.386,5110373,32789.0,-119.0
2023-05-10,-2.18,11.16,-4.5,-6,-0.639999999999997,3.439,6431364,32839.0,115.0
2023-05-09,-0.68,11.23,14.5,-5,0.4200000000000017,3.522,4555007,32849.0,-10.0
2023-05-08,2.73,11.26,8.600000000000136,2,-0.75,3.507,6561313,32485.0,-60.0
2023-05-04,-0.35,11.16,1.0,-21,0.9199999999999982,3.377,7313216,32654.0,360.0
2023-05-03,-2.57,11.18,10.599999999999907,-32,0.5199999999999996,3.364,6586685,32649.0,-129.0
2023-05-02,2.63,11.26,32.799999999999955,-45,1.5100000000000016,3.433,6660528,32664.0,-255.0
2023-04-28,1.37,10.47,1.899999999999864,40,-1.4300000000000015,3.433,9427446,32400.0,95.0
