date,ant_vol,foreigner_vol
2018-02-01,"217,028,826,019","-272,216,741,653"
2018-02-02,"737,354,663,823","-463,981,665,986"
2018-02-05,"495,548,145,945","-455,389,195,307"
2018-02-06,"156,458,089,963","-280,978,893,308"
2018-02-07,"926,384,323,387","-191,424,547,359"
2018-02-08,"243,688,201,684","90,750,061,581"
2018-02-09,"276,077,012,394","-315,160,583,868"
2018-02-12,"97,113,950,332","-78,954,424,580"
2018-02-13,"-166,074,831,900","329,711,638,937"
2018-02-14,"-205,360,796,423","103,519,573,600"
2018-02-19,"-73,017,993,112","26,348,363,268"
2018-02-20,"254,966,603,948","28,989,666,090"
2018-02-21,"7,376,244,403","-101,562,272,044"
2018-02-22,"199,564,607,240","-97,654,961,563"
2018-02-23,"-522,997,093,988","155,586,026,484"
2018-02-26,"-137,253,244,848","-182,399,715,957"
2018-02-27,"-189,480,796,347","4,442,890,755"
2018-02-28,"107,480,734,749","143,704,245,912"
2018-03-02,"534,421,454,776","-232,744,243,685"
2018-03-05,"320,450,095,197","-88,930,874,241"
2018-03-06,"-171,305,824,785","13,058,498,255"
2018-03-07,"358,450,638,799","-259,513,063,836"
2018-03-08,"-426,412,226,871","-174,249,352,145"
2018-03-09,"-490,005,741,265","198,906,660,492"
2018-03-12,"-291,747,478,536","193,801,645,119"
2018-03-13,"-310,345,932,251","581,784,209,508"
2018-03-14,"284,071,432,672","-129,464,904,848"
2018-03-15,"19,450,576,970","-42,076,647,998"
2018-03-16,"1,235,754,478","163,783,830,612"
2018-03-19,"148,272,257,093","-83,295,240,813"
2018-03-20,"6,259,221,496","-123,463,247,916"
2018-03-21,"-63,704,200,360","-65,669,720,528"
2018-03-22,"-298,677,543,610","208,149,009,407"
2018-03-23,"751,783,820,094","-131,671,760,526"
2018-03-26,"51,993,777,562","-101,040,049,029"
2018-03-27,"-89,781,886,549","14,406,181,377"
2018-03-28,"276,642,064,367","-246,379,078,327"
2018-03-29,"577,799,194,688","-270,434,251,156"
2018-03-30,"-115,339,939,723","-171,723,973,628"
2018-04-02,"73,817,204,089","-26,929,791,747"
2018-04-03,"128,923,393,636","-106,418,548,613"
2018-04-04,"528,579,866,281","-198,894,587,111"
2018-04-05,"-273,586,276,349","147,460,412,530"
2018-04-06,"228,925,523,833","-239,227,828,021"
2018-04-09,"-55,765,159,921","-56,527,308,187"
2018-04-10,"32,678,649,210","-120,717,882,511"
2018-04-11,"198,066,343,599","463,995,125,358"
2018-04-12,"-73,055,093,054","234,569,102,283"
2018-04-13,"-3,577,721,555","54,332,816,699"
2018-04-16,"65,763,299,184","-36,596,283,354"
2018-04-17,"222,020,778,782","-275,978,225,798"
2018-04-18,"-388,213,922,011","343,903,788,857"
2018-04-19,"64,561,413,534","181,440,001,732"
2018-04-20,"342,220,469,750","-488,362,635,468"
2018-04-23,"314,326,524,851","-294,586,624,765"
2018-04-24,"270,742,148,773","-438,779,746,409"
2018-04-25,"613,747,965,408","-761,959,775,901"
2018-04-26,"1,400,652,630","170,990,147,542"
2018-04-27,"257,644,085,476","161,111,995,515"
2018-04-30,"-189,190,500,821","243,215,875,044"
2018-05-02,"279,085,745,433","-163,200,738,862"
2018-05-03,"259,670,187,911","-323,933,743,851"
2018-05-04,"763,958,771,785","-22,442,581,052"
2018-05-08,"101,524,282,573","-33,422,561,818"
2018-05-09,"-41,356,093,471","-230,319,984,514"
2018-05-10,"-72,973,678,181","-40,932,313,584"
2018-05-11,"-418,030,974,970","199,010,975,090"
2018-05-14,"-101,144,977,687","-94,681,012,739"
2018-05-15,"394,900,170,462","-238,222,237,476"
2018-05-16,"-175,031,361,495","11,194,263,095"
2018-05-17,"145,549,255,038","-269,595,710,194"
2018-05-18,"-154,078,838,891","-38,705,567,406"
2018-05-21,"6,872,888,621","-76,136,462,766"
2018-05-23,"-71,212,925,710","273,784,916,404"
2018-05-24,"85,055,485,376","32,813,554,450"
2018-05-25,"-480,957,613,142","331,003,689,292"
2018-05-28,"264,864,128,267","-161,840,261,219"
2018-05-29,"311,475,810,379","-229,410,047,653"
2018-05-30,"1,015,122,722,388","-685,712,060,755"
2018-05-31,"241,240,003,056","950,655,350,924"
2018-06-01,"-131,487,244,172","238,891,765,324"
2018-06-04,"-91,188,874,845","17,723,445,977"
2018-06-05,"91,985,725,614","-8,648,368,726"
2018-06-07,"-316,024,233,487","137,907,286,580"
2018-06-08,"501,458,378,451","130,381,840,327"
2018-06-11,"-257,543,287,271","-10,564,650,351"
2018-06-12,"-9,345,644,938","-122,304,196,296"
2018-06-14,"502,061,246,347","-470,291,288,676"
2018-06-15,"267,008,343,601","-549,989,911,965"
2018-06-18,"-112,378,827,796","-320,608,923,826"
2018-06-19,"140,594,690,233","-215,077,915,827"
2018-06-20,"-117,866,779,795","113,645,220,400"
2018-06-21,"410,702,024,113","-128,215,135,617"
2018-06-22,"-8,800,474,127","6,044,462,273"
2018-06-25,"8,706,416,492","-110,046,626,568"
2018-06-26,"116,872,301,643","-323,709,252,928"
2018-06-27,"80,215,273,310","158,748,579,453"
2018-06-28,"112,977,076,904","-288,903,152,265"
2018-06-29,"-55,349,164,565","165,244,947,384"
2018-07-02,"242,713,736,310","115,617,534,879"
2018-07-03,"-46,704,853,233","201,804,959,476"
2018-07-04,"129,210,862,891","977,070,780"
2018-07-05,"31,874,570,020","-94,736,147,247"
2018-07-06,"-102,990,399,471","-381,977,389,360"
2018-07-09,"-75,247,043,004","-59,378,806,034"
2018-07-10,"19,339,704,437","32,933,235,209"
2018-07-11,"135,077,057,280","201,784,993,053"
2018-07-12,"88,019,730,217","-17,955,836,355"
2018-07-13,"-137,439,670,750","223,887,305,527"
2018-07-16,"288,323,972,644","-45,234,217,332"
2018-07-17,"134,245,701,530","-88,751,688,590"
2018-07-18,"163,714,589,044","92,541,450,824"
2018-07-19,"-32,090,183,651","52,465,874,889"
2018-07-20,"52,609,433,856","-121,229,695,972"
2018-07-23,"-141,764,990,449","-32,487,350,315"
2018-07-24,"-304,315,337,986","63,100,564,189"
2018-07-25,"-128,268,583,767","-148,583,458,632"
2018-07-26,"-170,576,878,745","127,612,989,194"
2018-07-27,"-84,495,338,104","162,643,205,547"
2018-07-30,"3,157,965,250","162,188,952,902"
2018-07-31,"-31,745,735,371","-74,894,397,214"
2018-08-01,"-65,094,331,773","172,459,734,358"
2018-08-02,"373,956,031,062","-48,992,659,954"
2018-08-03,"-88,645,583,036","143,342,147,885"
2018-08-06,"17,890,690,428","4,118,460,838"
2018-08-07,"-6,234,193,665","57,664,033,716"
2018-08-08,"-124,816,029,022","358,523,008,032"
2018-08-09,"13,979,576,082","-224,331,400,921"
2018-08-10,"151,878,870,521","-114,714,400,052"
2018-08-13,"102,928,278,361","-173,830,432,078"
2018-08-14,"-132,053,081,807","-12,075,524,733"
2018-08-16,"178,322,855,684","-241,681,659,462"
2018-08-17,"85,927,010,662","101,969,434,589"
2018-08-20,"-9,753,875,531","-54,902,818,072"
2018-08-21,"-151,161,709,422","106,431,745,845"
2018-08-22,"136,786,723,420","208,239,233,124"
2018-08-23,"-44,824,589,188","175,106,074,626"
2018-08-24,"-199,511,462,742","77,010,818,622"
