,date,open
0,20181001,27018
1,20181002,27144
2,20181004,26550
3,20181005,26338
4,20181008,26293
5,20181010,26055
6,20181011,25506
7,20181012,25056
8,20181015,25011
9,20181016,25101
10,20181017,25358
11,20181018,25214
12,20181019,24768
13,20181022,24998
14,20181023,24863
15,20181024,24696
16,20181025,23986
17,20181026,24008
18,20181029,23941
19,20181030,23635
20,20181031,23653
21,20181101,23874
22,20181102,24159
23,20181105,24253
24,20181106,24447
25,20181107,24538
26,20181108,24835
27,20181109,24650
28,20181112,24425
29,20181113,23938
30,20181114,24271
31,20181116,24583
32,20181119,24556
33,20181120,24389
34,20181121,23960
35,20181122,24253
36,20181123,24150
37,20181126,24181
38,20181127,24380
39,20181128,24533
40,20181129,24975
41,20181130,24790
42,20181203,24840
43,20181204,24768
44,20181205,24416
45,20181206,24353
46,20181207,24276
47,20181210,23870
48,20181211,23915
49,20181212,24186
50,20181213,24267
51,20181214,24109
52,20181217,24073
53,20181218,24032
54,20181219,24073
55,20181220,23906
56,20181221,23883
57,20181224,23807
58,20181226,23676
59,20181227,23915
60,20181228,24041
61,20190103,23604
62,20190104,23459
63,20190107,24118
64,20190108,24050
65,20190109,24113
66,20190110,24371
67,20190111,24371
68,20190114,24402
69,20190115,24569
70,20190116,24745
71,20190117,24876
72,20190118,25002
73,20190121,25156
74,20190122,25038
75,20190123,24984
76,20190124,25196
77,20190125,25526
78,20190128,25815
79,20190129,25684
80,20190130,25927
81,20190131,26270
82,20190201,26329
83,20190207,26198
84,20190208,25995
85,20190211,25774
86,20190212,26013
87,20190213,26067
88,20190214,25982
89,20190215,26158
90,20190218,26198
91,20190219,26040
92,20190220,26257
93,20190221,26252
94,20190222,26324
95,20190225,26491
96,20190226,26451
97,20190227,26437
98,20190228,26320
99,20190304,26176
100,20190305,25774
101,20190306,25648
102,20190307,25652
103,20190308,25440
104,20190311,25129
105,20190312,25445
106,20190313,25336
107,20190314,25327
108,20190315,25485
109,20190318,25724
110,20190319,25675
111,20190320,25440
112,20190321,26031
113,20190322,25977
114,20190325,25517
115,20190326,25454
116,20190327,25246
117,20190328,25219
118,20190329,25287
119,20190401,25702
120,20190402,25905
121,20190403,25945
122,20190404,26252
123,20190405,26338
124,20190408,26334
125,20190409,26302
126,20190410,26243
127,20190411,26455
128,20190412,26334
129,20190415,26586
130,20190416,26564
131,20190417,26663
132,20190418,26636
133,20190419,26338
134,20190422,26334
135,20190423,26198
136,20190424,26243
137,20190425,25982
138,20190426,25742
139,20190429,25925
140,20190430,26210
141,20190502,26187
142,20190503,26154
143,20190507,25710
144,20190508,25627
145,20190509,25494
146,20190510,24966
147,20190513,24879
148,20190514,24453
149,20190515,24687
150,20190516,24645
151,20190517,24503
152,20190520,24393
153,20190521,24494
154,20190522,24333
155,20190523,24370
156,20190524,24343
157,20190527,24384
158,20190528,24283
159,20190529,23948
160,20190530,24136
161,20190531,24122
162,20190603,24324
163,20190604,24586
164,20190605,24728
165,20190607,24567
166,20190610,24746
167,20190611,24999
168,20190612,25136
169,20190613,24889
170,20190614,24783
171,20190617,24815
172,20190618,24852
173,20190619,25237
174,20190620,25210
175,20190621,25260
176,20190624,25301
177,20190625,25315
178,20190626,25255
179,20190627,25333
180,20190628,25586
181,20190701,25544
182,20190702,25480
183,20190703,25388
184,20190704,25177
185,20190705,25297
186,20190708,24870
187,20190709,24852
188,20190710,24843
189,20190711,25022
190,20190712,25017
191,20190715,25040
192,20190716,25109
193,20190717,24925
194,20190718,24934
195,20190719,25086
196,20190722,25278
197,20190723,25370
198,20190724,25320
199,20190725,25159
200,20190726,25008
201,20190729,24944
202,20190730,24742
203,20190731,24756
204,20190801,24461
205,20190802,24232
206,20190805,23974
207,20190806,23330
208,20190807,23358
209,20190808,23317
210,20190809,23496
211,20190812,23514
212,20190813,23395
213,20190814,23574
214,20190816,23170
215,20190819,23450
216,20190820,23524
217,20190821,23717
218,20190822,23726
219,20190823,23496
220,20190826,23183
221,20190827,23418
222,20190828,23363
223,20190829,23501
224,20190830,23694
225,20190902,23753
226,20190903,23841
227,20190904,23809
228,20190905,24264
229,20190906,24388
230,20190909,24631
231,20190910,24696
232,20190911,24838
233,20190916,24889
234,20190917,24962
235,20190918,24995
236,20190919,25335
237,20190920,25298
238,20190923,25441
239,20190924,25385
240,20190925,25399
241,20190926,25330
242,20190927,25156
243,20190930,24967
244,20191001,25312
245,20191002,25027
246,20191004,24700
247,20191007,24756
248,20191008,24912
249,20191010,24673
250,20191011,24981
251,20191014,25307
252,20191015,25280
253,20191016,25454
254,20191017,25473
255,20191018,25477
256,20191021,25197
257,20191022,25487
258,20191023,25505
259,20191024,25436
260,20191025,25565
261,20191028,25657
262,20191029,25684
263,20191030,25509
264,20191031,25629
265,20191101,25514
266,20191104,25961
267,20191105,26076
268,20191106,26399
269,20191107,26178
270,20191108,26302
271,20191111,26021
272,20191112,26044
273,20191113,25961
274,20191115,26297
275,20191118,26463
276,20191119,26201
277,20191120,26284
278,20191121,25827
279,20191122,25772
280,20191125,26090
281,20191126,26118
282,20191127,25970
283,20191128,26044
284,20191129,25878
285,20191202,25744
286,20191203,25320
287,20191204,25348
288,20191205,25454
289,20191206,25495
290,20191209,25666
291,20191210,25648
292,20191211,25744
293,20191212,26164
294,20191213,26680
295,20191216,26791
296,20191217,26864
297,20191218,27192
298,20191219,27251
299,20191220,27173
300,20191223,27182
301,20191224,27164
302,20191226,27113
303,20191227,27399
304,20191230,27602
305,20200103,27496
306,20200106,26979
307,20200107,27238
308,20200108,26892
309,20200109,27380
310,20200110,27592
311,20200113,27772
312,20200114,28279
313,20200115,27975
314,20200116,27993
315,20200117,28445
316,20200120,28514
317,20200121,28542
318,20200122,28325
319,20200123,28316
320,20200128,27510
321,20200129,27371
322,20200130,27311
323,20200131,27043
324,20200203,26337
325,20200204,26822
326,20200205,27316
327,20200206,27616
328,20200207,27777
329,20200210,27473
330,20200211,27948
331,20200212,27930
332,20200213,28290
333,20200214,28077
