,date,open,high,low,close,volume
0,201809280905,27310,27310,27256,27270,255539
1,201809280910,27265,27270,27243,27252,106638
2,201809280915,27247,27256,27243,27243,96901
3,201809280920,27238,27252,27229,27234,81237
4,201809280925,27238,27261,27238,27261,63315
5,201809280930,27261,27261,27225,27229,63794
6,201809280935,27229,27229,27198,27211,63147
7,201809280940,27211,27211,27198,27207,52544
8,201809280945,27202,27220,27198,27220,52393
9,201809280950,27220,27234,27216,27229,50273
10,201809280955,27234,27234,27216,27216,53077
11,201809281000,27216,27238,27211,27234,35969
77,201810010905,27148,27229,27148,27202,259685
78,201810010910,27202,27202,27171,27175,79532
79,201810010915,27180,27180,27144,27157,109853
80,201810010920,27153,27166,27144,27148,44790
81,201810010925,27148,27153,27130,27135,16222
82,201810010930,27135,27135,27036,27036,54490
83,201810010935,27036,27067,27031,27036,104522
84,201810010940,27040,27040,27004,27027,118599
85,201810010945,27027,27036,27013,27022,42720
86,201810010950,27018,27031,27000,27022,86342
87,201810010955,27022,27022,27004,27004,14771
88,201810011000,27004,27022,27004,27013,31779
154,201810020905,27076,27117,27063,27099,162628
155,201810020910,27099,27108,27072,27072,85831
156,201810020915,27072,27108,27067,27108,74217
157,201810020920,27108,27126,27099,27112,32128
158,201810020925,27103,27121,27099,27121,7971
159,201810020930,27112,27130,27108,27112,41543
160,201810020935,27112,27126,27108,27126,79976
161,201810020940,27130,27139,27126,27135,2459
162,201810020945,27135,27148,27126,27148,90431
163,201810020950,27144,27148,27126,27148,32451
164,201810020955,27148,27153,27130,27135,22026
165,201810021000,27135,27139,27117,27121,11936
231,201810040905,26806,26806,26694,26703,87806
232,201810040910,26698,26703,26640,26644,81730
233,201810040915,26640,26658,26626,26649,18075
234,201810040920,26653,26653,26608,26613,49090
235,201810040925,26613,26631,26608,26613,45689
236,201810040930,26613,26613,26581,26586,51190
237,201810040935,26586,26613,26572,26577,56824
238,201810040940,26581,26581,26550,26550,42389
239,201810040945,26550,26554,26536,26545,118260
240,201810040950,26550,26563,26541,26563,65723
241,201810040955,26563,26568,26545,26563,43856
242,201810041000,26563,26568,26536,26541,70216
308,201810050905,26316,26365,26289,26289,232223
