,date,open
0,20181001,27153
1,20181002,27108
2,20181004,26653
3,20181005,26325
4,20181008,26235
5,20181010,26176
6,20181011,25434
7,20181012,24948
8,20181015,25016
9,20181016,25142
10,20181017,25416
11,20181018,25164
12,20181019,24836
13,20181022,24957
14,20181023,25016
15,20181024,24710
16,20181025,24040
17,20181026,23945
18,20181029,23833
19,20181030,23590
20,20181031,23680
21,20181101,23987
22,20181102,24136
23,20181105,24348
24,20181106,24344
25,20181107,24574
26,20181108,24917
27,20181109,24641
28,20181112,24339
29,20181113,24059
30,20181114,24335
31,20181116,24641
32,20181119,24709
33,20181120,24344
34,20181121,23974
35,20181122,24235
36,20181123,24213
37,20181126,24168
38,20181127,24375
39,20181128,24560
40,20181129,25002
41,20181130,24750
42,20181203,24750
43,20181204,24831
44,20181205,24411
45,20181206,24330
46,20181207,24308
47,20181210,23933
48,20181211,23915
49,20181212,24109
50,20181213,24326
51,20181214,24271
52,20181217,24100
53,20181218,24010
54,20181219,24010
55,20181220,23820
56,20181221,23933
57,20181224,23852
58,20181226,23662
59,20181227,23861
60,20181228,24032
61,20190103,23631
62,20190104,23509
63,20190107,24132
64,20190108,24014
65,20190109,24046
66,20190110,24380
67,20190111,24443
68,20190114,24398
69,20190115,24353
70,20190116,24754
71,20190117,24890
72,20190118,25043
73,20190121,25147
74,20190122,25111
75,20190123,24935
76,20190124,25237
77,20190125,25512
78,20190128,25860
79,20190129,25765
80,20190130,25878
81,20190131,26406
82,20190201,26352
83,20190207,26230
84,20190208,25927
85,20190211,25788
86,20190212,25846
87,20190213,26130
88,20190214,26009
89,20190215,26135
90,20190218,26180
91,20190219,25964
92,20190220,26252
93,20190221,26275
94,20190222,26315
95,20190225,26496
96,20190226,26469
97,20190227,26455
98,20190228,26230
99,20190304,26207
100,20190305,25711
101,20190306,25621
102,20190307,25594
103,20190308,25413
104,20190311,25251
105,20190312,25503
106,20190313,25368
107,20190314,25413
108,20190315,25535
109,20190318,25693
110,20190319,25589
111,20190320,25521
112,20190321,25905
113,20190322,26000
114,20190325,25548
115,20190326,25427
116,20190327,25237
117,20190328,25242
118,20190329,25341
119,20190401,25724
120,20190402,25873
121,20190403,25855
122,20190404,26279
123,20190405,26324
124,20190408,26388
125,20190409,26279
126,20190410,26234
127,20190411,26487
128,20190412,26243
129,20190415,26555
130,20190416,26564
131,20190417,26690
132,20190418,26604
133,20190419,26293
134,20190422,26252
135,20190423,26243
136,20190424,26279
137,20190425,25891
138,20190426,25715
139,20190429,25925
140,20190430,26228
141,20190502,26113
142,20190503,26187
143,20190507,25645
144,20190508,25567
145,20190509,25567
146,20190510,25118
147,20190513,24755
148,20190514,24485
149,20190515,24590
150,20190516,24682
151,20190517,24471
152,20190520,24421
153,20190521,24366
154,20190522,24421
155,20190523,24425
156,20190524,24366
157,20190527,24265
158,20190528,24333
159,20190529,24049
160,20190530,24200
161,20190531,24081
162,20190603,24246
163,20190604,24540
164,20190605,24742
165,20190607,24430
166,20190610,24778
167,20190611,24930
168,20190612,25118
169,20190613,24916
170,20190614,24792
171,20190617,24751
172,20190618,24898
173,20190619,25219
174,20190620,25196
175,20190621,25288
176,20190624,25265
177,20190625,25278
178,20190626,25219
179,20190627,25352
180,20190628,25599
181,20190701,25691
182,20190702,25388
183,20190703,25439
184,20190704,25122
185,20190705,25283
186,20190708,24907
187,20190709,24797
188,20190710,24829
189,20190711,24994
190,20190712,24976
191,20190715,25008
192,20190716,25168
193,20190717,25035
194,20190718,24939
195,20190719,25122
196,20190722,25223
197,20190723,25361
198,20190724,25320
199,20190725,25118
200,20190726,24989
201,20190729,24985
202,20190730,24774
203,20190731,24788
204,20190801,24388
205,20190802,24204
206,20190805,24025
207,20190806,23271
208,20190807,23353
209,20190808,23358
210,20190809,23473
211,20190812,23491
212,20190813,23358
213,20190814,23556
214,20190816,23248
215,20190819,23450
216,20190820,23501
217,20190821,23712
218,20190822,23753
219,20190823,23514
220,20190826,23156
221,20190827,23330
222,20190828,23390
223,20190829,23510
224,20190830,23703
225,20190902,23763
226,20190903,23809
227,20190904,23813
228,20190905,24195
229,20190906,24429
230,20190909,24595
231,20190910,24659
232,20190911,24866
233,20190916,24871
234,20190917,24939
235,20190918,24939
236,20190919,25243
237,20190920,25289
238,20190923,25372
239,20190924,25454
240,20190925,25431
241,20190926,25326
242,20190927,25156
243,20190930,24962
244,20191001,25183
245,20191002,25064
246,20191004,24815
247,20191007,24806
248,20191008,24769
249,20191010,24815
250,20191011,25022
251,20191014,25353
252,20191015,25312
253,20191016,25514
254,20191017,25482
255,20191018,25496
256,20191021,25206
257,20191022,25381
258,20191023,25487
259,20191024,25533
260,20191025,25546
261,20191028,25744
262,20191029,25716
263,20191030,25505
264,20191031,25588
265,20191101,25482
266,20191104,25943
267,20191105,26067
268,20191106,26261
269,20191107,26173
270,20191108,26362
271,20191111,26021
272,20191112,25984
273,20191113,26021
274,20191115,26173
275,20191118,26454
276,20191119,26261
277,20191120,26288
278,20191121,25970
279,20191122,25698
280,20191125,26058
281,20191126,26141
282,20191127,26076
283,20191128,25998
284,20191129,25910
285,20191202,25731
286,20191203,25302
287,20191204,25307
288,20191205,25486
289,20191206,25403
290,20191209,25620
291,20191210,25592
292,20191211,25846
293,20191212,26178
294,20191213,26708
295,20191216,26800
296,20191217,26846
297,20191218,27205
298,20191219,27256
299,20191220,27228
300,20191223,27261
301,20191224,27238
302,20191226,26989
303,20191227,27325
304,20191230,27565
305,20200103,27510
306,20200106,26947
307,20200107,27090
308,20200108,26966
309,20200109,27394
310,20200110,27643
311,20200113,27758
312,20200114,28247
313,20200115,27984
314,20200116,27966
315,20200117,28560
316,20200120,28500
317,20200121,28514
318,20200122,28219
319,20200123,28298
320,20200128,27519
321,20200129,27445
322,20200130,27357
323,20200131,27048
324,20200203,26286
325,20200204,26822
326,20200205,27422
327,20200206,27547
328,20200207,27953
329,20200210,27436
330,20200211,27860
331,20200212,28059
332,20200213,28387
333,20200214,28040
334,20200217,28147
335,20200218,28022
336,20200219,27971
337,20200220,28050
338,20200221,27459
339,20200224,26692
340,20200225,26379
341,20200226,26088
342,20200227,26194
343,20200228,25552
344,20200302,25100
345,20200303,25852
346,20200304,25598
347,20200305,26032
348,20200306,25963
349,20200309,24971
350,20200310,24606
351,20200311,24790
352,20200312,23876
